City/Town,Ward,Pct,"Elizabeth M. Ready","John S. Hall","Peter Baker","Robin C. McKnight",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,"Liberty Union"
Addison,,,272,378,18,6,1,0,675
Albany,,,240,208,15,5,0,0,468
Alburgh,,,392,309,31,7,1,0,740
Andover,,,101,152,5,6,0,0,264
Arlington,,,601,553,35,21,0,0,"1,210"
Athens,,,46,72,3,2,0,0,123
Bakersfield,,,371,171,25,7,1,0,575
Baltimore,,,47,52,4,1,0,0,104
Barnard,,,256,273,12,4,0,0,545
Barnet,,,241,539,98,3,0,0,881
"Barre City",-,"Washington 4-1",841,810,24,30,4,0,"1,709"
"Barre City",-,"Washington 4-2",959,899,43,47,3,0,"1,951"
"Barre Town",,,"1,636","2,176",55,71,2,0,"3,940"
Barton,-,"Barton Memorial",316,458,15,8,1,0,798
Barton,-,"Orleans Memorial",188,262,6,9,0,0,465
Belvidere,,,57,63,5,1,0,0,126
Bennington,-,"Bennington 2-1","1,125",820,81,40,0,0,"2,066"
Bennington,-,"Bennington 2-1 Nb",371,137,20,6,0,0,534
Bennington,-,"Bennington 2-2",479,275,26,10,0,0,790
Bennington,-,"Bennington 2-3","1,546","1,020",88,52,0,0,"2,706"
Bennington,-,"Bennington 2-4",13,4,0,0,0,0,17
Benson,,,200,205,19,8,0,0,432
Berkshire,,,327,192,16,24,1,0,560
Berlin,,,568,601,20,19,2,0,"1,210"
Bethel,,,430,386,31,66,0,0,913
Bloomfield,,,33,55,6,1,0,0,95
Bolton,,,318,176,12,5,0,0,511
Bradford,,,500,599,52,83,0,0,"1,234"
Braintree,,,239,302,9,10,0,0,560
Brandon,,,887,785,35,13,1,0,"1,721"
Brattleboro,-,"Windham 2-1","1,182",688,34,27,2,0,"1,933"
Brattleboro,-,"Windham 2-2","1,105",340,49,41,2,0,"1,537"
Brattleboro,-,"Windham 2-3","1,132",374,53,52,3,0,"1,614"
Bridgewater,,,236,247,13,26,0,0,522
Bridport,,,272,342,27,9,0,0,650
Brighton,,,241,349,26,12,0,0,628
Bristol,,,832,754,50,24,2,0,"1,662"
Brookfield,,,310,354,20,12,1,0,697
Brookline,,,127,78,27,1,0,0,233
Brownington,,,152,195,10,2,0,0,359
Brunswick,,,17,26,0,2,0,0,45
Burke,,,244,468,11,5,1,0,729
Burlington,-,"Chittenden 7-1 Ward 5","1,925",686,43,30,11,0,"2,695"
Burlington,-,"Chittenden 7-1 Ward 6",847,145,32,17,3,0,"1,044"
Burlington,-,"Chittenden 7-2 Ward 2",414,69,8,10,3,0,504
Burlington,-,"Chittenden 7-2 Ward 3","1,654",319,70,35,10,0,"2,088"
Burlington,-,"Chittenden 7-2 Ward 5",62,11,8,1,2,0,84
Burlington,-,"Chittenden 7-3 Ward 1","1,706",413,63,25,18,0,"2,225"
Burlington,-,"Chittenden 7-3 Ward 2",105,20,3,3,0,0,131
Burlington,-,"Chittenden 7-3 Ward 6",299,68,16,10,1,0,394
Burlington,-,"Chittenden 7-4 Ward 2","1,026",158,43,25,4,0,"1,256"
Burlington,-,"Chittenden 7-5 Ward 3",69,20,5,5,0,0,99
Burlington,-,"Chittenden 7-5 Ward 4",295,150,6,0,1,0,452
Burlington,-,"Chittenden 7-5 Ward 7",862,426,12,34,4,0,"1,338"
Burlington,-,"Chittenden 7-6 Ward 4","1,476",734,26,12,5,0,"2,253"
Burlington,-,"Chittenden 7-6 Ward 7",848,377,19,16,3,0,"1,263"
Burlington,-,"Chittenden 7-7 Ward 6",684,303,11,1,1,0,"1,000"
Cabot,,,278,285,15,16,0,0,594
Calais,,,528,331,22,19,0,0,900
Cambridge,,,909,555,39,14,5,0,"1,522"
Canaan,,,161,198,19,6,0,0,384
Castleton,,,763,785,62,20,1,0,"1,631"
Cavendish,,,274,303,19,13,0,0,609
Charleston,,,161,252,21,8,0,0,442
Charlotte,,,"1,261",698,54,13,3,0,"2,029"
Chelsea,,,259,370,8,20,0,0,657
Chester,,,784,573,44,24,0,0,"1,425"
Chittenden,,,253,341,9,11,1,0,615
Clarendon,,,529,645,56,18,0,0,"1,248"
Colchester,-,"Chittenden 1-1","2,653","1,397",74,33,11,0,"4,168"
Colchester,-,"Chittenden 1-2","1,764",925,23,17,2,0,"2,731"
Colchester,-,"Chittenden 1-3",23,3,0,0,1,0,27
Concord,,,105,340,10,7,0,0,462
Corinth,,,297,369,17,39,1,0,723
Cornwall,,,364,281,19,3,2,0,669
Coventry,,,149,211,8,2,1,0,371
Craftsbury,,,316,239,12,4,1,0,572
Danby,,,239,312,27,14,0,0,592
Danville,,,327,828,27,0,1,0,"1,183"
Derby,,,898,"1,142",39,15,2,0,"2,096"
Dorset,,,425,599,24,11,1,0,"1,060"
Dover,,,217,370,24,10,0,0,621
Dummerston,,,618,309,42,13,0,0,982
Duxbury,,,341,237,19,11,0,0,608
"E. Haven",,,38,96,6,1,0,0,141
"E. Montpelier",,,737,685,16,16,1,0,"1,455"
Eden,,,226,195,14,14,2,0,451
Elmore,,,252,144,7,11,0,0,414
Enosburgh,,,705,326,43,22,1,0,"1,097"
Essex,-,"Chittenden 2-1","2,536","1,986",58,31,11,0,"4,622"
Essex,-,"Chittenden 2-3",277,189,4,3,0,0,473
