City/Town,Ward,Pct,"William H. Sorrell","Sandy Ward",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,"Vermont Grassroots"
Addison,,,587,58,12,0,657
Albany,,,377,79,3,0,459
Alburgh,,,596,117,18,0,731
Andover,,,207,46,6,0,259
Arlington,,,"1,030",175,5,0,"1,210"
Athens,,,89,26,1,0,116
Bakersfield,,,445,109,0,0,554
Baltimore,,,79,23,0,0,102
Barnard,,,453,73,6,0,532
Barnet,,,655,139,18,0,812
"Barre City",-,"Washington 4-1","1,461",173,19,0,"1,653"
"Barre City",-,"Washington 4-2","1,634",206,27,0,"1,867"
"Barre Town",,,"3,353",416,41,0,"3,810"
Barton,-,"Barton Memorial",638,104,10,0,752
Barton,-,"Orleans Memorial",409,45,7,0,461
Belvidere,,,98,23,2,0,123
Bennington,-,"Bennington 2-1","1,704",335,2,0,"2,041"
Bennington,-,"Bennington 2-1 Nb",410,106,2,0,518
Bennington,-,"Bennington 2-2",651,133,0,0,784
Bennington,-,"Bennington 2-3","2,183",455,0,0,"2,638"
Bennington,-,"Bennington 2-4",13,4,0,0,17
Benson,,,328,95,0,0,423
Berkshire,,,479,75,9,0,563
Berlin,,,"1,026",157,14,0,"1,197"
Bethel,,,746,144,6,0,896
Bloomfield,,,76,19,0,0,95
Bolton,,,409,88,7,0,504
Bradford,,,"1,010",180,23,0,"1,213"
Braintree,,,459,67,6,0,532
Brandon,,,"1,300",209,103,0,"1,612"
Brattleboro,-,"Windham 2-1","1,585",291,7,0,"1,883"
Brattleboro,-,"Windham 2-2","1,210",283,4,0,"1,497"
Brattleboro,-,"Windham 2-3","1,183",359,10,0,"1,552"
Bridgewater,,,383,77,39,0,499
Bridport,,,543,83,0,0,626
Brighton,,,491,125,0,0,616
Bristol,,,"1,345",246,4,0,"1,595"
Brookfield,,,574,108,9,0,691
Brookline,,,209,21,0,0,230
Brownington,,,266,72,0,0,338
Brunswick,,,37,8,0,0,45
