City/Town,Ward,Pct,"Howard Dean","Ruth Dwyer","Anthony Pollina","Phil Stannard, Sr","Joel Williams","Marilynn Verna Christian","Hardy Machia","Richard F. Gottlieb",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive,Independent,"Vermont Grassroots",Independent,Libertarian,"Liberty Union"
Addison,,,280,344,53,4,1,0,1,1,0,0,684
Albany,,,205,210,64,2,8,1,0,0,0,0,490
Alburgh,,,298,418,56,1,1,2,8,0,0,0,784
Andover,,,124,133,13,1,3,1,0,0,0,0,275
Arlington,,,657,518,76,4,14,6,1,1,0,0,"1,277"
Athens,,,35,78,11,2,1,0,0,1,0,0,128
Bakersfield,,,296,236,59,1,1,1,2,0,1,0,597
Baltimore,,,37,61,7,0,1,2,0,1,0,0,109
Barnard,,,285,235,41,1,4,5,1,0,0,0,572
Barnet,,,335,417,135,3,4,2,3,1,1,0,901
"Barre City",-,"Washington 4-1",824,711,217,10,2,1,4,1,2,0,"1,772"
"Barre City",-,"Washington 4-2",901,868,225,7,8,4,3,3,1,0,"2,020"
"Barre Town",,,"1,607","2,052",364,10,14,9,6,0,5,0,"4,067"
Barton,-,"Barton Memorial",270,460,85,0,2,6,0,0,3,0,826
Barton,-,"Orleans Memorial",196,213,60,2,2,0,2,3,0,0,478
Belvidere,,,49,76,9,0,1,0,0,0,1,0,136
Bennington,-,"Bennington 2-1","1,146",886,136,12,18,19,9,2,0,0,"2,228"
Bennington,-,"Bennington 2-1 Nb",368,133,64,0,4,4,3,0,0,0,576
Bennington,-,"Bennington 2-2",429,375,39,3,7,6,3,1,0,0,863
Bennington,-,"Bennington 2-3","1,620","1,056",154,25,29,29,6,2,0,0,"2,921"
Bennington,-,"Bennington 2-4",11,7,0,1,0,1,0,0,0,0,20
Benson,,,164,160,27,94,2,1,1,0,0,0,449
Berkshire,,,231,280,63,3,4,0,0,0,0,0,581
Berlin,,,579,525,144,2,4,2,1,1,0,0,"1,258"
Bethel,,,496,345,78,4,7,6,10,6,1,0,953
Bloomfield,,,40,48,5,5,2,2,0,0,0,0,102
Bolton,,,254,221,48,1,2,0,0,0,1,0,527
Bradford,,,635,565,90,3,8,6,4,0,0,0,"1,311"
Braintree,,,275,262,42,3,0,1,0,1,1,0,585
Brandon,,,878,731,128,24,3,3,0,2,1,0,"1,770"
Brattleboro,-,"Windham 2-1","1,203",574,263,6,7,9,5,7,2,0,"2,076"
Brattleboro,-,"Windham 2-2","1,028",330,263,3,8,13,5,6,0,0,"1,656"
Brattleboro,-,"Windham 2-3","1,040",293,346,5,9,14,4,15,1,0,"1,727"
Bridgewater,,,238,264,28,4,2,1,2,1,0,0,540
Bridport,,,293,306,53,6,1,2,3,3,0,0,667
Brighton,,,202,367,74,2,2,2,7,3,1,0,660
Bristol,,,888,612,168,8,4,6,1,0,1,0,"1,688"
Brookfield,,,353,306,49,3,2,4,2,1,1,0,721
Brookline,,,117,103,26,1,0,2,0,1,0,0,250
Brownington,,,121,205,41,1,2,0,0,0,0,0,370
Brunswick,,,23,20,3,1,0,0,0,0,0,0,47
Burke,,,314,346,86,1,2,3,5,1,1,0,759
Burlington,-,"Chittenden 7-1 Ward 5","1,907",589,301,2,8,1,3,3,4,0,"2,818"
Burlington,-,"Chittenden 7-1 Ward 6",829,118,144,2,6,2,5,3,2,0,"1,111"
Burlington,-,"Chittenden 7-2 Ward 2",389,68,96,0,6,3,0,0,1,0,563
Burlington,-,"Chittenden 7-2 Ward 3","1,402",340,430,10,12,6,8,0,1,0,"2,209"
Burlington,-,"Chittenden 7-2 Ward 5",63,12,21,0,1,0,0,0,0,0,97
Burlington,-,"Chittenden 7-3 Ward 1","1,581",353,457,7,16,12,7,2,2,0,"2,437"
Burlington,-,"Chittenden 7-3 Ward 2",103,15,31,0,3,1,0,0,0,0,153
Burlington,-,"Chittenden 7-3 Ward 6",288,35,133,0,8,0,2,0,1,0,467
Burlington,-,"Chittenden 7-4 Ward 2",871,164,311,1,11,4,7,1,1,0,"1,371"
Burlington,-,"Chittenden 7-5 Ward 3",65,19,19,1,0,0,1,1,0,0,106
Burlington,-,"Chittenden 7-5 Ward 4",307,130,28,0,3,0,1,0,0,0,469
Burlington,-,"Chittenden 7-5 Ward 7",810,460,121,1,0,1,4,0,1,0,"1,398"
Burlington,-,"Chittenden 7-6 Ward 4","1,488",688,150,2,6,5,2,1,0,0,"2,342"
Burlington,-,"Chittenden 7-6 Ward 7",727,441,128,0,6,4,4,0,3,0,"1,313"
Burlington,-,"Chittenden 7-7 Ward 6",781,184,80,1,2,1,3,0,1,0,"1,053"
Cabot,,,303,210,83,2,2,3,16,1,0,0,620
Calais,,,503,258,170,0,3,3,1,0,0,0,938
Cambridge,,,869,572,154,3,1,4,9,0,1,0,"1,613"
Canaan,,,179,204,19,2,3,9,4,0,1,0,421
Castleton,,,707,655,168,184,14,6,0,1,2,0,"1,737"
Cavendish,,,279,301,44,4,5,6,1,1,0,0,641
Charleston,,,128,267,63,0,5,0,2,5,0,0,470
Charlotte,,,"1,370",581,177,5,2,0,7,1,0,0,"2,143"
Chelsea,,,273,353,42,2,2,3,2,1,0,0,678
Chester,,,866,513,83,11,13,19,4,4,0,0,"1,513"
Chittenden,,,303,290,52,6,4,3,1,1,0,0,660
Clarendon,,,471,693,106,32,9,8,2,0,1,0,"1,322"
Colchester,-,"Chittenden 1-1","2,411","1,570",400,7,11,7,16,2,9,0,"4,433"
Colchester,-,"Chittenden 1-2","1,554","1,065",236,5,3,4,11,0,2,0,"2,880"
Colchester,-,"Chittenden 1-3",18,1,8,0,0,0,0,0,0,0,27
Concord,,,158,273,40,1,6,3,1,0,0,0,482
Corinth,,,338,363,45,3,5,0,1,0,0,0,755
Cornwall,,,449,186,44,5,3,3,1,0,1,0,692
Coventry,,,134,184,57,0,3,1,0,2,0,0,381
Craftsbury,,,335,185,96,4,2,2,0,0,0,0,624
Danby,,,231,303,52,19,8,12,3,4,0,0,632
Danville,,,496,570,129,3,3,4,4,0,0,0,"1,209"
Derby,,,804,"1,111",242,5,8,5,3,0,2,0,"2,180"
Dorset,,,391,606,111,26,11,5,2,4,0,0,"1,156"
Dover,,,215,406,38,4,4,5,6,4,0,0,682
Dummerston,,,631,279,100,4,4,1,12,1,0,0,"1,032"
Duxbury,,,320,223,80,2,1,2,3,1,0,0,632
"E. Haven",,,35,85,22,2,2,1,1,0,0,0,148
"E. Montpelier",,,767,544,194,2,3,3,1,0,1,0,"1,515"
Eden,,,167,245,61,2,6,0,1,1,2,0,485
Elmore,,,250,148,41,0,0,0,1,1,0,0,441
Enosburgh,,,533,487,114,5,2,6,2,0,0,0,"1,149"
Essex,-,"Chittenden 2-1","2,615","1,851",364,7,10,6,9,1,5,0,"4,868"
Essex,-,"Chittenden 2-3",261,187,40,1,1,2,2,0,0,0,494
Essex,-,"Chittenden 2-4","2,096","1,688",370,8,10,11,13,0,6,0,"4,202"
"Fair Haven",,,398,415,75,253,14,2,1,1,2,0,"1,161"
Fairfax,,,723,775,157,1,7,7,3,1,1,0,"1,675"
Fairfield,,,382,406,73,5,1,1,2,0,0,0,870
Fairlee,,,307,229,27,1,5,2,1,0,0,0,572
Fayston,,,421,210,77,3,4,2,1,0,0,0,718
Ferrisburgh,,,664,599,109,7,4,2,3,1,1,0,"1,390"
