City/Town,Ward,Pct,"Douglas A. Racine","Brian E. Dubie","Tom Beer","Jane Newton","Don O'Donnell",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Vermont Grassroots","Liberty Union",Libertarian
Addison,,,320,350,7,1,4,0,0,682
Albany,,,234,209,25,5,7,1,0,481
Alburgh,,,356,373,18,10,5,1,0,763
Andover,,,118,131,9,10,1,0,0,269
Arlington,,,633,512,48,34,12,0,0,"1,239"
Athens,,,42,73,2,8,1,0,0,126
Bakersfield,,,338,200,30,4,11,1,0,584
Baltimore,,,49,45,3,5,4,0,0,106
Barnard,,,267,242,38,5,8,0,0,560
Barnet,,,388,446,27,9,13,0,0,883
"Barre City",-,"Washington 4-1",908,796,29,6,14,1,0,"1,754"
"Barre City",-,"Washington 4-2","1,025",880,37,14,24,3,0,"1,983"
"Barre Town",,,"1,712","2,185",67,14,42,0,0,"4,020"
Barton,-,"Barton Memorial",336,445,13,6,6,1,0,807
Barton,-,"Orleans Memorial",225,213,13,7,10,0,0,468
Belvidere,,,50,71,5,0,4,0,0,130
Bennington,-,"Bennington 2-1","1,238",734,71,60,32,0,0,"2,135"
Bennington,-,"Bennington 2-1 Nb",398,116,21,6,10,0,0,551
Bennington,-,"Bennington 2-2",521,252,30,20,11,0,0,834
Bennington,-,"Bennington 2-3","1,703",881,103,71,42,0,0,"2,800"
Bennington,-,"Bennington 2-4",14,3,0,1,0,0,0,18
Benson,,,180,206,34,10,7,0,0,437
Berkshire,,,323,230,12,2,7,1,0,575
Berlin,,,610,583,26,8,9,1,0,"1,237"
Bethel,,,494,390,26,5,16,1,0,932
Bloomfield,,,32,53,7,2,2,0,0,96
Bolton,,,295,213,11,1,5,0,0,525
Bradford,,,599,594,41,16,15,2,0,"1,267"
Braintree,,,266,285,9,1,9,0,0,570
Brandon,,,923,740,60,10,7,2,0,"1,742"
Brattleboro,-,"Windham 2-1","1,266",612,63,41,18,3,0,"2,003"
Brattleboro,-,"Windham 2-2","1,131",332,59,47,20,1,0,"1,590"
Brattleboro,-,"Windham 2-3","1,143",336,85,66,29,4,0,"1,663"
Bridgewater,,,247,245,20,3,7,0,0,522
Bridport,,,335,295,24,3,4,0,0,661
Brighton,,,258,345,21,3,14,0,0,641
Bristol,,,943,635,71,4,8,3,0,"1,664"
Brookfield,,,345,337,13,5,10,0,0,710
Brookline,,,119,104,12,10,2,0,0,247
Brownington,,,155,187,14,3,4,0,0,363
Brunswick,,,23,18,1,3,0,0,0,45
Burke,,,357,344,22,5,14,0,0,742
Burlington,-,"Chittenden 7-1 Ward 5","1,917",713,71,22,21,7,0,"2,751"
Burlington,-,"Chittenden 7-1 Ward 6",822,168,56,8,15,4,0,"1,073"
Burlington,-,"Chittenden 7-2 Ward 2",364,87,60,3,7,5,0,526
Burlington,-,"Chittenden 7-2 Ward 3","1,544",356,169,23,32,5,0,"2,129"
