City/Town,Ward,Pct,"Al Gore","George Bush","Ralph Nader","Pat Buchanan","Denny Lane","Harry Browne","John Hagelin","David McReynolds","Howard Phillips","James Harris",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Progressive/Green,"Vermont Localist","Vermont Grassroots",Libertarian,"Natural Law","Liberty Union",Constitution,"Socialist Workers"
Addison,,,262,385,27,9,1,0,1,0,0,1,1,0,0,687
Albany,,,225,220,35,4,3,1,0,0,0,0,1,0,0,489
Alburgh,,,365,371,18,14,10,1,2,0,0,0,1,0,0,782
Andover,,,111,138,27,2,0,0,0,0,0,0,0,0,0,278
Arlington,,,584,539,96,4,6,3,1,0,0,1,3,0,0,"1,237"
Athens,,,48,70,11,0,0,0,0,0,0,0,0,0,0,129
Bakersfield,,,299,233,51,11,1,2,1,0,1,0,1,0,0,600
Baltimore,,,39,58,8,1,1,0,0,0,0,0,0,0,0,107
Barnard,,,267,272,27,3,1,0,1,0,0,0,0,0,0,571
Barnet,,,364,430,85,11,3,9,1,0,2,1,1,0,0,907
"Barre City",-,"Washington 4-1",866,800,82,13,7,4,3,1,2,1,1,0,0,"1,780"
"Barre City",-,"Washington 4-2","1,029",876,74,24,11,1,2,0,1,0,3,0,0,"2,021"
"Barre Town",,,"1,778","2,099",122,39,14,8,2,0,2,1,7,0,0,"4,072"
Barton,-,"Barton Memorial",350,426,29,7,5,1,1,0,0,0,4,0,0,823
Barton,-,"Orleans Memorial",199,256,14,3,3,4,0,0,0,0,1,0,0,480
Belvidere,,,63,62,4,3,1,2,0,0,1,0,0,0,0,136
Bennington,-,"Bennington 2-1","1,189",882,130,14,15,12,0,0,0,0,6,0,0,"2,248"
Bennington,-,"Bennington 2-1 Nb",366,138,83,2,0,1,0,1,0,0,2,0,0,593
Bennington,-,"Bennington 2-2",487,319,47,4,3,2,0,0,0,1,0,0,0,863
Bennington,-,"Bennington 2-3","1,690","1,039",185,12,15,9,3,0,0,0,0,0,0,"2,953"
Bennington,-,"Bennington 2-4",13,6,1,0,0,0,0,0,0,0,0,0,0,20
Benson,,,205,220,23,1,1,1,0,0,0,0,0,0,0,451
Berkshire,,,282,250,22,12,0,0,10,5,0,0,0,0,0,581
Berlin,,,609,556,65,10,10,3,0,1,0,0,1,0,0,"1,255"
Bethel,,,487,387,60,7,5,6,0,0,2,0,2,0,0,956
Bloomfield,,,41,58,7,0,0,0,0,0,0,0,0,0,0,106
Bolton,,,262,220,37,7,1,2,0,0,0,0,0,0,0,529
Bradford,,,567,656,59,5,7,3,3,3,2,1,3,0,0,"1,309"
Braintree,,,267,273,38,2,3,1,0,0,0,0,0,0,0,584
Brandon,,,914,775,62,13,8,1,1,0,1,2,2,0,0,"1,779"
Brattleboro,-,"Windham 2-1","1,143",698,208,8,5,6,2,3,4,0,2,0,0,"2,079"
Brattleboro,-,"Windham 2-2","1,013",387,237,8,8,3,0,1,0,2,2,0,0,"1,661"
Brattleboro,-,"Windham 2-3",972,401,325,14,5,6,8,5,0,0,4,0,0,"1,740"
Bridgewater,,,233,270,30,2,3,5,0,0,0,0,1,0,0,544
Bridport,,,301,327,27,4,2,4,1,0,0,0,0,0,0,666
Brighton,,,261,353,21,13,3,1,1,0,3,0,0,0,0,656
Bristol,,,865,664,112,25,7,6,3,0,2,0,1,0,0,"1,685"
Brookfield,,,326,341,43,3,3,1,1,0,0,0,1,0,0,719
