City/Town,Ward,Pct,"Bernard Sanders","Karen Ann Kerin","Pete Diamondstone","Stewart Skrill","Jack Rogers","Daniel H. Krymkowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Republican,"Liberty Union/Democratic",Independent,"Vermont Grassroots",Libertarian
Addison,,,434,169,20,31,4,4,0,0,662
Albany,,,334,64,21,26,25,6,0,0,476
Alburgh,,,534,99,34,74,11,5,0,0,757
Andover,,,139,91,14,12,10,5,0,0,271
Arlington,,,726,328,85,34,26,9,1,0,"1,209"
Athens,,,59,30,15,20,0,2,0,0,126
Bakersfield,,,462,76,21,17,8,7,1,0,592
Baltimore,,,60,32,5,3,2,1,0,0,103
Barnard,,,361,121,27,40,3,2,1,0,555
Barnet,,,571,189,47,46,13,15,0,0,881
"Barre City",-,"Washington 4-1","1,201",281,80,94,24,28,8,0,"1,716"
"Barre City",-,"Washington 4-2","1,445",271,105,102,25,13,1,0,"1,962"
"Barre Town",,,"2,629",781,165,245,44,38,10,0,"3,912"
Barton,-,"Barton Memorial",515,113,32,92,38,6,1,0,797
Barton,-,"Orleans Memorial",336,62,16,27,18,6,0,0,465
Belvidere,,,92,28,4,2,2,4,0,0,132
Bennington,-,"Bennington 2-1","1,386",463,196,52,34,15,1,0,"2,147"
Bennington,-,"Bennington 2-1 Nb",392,78,65,10,9,4,0,0,558
Bennington,-,"Bennington 2-2",535,182,86,18,13,6,0,0,840
Bennington,-,"Bennington 2-3","1,880",541,260,59,45,21,0,0,"2,806"
Bennington,-,"Bennington 2-4",11,5,3,0,0,0,0,0,19
Benson,,,276,110,15,15,19,4,0,0,439
Berkshire,,,455,70,21,14,6,3,0,0,569
Berlin,,,894,190,48,58,6,11,6,0,"1,213"
Bethel,,,606,147,44,102,13,12,3,0,927
Bloomfield,,,34,33,25,0,7,0,0,0,99
Bolton,,,386,90,16,13,8,6,2,0,521
Bradford,,,800,273,83,92,18,12,0,0,"1,278"
Braintree,,,336,52,25,144,3,7,0,0,567
Brandon,,,"1,172",313,77,128,14,8,4,0,"1,716"
Brattleboro,-,"Windham 2-1","1,358",436,115,42,30,15,5,0,"2,001"
Brattleboro,-,"Windham 2-2","1,153",237,150,22,21,8,0,0,"1,591"
Brattleboro,-,"Windham 2-3","1,192",234,161,22,39,13,2,0,"1,663"
Bridgewater,,,310,109,36,51,11,6,0,0,523
Bridport,,,426,135,30,27,15,12,0,0,645
Brighton,,,418,124,47,20,23,6,1,0,639
Bristol,,,"1,235",269,69,38,17,15,4,0,"1,647"
Brookfield,,,454,94,22,133,5,3,0,0,711
Brookline,,,129,78,24,3,6,4,0,0,244
Brownington,,,233,80,12,13,21,2,0,0,361
Brunswick,,,30,8,3,2,3,0,0,0,46
Burke,,,478,148,30,53,17,8,0,0,734
Burlington,-,"Chittenden 7-1 Ward 5","2,108",339,125,58,33,26,8,0,"2,697"
Burlington,-,"Chittenden 7-1 Ward 6",883,83,50,7,22,21,7,0,"1,073"
Burlington,-,"Chittenden 7-2 Ward 2",445,39,29,5,21,6,5,0,550
Burlington,-,"Chittenden 7-2 Ward 3","1,764",163,110,22,55,25,4,0,"2,143"
Burlington,-,"Chittenden 7-2 Ward 5",74,8,3,1,2,2,0,0,90
Burlington,-,"Chittenden 7-3 Ward 1","1,728",211,176,42,83,36,7,0,"2,283"
Burlington,-,"Chittenden 7-3 Ward 2",105,11,8,3,6,4,1,0,138
Burlington,-,"Chittenden 7-3 Ward 6",282,39,58,4,31,9,2,0,425
Burlington,-,"Chittenden 7-4 Ward 2","1,108",68,73,15,44,13,6,0,"1,327"
Burlington,-,"Chittenden 7-5 Ward 3",85,7,4,5,1,0,0,0,102
Burlington,-,"Chittenden 7-5 Ward 4",328,72,15,14,5,6,2,0,442
Burlington,-,"Chittenden 7-5 Ward 7","1,018",175,53,33,16,23,10,0,"1,328"
Burlington,-,"Chittenden 7-6 Ward 4","1,685",346,86,39,22,28,11,0,"2,217"
Burlington,-,"Chittenden 7-6 Ward 7",982,163,69,39,12,16,8,0,"1,289"
Burlington,-,"Chittenden 7-7 Ward 6",748,156,32,12,8,15,7,0,978
Cabot,,,451,75,13,26,15,8,3,0,591
Calais,,,690,106,39,34,40,7,0,0,916
Cambridge,,,"1,175",271,53,37,16,11,5,0,"1,568"
Canaan,,,231,98,37,6,27,8,0,0,407
Castleton,,,"1,047",381,91,73,70,11,5,0,"1,678"
Cavendish,,,368,188,39,19,11,5,0,0,630
Charleston,,,308,82,13,21,27,4,0,0,455
Charlotte,,,"1,530",334,77,46,17,42,10,0,"2,056"
Chelsea,,,415,91,21,131,2,3,1,0,664
Chester,,,917,340,118,58,26,15,1,0,"1,475"
Chittenden,,,365,191,25,34,13,5,0,0,633
Clarendon,,,763,328,61,76,26,12,2,0,"1,268"
Colchester,-,"Chittenden 1-1","3,191",660,199,102,39,48,25,0,"4,264"
Colchester,-,"Chittenden 1-2","2,079",476,112,57,20,34,11,0,"2,789"
Colchester,-,"Chittenden 1-3",22,1,4,0,0,0,0,0,27
Concord,,,285,106,27,20,18,4,0,0,460
Corinth,,,443,91,38,137,15,7,1,0,732
Cornwall,,,475,119,28,23,9,11,3,0,668
Coventry,,,262,53,12,26,17,2,2,0,374
Craftsbury,,,507,53,15,19,16,3,3,0,616
Danby,,,336,190,37,23,23,7,0,0,616
Danville,,,742,270,53,87,12,14,1,0,"1,179"
Derby,,,"1,476",358,106,80,81,15,4,0,"2,120"
Dorset,,,557,438,72,17,17,12,0,0,"1,113"
Dover,,,277,263,75,15,11,4,1,0,646
Dummerston,,,709,209,62,14,18,5,0,0,"1,017"
Duxbury,,,474,76,24,27,5,8,1,0,615
"E. Haven",,,88,33,4,7,6,3,1,0,142
