City/Town,Ward,Pct,"James M. Jeffords","Ed Flanagan","Charles Russell","Rick Hubbard","Billy Greer","Hugh Douglas","Jerry Levy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Constitution,Independent,"Vermont Grassroots",Libertarian,"Liberty Union"
Addison,,,524,109,29,6,2,7,1,0,0,678
Albany,,,292,139,24,10,14,7,1,0,0,487
Alburgh,,,452,192,75,16,17,16,2,0,0,770
Andover,,,198,42,12,2,8,11,1,0,0,274
Arlington,,,822,323,22,25,24,17,5,0,0,"1,238"
Athens,,,61,28,25,8,2,1,3,0,0,128
Bakersfield,,,424,126,7,8,11,12,1,3,0,592
Baltimore,,,71,27,1,3,1,2,1,0,0,106
Barnard,,,416,104,33,3,4,6,2,0,0,568
Barnet,,,542,226,60,15,12,22,4,0,0,881
"Barre City",-,"Washington 4-1","1,206",436,57,13,16,21,4,3,0,"1,756"
"Barre City",-,"Washington 4-2","1,308",524,76,22,19,18,7,1,0,"1,975"
"Barre Town",,,"2,893",833,134,47,33,43,4,5,0,"3,992"
Barton,-,"Barton Memorial",516,172,86,11,12,8,1,1,0,807
Barton,-,"Orleans Memorial",325,98,25,11,8,4,2,0,0,473
Belvidere,,,104,22,2,1,2,4,0,0,0,135
Bennington,-,"Bennington 2-1","1,459",587,27,30,27,45,16,0,0,"2,191"
Bennington,-,"Bennington 2-1 Nb",288,234,5,10,13,10,5,0,0,565
Bennington,-,"Bennington 2-2",552,235,12,16,10,11,9,0,0,845
Bennington,-,"Bennington 2-3","1,805",859,47,44,36,27,33,0,0,"2,851"
Bennington,-,"Bennington 2-4",14,6,0,0,0,0,0,0,0,20
Benson,,,321,77,11,12,10,11,2,0,0,444
Berkshire,,,359,132,11,6,6,23,37,2,0,576
Berlin,,,860,286,49,19,16,11,5,1,0,"1,247"
Bethel,,,617,211,70,10,13,17,5,0,0,943
Bloomfield,,,45,35,3,3,4,2,1,0,0,93
Bolton,,,354,133,10,12,5,8,2,0,0,524
Bradford,,,786,324,88,13,41,23,8,3,0,"1,286"
Braintree,,,337,108,114,3,7,6,1,0,0,576
Brandon,,,"1,188",371,114,31,13,19,2,2,0,"1,740"
Brattleboro,-,"Windham 2-1","1,216",644,41,32,27,22,57,6,0,"2,045"
Brattleboro,-,"Windham 2-2",775,679,25,29,24,12,74,3,0,"1,621"
Brattleboro,-,"Windham 2-3",801,685,17,34,49,22,84,1,0,"1,693"
Bridgewater,,,344,112,46,8,11,9,2,2,0,534
Bridport,,,499,111,20,7,8,15,2,1,0,663
Brighton,,,433,154,22,12,10,10,8,0,0,649
Bristol,,,"1,111",441,33,36,30,15,4,0,0,"1,670"
Brookfield,,,444,148,97,11,8,5,2,1,0,716
Brookline,,,148,74,2,9,6,3,1,0,0,243
Brownington,,,235,86,19,3,9,6,2,1,0,361
Brunswick,,,34,7,1,4,1,0,0,0,0,47
Burke,,,474,157,56,20,12,19,2,1,0,741
Burlington,-,"Chittenden 7-1 Ward 5","1,583",971,43,34,71,35,9,5,0,"2,751"
Burlington,-,"Chittenden 7-1 Ward 6",545,434,10,28,49,20,1,3,0,"1,090"
Burlington,-,"Chittenden 7-2 Ward 2",208,280,3,17,27,5,5,2,0,547
Burlington,-,"Chittenden 7-2 Ward 3",947,"1,004",23,28,110,39,7,6,0,"2,164"
Burlington,-,"Chittenden 7-2 Ward 5",36,47,0,0,6,0,0,0,0,89
Burlington,-,"Chittenden 7-3 Ward 1","1,034","1,024",50,44,131,37,12,7,0,"2,339"
Burlington,-,"Chittenden 7-3 Ward 2",60,67,1,1,11,0,1,0,0,141
Burlington,-,"Chittenden 7-3 Ward 6",148,232,2,7,32,12,4,0,0,437
Burlington,-,"Chittenden 7-4 Ward 2",510,671,8,20,80,18,9,5,0,"1,321"
