City/Town,Ward,Pct,"James Leddy","Jean B. Ankeney","Barbara W. Snelling","Janet S. Munt","Jim Condos","Virginia Lyons","Karen Moran Lafayette","Skip Vallee","Donald R. Brunelle","William L. Parkinson","Leigh E. Pfenning","Tut Parmly","Otto Engelberth","Gavin T. Mills","Bruce D. Cunningham","Stephen Pollak","Brendan Kinney","Christopher Coolidge",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Democratic,Democratic,Democratic,Democratic,Republican,Republican,Republican,Republican,Republican,Independent,Independent,Independent,Libertarian,Libertarian,Libertarian
Bolton,,,225,220,221,190,177,213,180,206,188,176,168,205,117,74,47,28,22,19,4,0,"2,680"
Burlington,-,"Chittenden 7-1 Ward 5","1,613","1,510","1,112","1,475","1,316","1,200","1,473",723,675,536,495,536,400,337,180,122,73,81,33,0,"13,890"
Burlington,-,"Chittenden 7-1 Ward 6",661,649,361,642,559,512,584,167,153,110,108,119,165,152,80,86,61,62,17,0,"5,248"
Burlington,-,"Chittenden 7-2 Ward 2",305,289,152,299,281,271,266,78,69,51,52,45,97,72,56,54,46,36,13,0,"2,532"
Burlington,-,"Chittenden 7-2 Ward 3","1,257","1,237",655,"1,226","1,076","1,020","1,165",329,351,232,229,235,297,298,199,166,136,149,34,0,"10,291"
Burlington,-,"Chittenden 7-2 Ward 5",53,46,24,45,40,39,42,11,9,3,5,5,12,12,8,9,10,3,1,0,377
Burlington,-,"Chittenden 7-3 Ward 1","1,380","1,294",735,"1,289","1,143","1,081","1,187",455,407,305,305,301,307,353,200,177,121,127,34,0,"11,201"
Burlington,-,"Chittenden 7-3 Ward 2",82,69,41,80,72,68,81,21,17,17,14,15,27,22,11,11,11,9,2,0,670
Burlington,-,"Chittenden 7-3 Ward 6",234,231,102,236,217,206,204,60,54,41,40,39,58,53,45,44,29,28,12,0,"1,933"
Burlington,-,"Chittenden 7-4 Ward 2",762,762,371,772,654,615,671,179,190,123,126,131,218,177,139,101,71,69,16,0,"6,147"
Burlington,-,"Chittenden 7-5 Ward 3",64,62,30,62,54,48,55,20,20,19,16,14,14,23,13,4,3,3,1,0,525
Burlington,-,"Chittenden 7-5 Ward 4",263,218,214,233,192,161,219,172,157,118,133,131,69,65,25,14,16,14,6,0,"2,420"
Burlington,-,"Chittenden 7-5 Ward 7",732,631,561,662,557,477,602,497,473,341,383,360,216,250,103,50,30,35,18,0,"6,978"
Burlington,-,"Chittenden 7-6 Ward 4","1,248","1,118","1,093","1,071",973,811,965,821,807,573,604,594,374,311,154,78,45,51,51,0,"11,742"
Burlington,-,"Chittenden 7-6 Ward 7",645,588,499,592,542,449,553,485,490,343,369,353,183,259,100,45,48,39,29,0,"6,611"
Burlington,-,"Chittenden 7-7 Ward 6",638,558,502,540,500,423,498,312,227,179,172,187,159,94,55,49,39,39,26,0,"5,197"
Charlotte,,,"1,062","1,109","1,094",992,877,853,770,742,612,590,500,492,429,189,192,161,70,63,19,0,"10,816"
Essex,-,"Chittenden 2-1","1,892","1,718","2,210","1,625","1,455","1,432","1,209","2,145","1,984","1,664","1,743","1,679","1,529",984,368,169,131,118,89,0,"24,144"
Essex,-,"Chittenden 2-3",203,193,237,188,135,151,144,217,196,170,174,150,149,110,40,18,19,12,5,0,"2,511"
Essex,-,"Chittenden 2-4","1,738","1,491","2,004","1,373","1,321","1,262","1,102","1,777","1,719","1,415","1,430","1,420","1,354",812,327,174,125,119,88,0,"21,051"
Hinesburg,,,"1,033","1,187",933,980,816,878,740,666,549,837,488,520,371,255,502,87,71,62,10,0,"10,985"
Huntington,,,471,512,375,434,358,434,373,279,235,226,228,276,167,108,117,48,31,28,15,0,"4,715"
Jericho,,,"1,218","1,247","1,194","1,112",967,"1,016",905,"1,031",984,849,"1,038",976,525,524,182,95,65,79,31,0,"14,038"
Milton,-,"Chittenden 2-2","1,391","1,153","1,698","1,095","1,026",872,855,"1,593","1,517","1,176","1,244","1,113",733,677,211,136,124,121,26,0,"16,761"
Milton,-,"Chittenden 2-3",194,164,219,149,155,134,138,239,206,183,193,169,103,94,25,16,12,12,8,0,"2,413"
Richmond,,,"1,034","1,030",920,878,779,990,760,753,683,611,602,827,482,338,191,75,58,66,29,0,"11,106"
Shelburne,-,"Chittenden 5-1",492,457,598,456,388,355,336,476,375,367,326,334,263,143,61,81,26,16,8,0,"5,558"
Shelburne,-,"Chittenden 5-3",117,110,154,103,95,87,79,98,79,77,73,70,74,24,23,23,6,5,4,0,"1,301"
