City/Town,Ward,Pct,"James H. Douglas","Claude Delucia",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican/Democratic,Progressive
Addison,,,632,37,0,0,669
Albany,,,407,58,1,0,466
Alburgh,,,672,70,2,0,744
Andover,,,234,28,0,0,262
Arlington,,,956,265,0,0,"1,221"
Athens,,,101,18,0,0,119
Bakersfield,,,497,76,1,0,574
Baltimore,,,91,10,0,0,101
Barnard,,,473,63,0,0,536
Barnet,,,706,134,1,0,841
"Barre City",-,"Washington 4-1","1,529",141,2,0,"1,672"
"Barre City",-,"Washington 4-2","1,699",170,6,0,"1,875"
"Barre Town",,,"3,627",232,9,0,"3,868"
Barton,-,"Barton Memorial",717,59,2,0,778
Barton,-,"Orleans Memorial",432,36,0,0,468
Belvidere,,,110,14,1,0,125
Bennington,-,"Bennington 2-1","1,451",598,0,0,"2,049"
Bennington,-,"Bennington 2-1 Nb",338,185,0,0,523
Bennington,-,"Bennington 2-2",581,212,0,0,793
Bennington,-,"Bennington 2-3","1,871",814,0,0,"2,685"
Bennington,-,"Bennington 2-4",12,5,0,0,17
Benson,,,382,47,0,0,429
Berkshire,,,527,38,0,0,565
Berlin,,,"1,097",114,2,0,"1,213"
Bethel,,,782,121,1,0,904
Bloomfield,,,81,14,0,0,95
Bolton,,,426,68,2,0,496
Bradford,,,"1,108",126,0,0,"1,234"
Braintree,,,506,51,0,0,557
Brandon,,,"1,588",110,0,0,"1,698"
Brattleboro,-,"Windham 2-1","1,543",363,3,0,"1,909"
Brattleboro,-,"Windham 2-2","1,130",385,2,0,"1,517"
Brattleboro,-,"Windham 2-3","1,063",527,4,0,"1,594"
Bridgewater,,,440,61,0,0,501
Bridport,,,611,34,0,0,645
Brighton,,,542,75,1,0,618
Bristol,,,"1,459",163,4,0,"1,626"
Brookfield,,,584,103,0,0,687
Brookline,,,203,34,1,0,238
Brownington,,,301,47,1,0,349
Brunswick,,,44,2,0,0,46
Burke,,,626,80,1,0,707
Burlington,-,"Chittenden 7-1 Ward 5","1,968",540,30,0,"2,538"
Burlington,-,"Chittenden 7-1 Ward 6",614,355,7,0,976
Burlington,-,"Chittenden 7-2 Ward 2",268,201,6,0,475
Burlington,-,"Chittenden 7-2 Ward 3","1,202",748,23,0,"1,973"
Burlington,-,"Chittenden 7-2 Ward 5",48,32,0,0,80
Burlington,-,"Chittenden 7-3 Ward 1","1,320",742,22,0,"2,084"
Burlington,-,"Chittenden 7-3 Ward 2",67,57,1,0,125
Burlington,-,"Chittenden 7-3 Ward 6",214,162,3,0,379
Burlington,-,"Chittenden 7-4 Ward 2",664,511,9,0,"1,184"
Burlington,-,"Chittenden 7-5 Ward 3",66,32,0,0,98
Burlington,-,"Chittenden 7-5 Ward 4",364,62,3,0,429
Burlington,-,"Chittenden 7-5 Ward 7","1,089",165,9,0,"1,263"
Burlington,-,"Chittenden 7-6 Ward 4","1,923",232,11,0,"2,166"
Burlington,-,"Chittenden 7-6 Ward 7","1,083",141,14,0,"1,238"
Burlington,-,"Chittenden 7-7 Ward 6",795,151,5,0,951
Cabot,,,466,101,1,0,568
Calais,,,673,217,0,0,890
Cambridge,,,"1,281",198,0,0,"1,479"
Canaan,,,330,50,1,0,381
Castleton,,,"1,418",188,6,0,"1,612"
Cavendish,,,528,73,0,0,601
Charleston,,,374,69,1,0,444
Charlotte,,,"1,726",262,3,0,"1,991"
Chelsea,,,576,70,1,0,647
Chester,,,"1,243",158,2,0,"1,403"
Chittenden,,,546,66,0,0,612
Clarendon,,,"1,112",121,2,0,"1,235"
Colchester,-,"Chittenden 1-1","3,619",415,27,0,"4,061"
Colchester,-,"Chittenden 1-2","2,452",214,3,0,"2,669"
Colchester,-,"Chittenden 1-3",10,13,0,0,23
Concord,,,390,53,0,0,443
Corinth,,,611,84,2,0,697
Cornwall,,,616,39,2,0,657
Coventry,,,334,29,1,0,364
Craftsbury,,,473,111,0,0,584
Danby,,,491,94,0,0,585
Danville,,,"1,027",118,0,0,"1,145"
Derby,,,"1,878",148,7,0,"2,033"
Dorset,,,868,161,1,0,"1,030"
Dover,,,499,120,0,0,619
Dummerston,,,791,173,2,0,966
Duxbury,,,527,62,0,0,589
"E. Haven",,,122,10,0,0,132
"E. Montpelier",,,"1,196",206,3,0,"1,405"
Eden,,,369,75,1,0,445
Elmore,,,349,64,0,0,413
Enosburgh,,,"1,002",94,1,0,"1,097"
Essex,-,"Chittenden 2-1","4,010",369,26,0,"4,405"
Essex,-,"Chittenden 2-3",389,59,1,0,449
Essex,-,"Chittenden 2-4","3,578",348,13,0,"3,939"
"Fair Haven",,,991,98,1,0,"1,090"
Fairfax,,,"1,384",144,6,0,"1,534"
Fairfield,,,728,85,0,0,813
Fairlee,,,457,71,0,0,528
Fayston,,,543,95,0,0,638
