City/Town,Ward,Pct,"John S. Hall",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,195,0,0,195
Albany,,,167,0,0,167
Alburgh,,,186,0,0,186
Andover,,,61,0,0,61
Arlington,,,194,0,0,194
Athens,,,42,0,0,42
Bakersfield,,,77,0,0,77
Baltimore,,,27,0,0,27
Barnard,,,122,0,0,122
Barnet,,,226,0,0,226
"Barre City",-,"Washington 4-1",446,0,0,446
"Barre City",-,"Washington 4-2",448,0,0,448
"Barre Town",,,"1,376",0,0,"1,376"
Barton,-,"Barton Memorial",269,0,0,269
Barton,-,"Orleans Memorial",180,0,0,180
Belvidere,,,43,0,0,43
Bennington,-,"Bennington 2-1",247,0,0,247
Bennington,-,"Bennington 2-1 Nb",41,0,0,41
Bennington,-,"Bennington 2-2",92,0,0,92
Bennington,-,"Bennington 2-3",309,0,0,309
Bennington,-,"Bennington 2-4",0,0,0,0
Benson,,,69,0,0,69
Berkshire,,,84,0,0,84
Berlin,,,273,0,0,273
Bethel,,,245,0,0,245
Bloomfield,,,11,0,0,11
Bolton,,,115,0,0,115
Bradford,,,292,0,0,292
Braintree,,,163,0,0,163
Brandon,,,273,0,0,273
Brattleboro,-,"Windham 2-1",265,0,0,265
Brattleboro,-,"Windham 2-2",145,0,0,145
Brattleboro,-,"Windham 2-3",157,0,0,157
Bridgewater,,,107,0,0,107
Bridport,,,172,0,0,172
Brighton,,,186,0,0,186
Bristol,,,474,0,0,474
Brookfield,,,182,0,0,182
Brookline,,,61,0,0,61
Brownington,,,128,0,0,128
Brunswick,,,11,0,0,11
Burke,,,175,0,0,175
Burlington,-,"Chittenden 7-1 Ward 5",307,0,0,307
Burlington,-,"Chittenden 7-1 Ward 6",63,0,0,63
Burlington,-,"Chittenden 7-2 Ward 2",21,0,0,21
Burlington,-,"Chittenden 7-2 Ward 3",139,0,0,139
Burlington,-,"Chittenden 7-2 Ward 5",7,0,0,7
Burlington,-,"Chittenden 7-3 Ward 1",161,0,0,161
Burlington,-,"Chittenden 7-3 Ward 2",8,0,0,8
Burlington,-,"Chittenden 7-3 Ward 6",11,0,0,11
Burlington,-,"Chittenden 7-4 Ward 2",61,0,0,61
Burlington,-,"Chittenden 7-5 Ward 3",5,0,0,5
Burlington,-,"Chittenden 7-5 Ward 4",72,0,0,72
Burlington,-,"Chittenden 7-5 Ward 7",209,0,0,209
Burlington,-,"Chittenden 7-6 Ward 4",399,0,0,399
Burlington,-,"Chittenden 7-6 Ward 7",197,0,0,197
Burlington,-,"Chittenden 7-7 Ward 6",143,0,0,143
Cabot,,,92,0,0,92
Calais,,,194,0,0,194
Cambridge,,,294,0,0,294
Canaan,,,89,0,0,89
Castleton,,,460,0,0,460
Cavendish,,,125,0,0,125
Charleston,,,174,0,0,174
Charlotte,,,312,0,0,312
Chelsea,,,301,0,0,301
Chester,,,214,0,0,214
Chittenden,,,120,0,0,120
Clarendon,,,390,0,0,390
Colchester,-,"Chittenden 1-1",709,0,0,709
Colchester,-,"Chittenden 1-2",538,0,0,538
Colchester,-,"Chittenden 1-3",0,0,0,0
Concord,,,116,0,0,116
Corinth,,,205,0,0,205
Cornwall,,,96,0,0,96
Coventry,,,142,0,0,142
Craftsbury,,,164,0,0,164
Danby,,,118,0,0,118
Danville,,,320,0,0,320
Derby,,,673,0,0,673
Dorset,,,241,0,0,241
Dover,,,198,0,0,198
Dummerston,,,149,0,0,149
Duxbury,,,110,0,0,110
"E. Haven",,,31,0,0,31
"E. Montpelier",,,354,0,0,354
Eden,,,100,0,0,100
Elmore,,,107,0,0,107
Enosburgh,,,149,0,0,149
Essex,-,"Chittenden 2-1",848,0,0,848
Essex,-,"Chittenden 2-3",92,0,0,92
