City/Town,Ward,Pct,"William H. Sorrell","Ed Stokes",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,4,9,0,0,13
Albany,,,14,6,0,0,20
Alburgh,,,37,8,0,0,45
Andover,,,1,1,0,0,2
Arlington,,,3,2,0,0,5
Athens,,,0,26,0,0,26
Bakersfield,,,14,0,0,0,14
Baltimore,,,3,0,0,0,3
Barnard,,,7,8,0,0,15
Barnet,,,11,14,0,0,25
"Barre City",-,"Washington 4-1",15,48,0,0,63
"Barre City",-,"Washington 4-2",59,33,0,0,92
"Barre Town",,,213,96,0,0,309
Barton,-,"Barton Memorial",124,8,0,0,132
Barton,-,"Orleans Memorial",57,1,0,0,58
Belvidere,,,1,1,0,0,2
Bennington,-,"Bennington 2-1",4,5,0,0,9
Bennington,-,"Bennington 2-1 Nb",1,2,0,0,3
Bennington,-,"Bennington 2-2",2,1,0,0,3
Bennington,-,"Bennington 2-3",9,8,0,0,17
Benson,,,3,1,0,0,4
Berkshire,,,22,0,0,0,22
Berlin,,,19,25,0,0,44
Bethel,,,7,13,0,0,20
Bloomfield,,,1,0,0,0,1
Bolton,,,21,8,0,0,29
Bradford,,,64,13,0,0,77
Braintree,,,16,34,0,0,50
Brandon,,,24,4,0,0,28
Brattleboro,-,"Windham 2-1",8,2,0,0,10
Brattleboro,-,"Windham 2-2",17,6,0,0,23
Brattleboro,-,"Windham 2-3",5,3,0,0,8
Bridgewater,,,15,4,0,0,19
Bridport,,,15,34,0,0,49
Brighton,,,7,2,0,0,9
Bristol,,,18,10,0,0,28
Brookfield,,,14,29,0,0,43
Brookline,,,1,7,0,0,8
Brownington,,,24,0,0,0,24
Brunswick,,,1,0,0,0,1
Burke,,,10,6,0,0,16
Burlington,-,"Chittenden 7-1 Ward 5",28,20,0,0,48
Burlington,-,"Chittenden 7-1 Ward 6",4,2,0,0,6
Burlington,-,"Chittenden 7-2 Ward 2",2,1,0,0,3
Burlington,-,"Chittenden 7-2 Ward 3",8,4,0,0,12
Burlington,-,"Chittenden 7-3 Ward 1",20,9,0,0,29
Burlington,-,"Chittenden 7-3 Ward 2",0,1,0,0,1
Burlington,-,"Chittenden 7-3 Ward 6",2,0,0,0,2
Burlington,-,"Chittenden 7-4 Ward 2",3,2,0,0,5
Burlington,-,"Chittenden 7-5 Ward 4",3,0,0,0,3
Burlington,-,"Chittenden 7-5 Ward 7",11,5,0,0,16
Burlington,-,"Chittenden 7-6 Ward 4",25,9,0,0,34
Burlington,-,"Chittenden 7-6 Ward 7",13,10,0,0,23
Burlington,-,"Chittenden 7-7 Ward 6",6,6,0,0,12
Cabot,,,7,1,0,0,8
Calais,,,5,6,0,0,11
Cambridge,,,17,10,0,0,27
Canaan,,,2,2,0,0,4
Castleton,,,6,3,0,0,9
Cavendish,,,6,4,0,0,10
Charleston,,,16,3,0,0,19
Charlotte,,,11,12,0,0,23
Chelsea,,,42,21,0,0,63
Chester,,,11,0,0,0,11
Chittenden,,,1,76,0,0,77
Clarendon,,,11,16,0,0,27
Colchester,-,"Chittenden 1-1",30,25,0,0,55
Colchester,-,"Chittenden 1-2",20,11,0,0,31
Concord,,,6,1,0,0,7
Corinth,,,4,44,0,0,48
Cornwall,,,6,3,0,0,9
Coventry,,,20,5,0,0,25
Craftsbury,,,28,3,0,0,31
Danby,,,11,0,0,0,11
Danville,,,14,15,0,0,29
Derby,,,223,18,0,0,241
Dorset,,,6,3,0,0,9
Dover,,,1,0,0,0,1
Dummerston,,,6,0,0,0,6
Duxbury,,,9,0,0,0,9
"E. Haven",,,1,0,0,0,1
"E. Montpelier",,,25,24,0,0,49
Eden,,,13,1,0,0,14
Elmore,,,10,2,0,0,12
Enosburgh,,,38,2,0,0,40
Essex,-,"Chittenden 2-1",41,50,0,0,91
Essex,-,"Chittenden 2-3",2,3,0,0,5
Essex,-,"Chittenden 2-4",52,47,0,0,99
"Fair Haven",,,5,0,0,0,5
Fairfax,,,17,6,0,0,23
Fairfield,,,21,3,0,0,24
Fairlee,,,6,8,0,0,14
Fayston,,,5,8,0,0,13
Ferrisburgh,,,20,18,0,0,38
Fletcher,,,13,7,0,0,20
Georgia,,,14,8,0,0,22
Glover,,,30,0,0,0,30
Goshen,,,1,0,0,0,1
