City/Town,Ward,Pct,"Howard Dean","Brian Pearl",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,43,4,1,0,48
Albany,,,36,4,1,0,41
Alburgh,,,60,21,11,0,92
Andover,,,35,4,2,0,41
Arlington,,,94,13,0,0,107
Athens,,,12,5,0,0,17
Bakersfield,,,84,27,13,0,124
Baltimore,,,6,6,2,0,14
Barnard,,,40,10,1,0,51
Barnet,,,54,8,5,0,67
"Barre City",-,"Washington 4-1",142,29,2,0,173
"Barre City",-,"Washington 4-2",194,49,14,0,257
"Barre Town",,,293,55,65,0,413
Barton,-,"Barton Memorial",53,9,23,0,85
Barton,-,"Orleans Memorial",33,7,11,0,51
Belvidere,,,11,0,2,0,13
Bennington,-,"Bennington 2-1",110,13,1,0,124
Bennington,-,"Bennington 2-1 Nb",69,4,0,0,73
Bennington,-,"Bennington 2-2",44,4,0,0,48
Bennington,-,"Bennington 2-3",222,38,0,0,260
Bennington,-,"Bennington 2-4",2,1,0,0,3
Benson,,,28,5,3,0,36
Berkshire,,,74,39,24,0,137
Berlin,,,80,22,2,0,104
Bethel,,,116,13,6,0,135
Bloomfield,,,5,1,0,0,6
Bolton,,,65,8,13,0,86
Bradford,,,114,9,17,0,140
Braintree,,,77,9,0,0,86
Brandon,,,128,16,4,0,148
Brattleboro,-,"Windham 2-1",258,32,12,0,302
Brattleboro,-,"Windham 2-2",314,49,15,0,378
Brattleboro,-,"Windham 2-3",275,28,12,0,315
Bridgewater,,,36,5,6,0,47
Bridport,,,55,6,2,0,63
Brighton,,,59,24,6,0,89
Bristol,,,331,51,10,0,392
Brookfield,,,105,23,2,0,130
Brookline,,,25,2,0,0,27
Brownington,,,21,8,1,0,30
Brunswick,,,3,2,0,0,5
Burke,,,58,3,3,0,64
Burlington,-,"Chittenden 7-1 Ward 5",486,41,12,0,539
Burlington,-,"Chittenden 7-1 Ward 6",216,8,6,0,230
Burlington,-,"Chittenden 7-2 Ward 2",48,3,3,0,54
Burlington,-,"Chittenden 7-2 Ward 3",335,41,19,0,395
Burlington,-,"Chittenden 7-2 Ward 5",16,1,0,0,17
Burlington,-,"Chittenden 7-3 Ward 1",366,18,11,0,395
Burlington,-,"Chittenden 7-3 Ward 2",20,0,0,0,20
Burlington,-,"Chittenden 7-3 Ward 6",36,1,1,0,38
Burlington,-,"Chittenden 7-4 Ward 2",183,25,11,0,219
Burlington,-,"Chittenden 7-5 Ward 3",17,1,0,0,18
Burlington,-,"Chittenden 7-5 Ward 4",121,8,2,0,131
Burlington,-,"Chittenden 7-5 Ward 7",279,40,3,0,322
Burlington,-,"Chittenden 7-6 Ward 4",452,34,4,0,490
Burlington,-,"Chittenden 7-6 Ward 7",202,34,8,0,244
Burlington,-,"Chittenden 7-7 Ward 6",236,9,3,0,248
Cabot,,,49,12,0,0,61
Calais,,,132,5,4,0,141
Cambridge,,,111,6,2,0,119
Canaan,,,25,10,0,0,35
Castleton,,,103,13,4,0,120
Cavendish,,,54,5,1,0,60
Charleston,,,16,3,4,0,23
Charlotte,,,269,19,4,0,292
Chelsea,,,58,7,3,0,68
Chester,,,226,28,4,0,258
Chittenden,,,37,4,2,0,43
Clarendon,,,119,35,2,0,156
Colchester,-,"Chittenden 1-1",272,29,9,0,310
Colchester,-,"Chittenden 1-2",258,46,3,0,307
Colchester,-,"Chittenden 1-3",1,0,0,0,1
Concord,,,19,3,1,0,23
Corinth,,,116,3,4,0,123
Cornwall,,,93,3,0,0,96
Coventry,,,18,5,1,0,24
Craftsbury,,,74,5,5,0,84
Danby,,,38,11,3,0,52
Danville,,,78,8,1,0,87
Derby,,,131,27,38,0,196
Dorset,,,47,8,3,0,58
Dover,,,31,4,0,0,35
Dummerston,,,136,18,5,0,159
