City/Town,Ward,Pct,"Ruth Dwyer","William Meub",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,161,83,0,0,244
Albany,,,149,55,5,0,209
Alburgh,,,174,76,11,0,261
Andover,,,52,29,0,0,81
Arlington,,,109,130,1,0,240
Athens,,,44,6,0,0,50
Bakersfield,,,77,39,1,0,117
Baltimore,,,22,7,0,0,29
Barnard,,,92,69,0,0,161
Barnet,,,169,87,3,0,259
"Barre City",-,"Washington 4-1",357,229,3,0,589
"Barre City",-,"Washington 4-2",382,193,11,0,586
"Barre Town",,,"1,131",552,35,0,"1,718"
Barton,-,"Barton Memorial",252,78,15,0,345
Barton,-,"Orleans Memorial",135,75,18,0,228
Belvidere,,,48,8,1,0,57
Bennington,-,"Bennington 2-1",210,147,6,0,363
Bennington,-,"Bennington 2-1 Nb",41,34,1,0,76
Bennington,-,"Bennington 2-2",78,59,2,0,139
Bennington,-,"Bennington 2-3",252,217,4,0,473
Bennington,-,"Bennington 2-4",0,0,0,0,0
Benson,,,44,48,3,0,95
Berkshire,,,84,22,1,0,107
Berlin,,,210,181,1,0,392
Bethel,,,174,138,2,0,314
Bloomfield,,,11,1,0,0,12
Bolton,,,107,50,2,0,159
Bradford,,,246,99,12,0,357
Braintree,,,126,60,6,0,192
Brandon,,,188,222,6,0,416
Brattleboro,-,"Windham 2-1",150,206,2,0,358
Brattleboro,-,"Windham 2-2",81,123,4,0,208
Brattleboro,-,"Windham 2-3",73,145,0,0,218
Bridgewater,,,74,46,2,0,122
Bridport,,,126,81,1,0,208
Brighton,,,173,40,0,0,213
Bristol,,,364,256,3,0,623
Brookfield,,,134,91,4,0,229
Brookline,,,54,29,0,0,83
Brownington,,,128,52,4,0,184
Brunswick,,,9,6,0,0,15
Burke,,,131,78,1,0,210
Burlington,-,"Chittenden 7-1 Ward 5",265,295,4,0,564
Burlington,-,"Chittenden 7-1 Ward 6",50,97,0,0,147
Burlington,-,"Chittenden 7-2 Ward 2",12,27,0,0,39
Burlington,-,"Chittenden 7-2 Ward 3",125,137,1,0,263
Burlington,-,"Chittenden 7-2 Ward 5",5,7,0,0,12
Burlington,-,"Chittenden 7-3 Ward 1",137,195,2,0,334
Burlington,-,"Chittenden 7-3 Ward 2",5,9,0,0,14
