City/Town,Ward,Pct,"John McCain","George Bush","Alan Keyes","Steve Forbes","Gary Bauer",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,,
Addison,,,151,121,2,1,2,2,0,0,279
Albany,,,35,38,4,2,1,0,0,0,80
Alburgh,,,123,77,4,2,0,0,0,0,206
Andover,,,59,30,9,1,1,0,0,0,100
Arlington,,,252,177,8,4,1,0,0,0,442
Athens,,,21,26,5,0,0,0,0,0,52
Bakersfield,,,88,42,0,1,1,0,0,0,132
Baltimore,,,22,10,0,1,0,0,0,0,33
Barnard,,,151,48,5,2,1,0,0,0,207
Barnet,,,146,70,11,2,2,0,0,0,231
"Barre City",,,532,410,25,6,7,0,0,0,980
"Barre Town",,,590,486,24,8,9,3,0,0,"1,120"
Barton,,,130,91,7,2,2,0,0,0,232
Belvidere,,,19,24,0,0,0,0,0,0,43
Bennington,,,929,510,46,5,9,0,0,0,"1,499"
Benson,,,81,67,0,4,2,0,0,0,154
Berkshire,,,74,35,2,2,0,1,0,0,114
Berlin,,,209,158,5,7,3,1,0,0,383
Bethel,,,169,60,8,1,0,0,0,0,238
Bloomfield,,,8,12,0,0,0,0,0,0,20
Bolton,,,67,49,1,1,0,0,0,0,118
Bradford,,,148,80,11,2,2,1,0,0,244
Braintree,,,96,48,6,0,0,1,0,0,151
Brandon,,,367,240,13,3,2,1,0,0,626
Brattleboro,,,965,395,26,5,6,4,0,0,"1,401"
Bridgewater,,,86,58,7,1,0,1,0,0,153
Bridport,,,115,114,7,2,1,1,0,0,240
Brighton,,,117,98,7,3,0,1,0,0,226
Bristol,,,249,197,7,3,2,0,0,0,458
Brookfield,,,171,56,6,1,1,0,0,0,235
Brookline,,,54,17,3,0,0,0,0,0,74
Brownington,,,48,37,2,1,1,0,0,0,89
Brunswick,,,14,3,1,1,0,0,0,0,19
Burke,,,133,63,6,2,3,1,0,0,208
Burlington,,,"2,625","1,222",82,22,9,35,0,0,"3,995"
Cabot,,,82,50,1,1,3,0,0,0,137
Calais,,,116,52,0,0,0,0,0,0,168
Cambridge,,,265,145,5,3,1,1,0,0,420
Canaan,,,86,25,3,2,0,0,0,0,116
Castleton,,,336,232,18,3,5,1,0,0,595
Cavendish,,,149,104,5,2,3,0,0,0,263
Charleston,,,54,35,1,1,0,1,0,0,92
Charlotte,,,372,224,13,4,2,0,0,0,615
Chelsea,,,97,43,3,1,1,0,0,0,145
Chester,,,341,145,29,3,0,1,0,0,519
Chittenden,,,218,155,6,2,3,1,0,0,385
Clarendon,,,270,260,18,5,4,5,0,0,562
Colchester,,,"1,228",704,51,11,3,4,0,0,"2,001"
Concord,,,102,76,3,4,2,1,0,0,188
Corinth,,,118,73,9,1,0,2,0,0,203
Cornwall,,,125,79,6,1,1,0,0,0,212
Coventry,,,31,26,1,0,1,0,0,0,59
Craftsbury,,,99,36,0,0,0,0,0,0,135
Danby,,,81,93,3,2,0,0,0,0,179
Danville,,,171,103,10,1,0,0,0,0,285
Derby,,,301,202,21,5,3,1,0,0,533
Dorset,,,247,173,11,6,0,23,0,0,460
Dover,,,149,84,10,3,3,0,0,0,249
Dummerston,,,229,81,8,2,0,1,0,0,321
Duxbury,,,86,36,1,0,0,0,0,0,123
"E. Haven",,,34,25,1,0,0,0,0,0,60
"E. Montpelier",,,242,141,10,2,0,2,0,0,397
Eden,,,45,26,2,2,0,0,0,0,75
Elmore,,,62,14,2,0,0,0,0,0,78
Enosburgh,,,115,60,5,1,1,1,0,0,183
Essex,,,"1,352",893,62,6,10,0,0,0,"2,323"
"Fair Haven",,,229,161,7,0,1,0,0,0,398
Fairfax,,,292,205,18,4,4,0,0,0,523
Fairfield,,,108,43,1,2,0,0,0,0,154
Fairlee,,,130,46,3,0,0,0,0,0,179
Fayston,,,84,31,4,0,0,0,0,0,119
Ferrisburgh,,,209,172,21,3,3,0,0,0,408
Fletcher,,,81,30,6,1,0,0,0,0,118
Franklin,,,67,45,2,2,0,0,0,0,116
Georgia,,,257,200,17,3,1,0,0,0,478
Glover,,,70,40,3,0,1,0,0,0,114
Goshen,,,26,18,1,0,0,0,0,0,45
Grafton,,,101,29,1,0,0,0,0,0,131
Granby,,,9,14,0,0,0,0,0,0,23
"Grand Isle",,,235,134,0,2,1,0,0,0,372
Granville,,,22,11,0,0,0,0,0,0,33
Greensboro,,,49,27,0,0,1,0,0,0,77
Groton,,,85,59,7,0,0,1,0,0,152
Guildhall,,,50,31,0,0,1,1,0,0,83
Guilford,,,153,75,5,2,3,0,0,0,238
Halifax,,,95,57,1,1,2,0,0,0,156
Hancock,,,30,17,2,0,0,0,0,0,49
Hardwick,,,169,102,3,3,0,1,0,0,278
Hartford,,,922,351,46,14,5,4,0,0,"1,342"
Hartland,,,353,177,24,5,2,1,0,0,562
Highgate,,,106,123,6,1,0,0,0,0,236
Hinesburg,,,340,154,14,3,3,0,0,0,514
Holland,,,27,20,4,1,1,1,0,0,54
Hubbardton,,,48,47,1,0,0,0,0,0,96
Huntington,,,149,104,7,2,1,2,0,0,265
"Hyde Park",,,246,191,9,2,1,1,0,0,450
Ira,,,46,38,1,0,0,0,0,0,85
Irasburg,,,53,40,0,0,1,1,0,0,95
"Isle La Motte",,,57,21,3,0,0,1,0,0,82
Jamaica,,,77,31,0,0,0,1,0,0,109
Jay,,,25,19,0,0,1,0,0,0,45
Jericho,,,461,337,20,3,6,1,0,0,828
Johnson,,,130,102,4,5,1,0,0,0,242
Kirby,,,35,32,1,0,0,1,0,0,69
Landgrove,,,33,9,1,0,0,1,0,0,44
Leicester,,,70,59,2,2,0,0,0,0,133
Lemington,,,18,3,0,0,0,0,0,0,21
Lincoln,,,127,73,4,2,0,1,0,0,207
Londonderry,,,128,67,2,1,0,1,0,0,199
Lowell,,,52,21,0,0,0,0,0,0,73
Ludlow,,,326,156,13,13,1,2,0,0,511
Lunenburg,,,88,57,5,3,1,1,0,0,155
Lyndon,,,247,187,31,5,2,0,0,0,472
Maidstone,,,19,7,0,1,0,0,0,0,27
Manchester,,,424,274,13,7,1,0,0,0,719
Marlboro,,,77,28,2,0,0,0,0,0,107
Marshfield,,,62,42,3,0,1,0,0,0,108
Mendon,,,123,100,7,2,0,0,0,0,232
Middlebury,,,405,309,14,6,1,2,0,0,737
Middlesex,,,140,80,5,5,1,0,0,0,231
"Middletown Springs",,,68,73,8,1,1,0,0,0,151
Milton,,,413,302,25,2,2,1,0,0,745
Monkton,,,163,78,4,0,0,0,0,0,245
Montgomery,,,63,45,3,0,1,1,0,0,113
