City/Town,Ward,Pct,"Karen Ann Kerin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,156,0,0,156
Albany,,,136,0,0,136
Alburgh,,,151,0,0,151
Andover,,,61,0,0,61
Arlington,,,164,0,0,164
Athens,,,35,0,0,35
Bakersfield,,,74,0,0,74
Baltimore,,,25,0,0,25
Barnard,,,99,0,0,99
Barnet,,,162,0,0,162
"Barre City",-,"Washington 4-1",327,0,0,327
"Barre City",-,"Washington 4-2",321,0,0,321
"Barre Town",,,989,0,0,989
Barton,-,"Barton Memorial",198,0,0,198
Barton,-,"Orleans Memorial",140,0,0,140
Belvidere,,,32,0,0,32
Bennington,-,"Bennington 2-1",200,0,0,200
Bennington,-,"Bennington 2-1 Nb",31,0,0,31
Bennington,-,"Bennington 2-2",72,0,0,72
Bennington,-,"Bennington 2-3",263,0,0,263
Bennington,-,"Bennington 2-4",0,0,0,0
Benson,,,66,0,0,66
Berkshire,,,65,0,0,65
Berlin,,,192,0,0,192
Bethel,,,204,0,0,204
Bloomfield,,,11,0,0,11
Bolton,,,92,0,0,92
Bradford,,,228,0,0,228
Braintree,,,120,0,0,120
Brandon,,,238,0,0,238
Brattleboro,-,"Windham 2-1",247,0,0,247
Brattleboro,-,"Windham 2-2",131,0,0,131
Brattleboro,-,"Windham 2-3",148,0,0,148
Bridgewater,,,87,0,0,87
Bridport,,,115,0,0,115
Brighton,,,134,0,0,134
Bristol,,,408,0,0,408
Brookfield,,,134,0,0,134
Brookline,,,62,0,0,62
Brownington,,,113,0,0,113
Brunswick,,,8,0,0,8
Burke,,,136,0,0,136
Burlington,-,"Chittenden 7-1 Ward 5",256,0,0,256
Burlington,-,"Chittenden 7-1 Ward 6",63,0,0,63
Burlington,-,"Chittenden 7-2 Ward 2",20,0,0,20
Burlington,-,"Chittenden 7-2 Ward 3",133,0,0,133
Burlington,-,"Chittenden 7-2 Ward 5",7,0,0,7
Burlington,-,"Chittenden 7-3 Ward 1",124,0,0,124
Burlington,-,"Chittenden 7-3 Ward 2",7,0,0,7
Burlington,-,"Chittenden 7-3 Ward 6",11,0,0,11
Burlington,-,"Chittenden 7-4 Ward 2",55,0,0,55
Burlington,-,"Chittenden 7-5 Ward 3",4,0,0,4
Burlington,-,"Chittenden 7-5 Ward 4",63,0,0,63
Burlington,-,"Chittenden 7-5 Ward 7",176,0,0,176
Burlington,-,"Chittenden 7-6 Ward 4",319,0,0,319
Burlington,-,"Chittenden 7-6 Ward 7",176,0,0,176
Burlington,-,"Chittenden 7-7 Ward 6",119,0,0,119
Cabot,,,74,0,0,74
Calais,,,139,0,0,139
Cambridge,,,243,0,0,243
Canaan,,,76,0,0,76
Castleton,,,420,0,0,420
Cavendish,,,121,0,0,121
Charleston,,,142,0,0,142
Charlotte,,,260,0,0,260
Chelsea,,,228,0,0,228
Chester,,,199,0,0,199
Chittenden,,,112,0,0,112
Clarendon,,,353,0,0,353
Colchester,-,"Chittenden 1-1",596,0,0,596
Colchester,-,"Chittenden 1-2",447,0,0,447
Colchester,-,"Chittenden 1-3",0,0,0,0
Concord,,,82,0,0,82
Corinth,,,148,0,0,148
Cornwall,,,82,0,0,82
Coventry,,,114,0,0,114
Craftsbury,,,126,0,0,126
Danby,,,99,0,0,99
Danville,,,246,0,0,246
Derby,,,504,0,0,504
Dorset,,,222,0,0,222
Dover,,,188,0,0,188
Dummerston,,,134,0,0,134
Duxbury,,,91,0,0,91
"E. Haven",,,30,0,0,30
"E. Montpelier",,,245,0,0,245
Eden,,,86,0,0,86
Elmore,,,94,0,0,94
Enosburgh,,,142,0,0,142
Essex,-,"Chittenden 2-1",697,0,0,697
Essex,-,"Chittenden 2-3",79,0,0,79
Essex,-,"Chittenden 2-4",623,0,0,623
"Fair Haven",,,227,0,0,227
Fairfax,,,315,0,0,315
Fairfield,,,121,0,0,121
Fairlee,,,126,0,0,126
Fayston,,,73,0,0,73
Ferrisburgh,,,294,0,0,294
Fletcher,,,75,0,0,75
Franklin,,,120,0,0,120
Georgia,,,314,0,0,314
Glover,,,149,0,0,149
Goshen,,,31,0,0,31
Grafton,,,60,0,0,60
Granby,,,18,0,0,18
"Grand Isle",,,191,0,0,191
Granville,,,22,0,0,22
Greensboro,,,86,0,0,86
Groton,,,138,0,0,138
Guildhall,,,22,0,0,22
Guilford,,,122,0,0,122
Halifax,,,102,0,0,102
Hancock,,,29,0,0,29
Hardwick,,,226,0,0,226
Hartford,-,"Windsor 2-1",99,0,0,99
Hartford,-,"Windsor 2-2",348,0,0,348
Hartland,,,235,0,0,235
Highgate,,,215,0,0,215
Hinesburg,,,257,0,0,257
Holland,,,76,0,0,76
Hubbardton,,,39,0,0,39
Huntington,,,164,0,0,164
"Hyde Park",,,278,0,0,278
Ira,,,30,0,0,30
Irasburg,,,153,0,0,153
"Isle La Motte",,,61,0,0,61
Jamaica,,,94,0,0,94
Jay,,,44,0,0,44
Jericho,,,459,0,0,459
Johnson,,,188,0,0,188
Kirby,,,62,0,0,62
Landgrove,,,20,0,0,20
Leicester,,,138,0,0,138
Lemington,,,12,0,0,12
Lincoln,,,152,0,0,152
Londonderry,,,149,0,0,149
Lowell,,,81,0,0,81
Ludlow,,,162,0,0,162
Lunenburg,-,"Comm. Hall",72,0,0,72
Lunenburg,-,Gilman,26,0,0,26
Lyndon,,,321,0,0,321
Maidstone,,,12,0,0,12
Manchester,,,395,0,0,395
Marlboro,,,49,0,0,49
Marshfield,,,133,0,0,133
Mendon,,,139,0,0,139
Middlebury,,,397,0,0,397
Middlesex,,,124,0,0,124
"Middletown Springs",,,126,0,0,126
Milton,-,"Chittenden 2-2",624,0,0,624
Milton,-,"Chittenden 2-3",72,0,0,72
Monkton,,,200,0,0,200
Montgomery,,,78,0,0,78
Montpelier,-,"Washington 5",437,0,0,437
Montpelier,-,"Washington-Lamoille 1-1",24,0,0,24
Moretown,,,155,0,0,155
Morgan,,,103,0,0,103
Morristown,,,521,0,0,521
"Mount Holly",,,106,0,0,106
"Mount Tabor",,,18,0,0,18
"New Haven",,,222,0,0,222
Newark,,,35,0,0,35
Newbury,-,"Center Town House",56,0,0,56
Newbury,-,"Town Office",119,0,0,119
Newbury,-,"West River Village",90,0,0,90
Newfane,,,128,0,0,128
"Newport City",,,473,0,0,473
"Newport Town",,,146,0,0,146
"N. Hero",,,118,0,0,118
Northfield,,,382,0,0,382
Norton,,,33,0,0,33
Norwich,,,200,0,0,200
Orange,,,131,0,0,131
Orwell,,,133,0,0,133
Panton,,,77,0,0,77
Pawlet,,,73,0,0,73
Peacham,,,97,0,0,97
Peru,,,53,0,0,53
Pittsfield,,,64,0,0,64
Pittsford,,,241,0,0,241
Plainfield,,,87,0,0,87
Plymouth,,,66,0,0,66
Pomfret,,,74,0,0,74
Poultney,,,291,0,0,291
Pownal,,,140,0,0,140
Proctor,,,246,0,0,246
Putney,,,98,0,0,98
Randolph,,,277,0,0,277
Reading,,,50,0,0,50
Readsboro,,,48,0,0,48
Richford,,,164,0,0,164
Richmond,,,315,0,0,315
Ripton,,,51,0,0,51
Rochester,,,111,0,0,111
Rockingham,,,243,0,0,243
Roxbury,,,49,0,0,49
Royalton,,,282,0,0,282
Rupert,,,76,0,0,76
"Rutland City",-,"Rutland 6-1 Ward 1",363,0,0,363
"Rutland City",-,"Rutland 6-2 Ward 2",262,0,0,262
"Rutland City",-,"Rutland 6-3 Ward 3a",221,0,0,221
"Rutland City",-,"Rutland 6-3 Ward 3b",141,0,0,141
"Rutland City",-,"Rutland 6-4 Ward 4",249,0,0,249
"Rutland Town",,,657,0,0,657
Ryegate,,,111,0,0,111
Salisbury,,,123,0,0,123
Sandgate,,,41,0,0,41
