City/Town,Ward,Pct,"Ed Flanagan","Robert Wolcott Backus",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,23,20,1,0,44
Albany,,,17,19,4,0,40
Alburgh,,,40,41,8,0,89
Andover,,,15,21,1,0,37
Arlington,,,39,56,0,0,95
Athens,,,6,11,0,0,17
Bakersfield,,,56,47,13,0,116
Baltimore,,,9,4,0,0,13
Barnard,,,29,14,3,0,46
Barnet,,,42,21,0,0,63
"Barre City",-,"Washington 4-1",92,66,4,0,162
"Barre City",-,"Washington 4-2",137,102,16,0,255
"Barre Town",,,203,148,51,0,402
Barton,-,"Barton Memorial",44,20,18,0,82
Barton,-,"Orleans Memorial",26,12,13,0,51
Belvidere,,,5,3,1,0,9
Bennington,-,"Bennington 2-1",47,77,0,0,124
Bennington,-,"Bennington 2-1 Nb",25,47,0,0,72
Bennington,-,"Bennington 2-2",25,17,2,0,44
Bennington,-,"Bennington 2-3",123,115,3,0,241
Bennington,-,"Bennington 2-4",1,2,0,0,3
Benson,,,19,17,1,0,37
Berkshire,,,61,58,5,0,124
Berlin,,,56,46,2,0,104
Bethel,,,76,43,7,0,126
Bloomfield,,,2,4,0,0,6
Bolton,,,32,44,11,0,87
Bradford,,,64,38,29,0,131
Braintree,,,27,47,4,0,78
Brandon,,,62,68,12,0,142
Brattleboro,-,"Windham 2-1",115,175,7,0,297
Brattleboro,-,"Windham 2-2",181,192,10,0,383
Brattleboro,-,"Windham 2-3",136,185,2,0,323
Bridgewater,,,13,23,6,0,42
Bridport,,,28,32,0,0,60
Brighton,,,53,29,3,0,85
Bristol,,,165,186,12,0,363
Brookfield,,,40,71,6,0,117
Brookline,,,10,15,2,0,27
Brownington,,,18,9,2,0,29
Brunswick,,,4,0,0,0,4
Burke,,,22,31,2,0,55
Burlington,-,"Chittenden 7-1 Ward 5",280,243,6,0,529
Burlington,-,"Chittenden 7-1 Ward 6",121,92,3,0,216
Burlington,-,"Chittenden 7-2 Ward 2",28,23,1,0,52
Burlington,-,"Chittenden 7-2 Ward 3",238,151,7,0,396
Burlington,-,"Chittenden 7-2 Ward 5",6,12,0,0,18
Burlington,-,"Chittenden 7-3 Ward 1",216,169,5,0,390
Burlington,-,"Chittenden 7-3 Ward 2",12,8,1,0,21
Burlington,-,"Chittenden 7-3 Ward 6",18,21,0,0,39
Burlington,-,"Chittenden 7-4 Ward 2",139,79,3,0,221
Burlington,-,"Chittenden 7-5 Ward 3",22,1,0,0,23
Burlington,-,"Chittenden 7-5 Ward 4",65,64,0,0,129
Burlington,-,"Chittenden 7-5 Ward 7",157,150,4,0,311
Burlington,-,"Chittenden 7-6 Ward 4",216,246,9,0,471
Burlington,-,"Chittenden 7-6 Ward 7",136,103,4,0,243
Burlington,-,"Chittenden 7-7 Ward 6",116,124,1,0,241
Cabot,,,28,28,1,0,57
Calais,,,73,68,1,0,142
Cambridge,,,56,50,7,0,113
Canaan,,,16,13,0,0,29
Castleton,,,42,70,3,0,115
Cavendish,,,23,31,0,0,54
