City/Town,Ward,Pct,"James M. Jeffords","Rick Hubbard",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,176,60,1,0,237
Albany,,,166,34,5,0,205
Alburgh,,,194,55,5,0,254
Andover,,,54,28,0,0,82
Arlington,,,177,51,3,0,231
Athens,,,35,10,1,0,46
Bakersfield,,,87,22,1,0,110
Baltimore,,,16,12,2,0,30
Barnard,,,128,26,0,0,154
Barnet,,,170,72,6,0,248
"Barre City",-,"Washington 4-1",477,94,4,0,575
"Barre City",-,"Washington 4-2",441,108,7,0,556
"Barre Town",,,"1,357",250,61,0,"1,668"
Barton,-,"Barton Memorial",262,45,27,0,334
Barton,-,"Orleans Memorial",188,29,5,0,222
Belvidere,,,50,7,0,0,57
Bennington,-,"Bennington 2-1",254,83,3,0,340
Bennington,-,"Bennington 2-1 Nb",59,11,1,0,71
Bennington,-,"Bennington 2-2",98,36,1,0,135
Bennington,-,"Bennington 2-3",311,111,3,0,425
Bennington,-,"Bennington 2-4",0,0,0,0,0
Benson,,,71,21,0,0,92
Berkshire,,,91,15,3,0,109
Berlin,,,307,66,15,0,388
Bethel,,,257,56,4,0,317
Bloomfield,,,10,1,0,0,11
Bolton,,,114,29,7,0,150
Bradford,,,259,69,16,0,344
Braintree,,,157,22,7,0,186
Brandon,,,327,74,7,0,408
Brattleboro,-,"Windham 2-1",240,97,3,0,340
Brattleboro,-,"Windham 2-2",160,35,5,0,200
Brattleboro,-,"Windham 2-3",166,41,2,0,209
Bridgewater,,,95,26,1,0,122
Bridport,,,156,41,3,0,200
Brighton,,,157,49,0,0,206
Bristol,,,471,135,1,0,607
Brookfield,,,177,41,5,0,223
Brookline,,,49,34,0,0,83
Brownington,,,137,27,2,0,166
Brunswick,,,14,1,0,0,15
Burke,,,137,51,10,0,198
Burlington,-,"Chittenden 7-1 Ward 5",431,88,9,0,528
Burlington,-,"Chittenden 7-1 Ward 6",115,18,1,0,134
Burlington,-,"Chittenden 7-2 Ward 2",30,4,0,0,34
Burlington,-,"Chittenden 7-2 Ward 3",195,50,6,0,251
Burlington,-,"Chittenden 7-2 Ward 5",8,3,0,0,11
Burlington,-,"Chittenden 7-3 Ward 1",262,48,7,0,317
Burlington,-,"Chittenden 7-3 Ward 2",11,1,1,0,13
Burlington,-,"Chittenden 7-3 Ward 6",21,7,0,0,28
Burlington,-,"Chittenden 7-4 Ward 2",101,27,1,0,129
Burlington,-,"Chittenden 7-5 Ward 3",4,3,0,0,7
Burlington,-,"Chittenden 7-5 Ward 4",95,14,0,0,109
Burlington,-,"Chittenden 7-5 Ward 7",236,55,6,0,297
Burlington,-,"Chittenden 7-6 Ward 4",478,120,3,0,601
Burlington,-,"Chittenden 7-6 Ward 7",223,55,5,0,283
Burlington,-,"Chittenden 7-7 Ward 6",209,28,1,0,238
Cabot,,,104,27,1,0,132
Calais,,,225,49,4,0,278
Cambridge,,,330,77,3,0,410
Canaan,,,81,24,1,0,106
Castleton,,,468,123,4,0,595
