City/Town,Ward,Pct,"Deborah Markowitz",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,42,0,0,42
Albany,,,38,0,0,38
Alburgh,,,76,0,0,76
Andover,,,34,0,0,34
Arlington,,,89,0,0,89
Athens,,,17,0,0,17
Bakersfield,,,94,0,0,94
Baltimore,,,14,0,0,14
Barnard,,,41,0,0,41
Barnet,,,53,0,0,53
"Barre City",-,"Washington 4-1",146,0,0,146
"Barre City",-,"Washington 4-2",219,0,0,219
"Barre Town",,,384,0,0,384
Barton,-,"Barton Memorial",74,0,0,74
Barton,-,"Orleans Memorial",44,0,0,44
Belvidere,,,9,0,0,9
Bennington,-,"Bennington 2-1",107,0,0,107
Bennington,-,"Bennington 2-1 Nb",56,0,0,56
Bennington,-,"Bennington 2-2",36,0,0,36
Bennington,-,"Bennington 2-3",211,0,0,211
Bennington,-,"Bennington 2-4",3,0,0,3
Benson,,,30,0,0,30
Berkshire,,,115,0,0,115
Berlin,,,90,0,0,90
Bethel,,,114,0,0,114
Bloomfield,,,7,0,0,7
Bolton,,,80,0,0,80
Bradford,,,115,0,0,115
Braintree,,,72,0,0,72
Brandon,,,125,0,0,125
Brattleboro,-,"Windham 2-1",247,0,0,247
Brattleboro,-,"Windham 2-2",327,0,0,327
Brattleboro,-,"Windham 2-3",264,0,0,264
Bridgewater,,,35,0,0,35
Bridport,,,59,0,0,59
Brighton,,,80,0,0,80
Bristol,,,321,0,0,321
Brookfield,,,117,0,0,117
Brookline,,,20,0,0,20
Brownington,,,27,0,0,27
Brunswick,,,3,0,0,3
Burke,,,50,0,0,50
Burlington,-,"Chittenden 7-1 Ward 5",458,0,0,458
Burlington,-,"Chittenden 7-1 Ward 6",197,0,0,197
Burlington,-,"Chittenden 7-2 Ward 2",48,0,0,48
Burlington,-,"Chittenden 7-2 Ward 3",331,0,0,331
Burlington,-,"Chittenden 7-2 Ward 5",14,0,0,14
Burlington,-,"Chittenden 7-3 Ward 1",333,0,0,333
Burlington,-,"Chittenden 7-3 Ward 2",18,0,0,18
Burlington,-,"Chittenden 7-3 Ward 6",31,0,0,31
Burlington,-,"Chittenden 7-4 Ward 2",183,0,0,183
Burlington,-,"Chittenden 7-5 Ward 3",17,0,0,17
Burlington,-,"Chittenden 7-5 Ward 4",111,0,0,111
Burlington,-,"Chittenden 7-5 Ward 7",251,0,0,251
Burlington,-,"Chittenden 7-6 Ward 4",414,0,0,414
Burlington,-,"Chittenden 7-6 Ward 7",216,0,0,216
Burlington,-,"Chittenden 7-7 Ward 6",207,0,0,207
Cabot,,,52,0,0,52
Calais,,,137,0,0,137
Cambridge,,,109,0,0,109
Canaan,,,28,0,0,28
Castleton,,,108,0,0,108
Cavendish,,,56,0,0,56
Charleston,,,23,0,0,23
Charlotte,,,255,0,0,255
Chelsea,,,51,0,0,51
Chester,,,211,0,0,211
Chittenden,,,39,0,0,39
Clarendon,,,134,0,0,134
Colchester,-,"Chittenden 1-1",269,0,0,269
Colchester,-,"Chittenden 1-2",259,0,0,259
Colchester,-,"Chittenden 1-3",1,0,0,1
Concord,,,18,0,0,18
Corinth,,,100,0,0,100
Cornwall,,,78,0,0,78
Coventry,,,18,0,0,18
Craftsbury,,,72,0,0,72
Danby,,,43,0,0,43
Danville,,,72,0,0,72
Derby,,,169,0,0,169
Dorset,,,53,0,0,53
Dover,,,29,0,0,29
Dummerston,,,144,0,0,144
Duxbury,,,94,0,0,94
"E. Haven",,,14,0,0,14
"E. Montpelier",,,170,0,0,170
Eden,,,30,0,0,30
Elmore,,,60,0,0,60
Enosburgh,,,326,0,0,326
Essex,-,"Chittenden 2-1",324,0,0,324
Essex,-,"Chittenden 2-3",31,0,0,31
Essex,-,"Chittenden 2-4",382,0,0,382
"Fair Haven",,,66,0,0,66
Fairfax,,,135,0,0,135
Fairfield,,,108,0,0,108
Fairlee,,,48,0,0,48
Fayston,,,65,0,0,65
Ferrisburgh,,,113,0,0,113
Fletcher,,,54,0,0,54
Franklin,,,37,0,0,37
Georgia,,,123,0,0,123
Glover,,,43,0,0,43
Goshen,,,16,0,0,16
Grafton,,,68,0,0,68
Granby,,,3,0,0,3
