City/Town,Ward,Pct,"Elizabeth M. Ready","Bruce Hyde","Lynn Appleby","Dennis Lane","Murray Ngoima",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Vermont Grassroots",Libertarian,"Liberty Union"
Addison,,,235,349,7,13,1,0,0,605
Albany,,,170,152,32,5,1,0,0,360
Alburgh,,,347,244,31,3,6,0,0,631
Andover,,,83,119,5,3,1,0,0,211
Arlington,,,414,412,39,18,13,0,0,896
Athens,,,46,36,8,1,3,0,0,94
Bakersfield,,,253,148,24,16,1,0,0,442
Baltimore,,,32,39,3,3,4,0,0,81
Barnard,,,199,182,15,3,18,0,0,417
Barnet,,,265,334,21,15,3,0,0,638
"Barre City",-,"Washington 3-1",647,744,42,33,14,2,0,"1,482"
"Barre City",-,"Washington 3-2",523,542,34,27,6,1,0,"1,133"
"Barre City",-,"Washington 3-3",97,98,4,7,1,0,0,207
"Barre Town",,,"1,177","1,727",79,63,11,5,0,"3,062"
Barton,-,"Barton Memorial",257,303,53,4,3,0,0,620
Barton,-,"Orleans Memorial",163,158,34,5,2,0,0,362
Belvidere,,,41,45,3,3,0,0,0,92
Bennington,-,"Bennington 2-1",995,649,73,45,10,0,0,"1,772"
Bennington,-,"Bennington 2-1 Nb",270,91,22,11,6,0,0,400
Bennington,-,"Bennington 2-2","1,274",783,87,41,25,0,0,"2,210"
Bennington,-,"Bennington 5",18,23,2,1,0,0,0,44
Benson,,,134,140,13,11,3,0,0,301
Berkshire,,,231,179,19,7,2,0,0,438
Berlin,,,422,492,37,26,12,2,0,991
Bethel,,,334,287,18,13,36,0,0,688
Bloomfield,,,23,25,5,1,0,0,0,54
Bolton,,,219,157,18,5,3,0,0,402
Bradford,,,360,447,32,10,9,0,0,858
Braintree,,,201,218,16,9,12,0,0,456
Brandon,,,764,665,48,22,14,0,0,"1,513"
Brattleboro,-,"Windham 3-1",971,489,57,17,19,1,0,"1,554"
Brattleboro,-,"Windham 3-2",892,229,51,15,17,0,0,"1,204"
Brattleboro,-,"Windham 3-3",922,261,51,25,14,2,0,"1,275"
Bridgewater,,,169,140,16,13,25,0,0,363
Bridport,,,209,314,13,18,1,0,0,555
Brighton,,,185,206,60,11,6,0,0,468
Bristol,,,751,659,43,31,12,1,0,"1,497"
Brookfield,,,268,271,20,14,10,0,0,583
Brookline,,,101,89,5,4,1,0,0,200
Brownington,,,123,128,25,8,2,1,0,287
Brunswick,,,15,9,6,0,0,0,0,30
Burke,,,199,259,18,8,29,0,0,513
Burlington,-,"Chittenden 3-1 Ward 4","1,129",739,48,19,5,2,0,"1,942"
Burlington,-,"Chittenden 3-1 Ward 7",656,332,29,7,9,2,0,"1,035"
Burlington,-,"Chittenden 3-2 Ward 2",109,25,6,4,0,0,0,144
Burlington,-,"Chittenden 3-2 Ward 3",100,22,6,2,2,0,0,132
Burlington,-,"Chittenden 3-2 Ward 4",190,149,9,1,3,0,0,352
Burlington,-,"Chittenden 3-2 Ward 7",559,369,21,6,2,0,0,957
Burlington,-,"Chittenden 3-3 Ward 2",371,71,36,9,13,0,0,500
Burlington,-,"Chittenden 3-3 Ward 3 1","1,101",215,100,24,13,6,0,"1,459"
Burlington,-,"Chittenden 3-3 Ward 5",76,20,8,2,1,0,0,107
Burlington,-,"Chittenden 3-3 Ward 6",69,19,10,2,0,0,0,100
Burlington,-,"Chittenden 3-3 Ward 7",73,21,4,6,0,0,0,104
Burlington,-,"Chittenden 3-4 Ward 1",798,234,86,25,8,3,0,"1,154"
Burlington,-,"Chittenden 3-4 Ward 2",412,81,57,21,6,0,0,577
Burlington,-,"Chittenden 3-4 Ward 6",140,47,18,7,1,1,0,214
Burlington,-,"Chittenden 3-5 Ward 5","1,313",572,56,27,9,4,0,"1,981"
Burlington,-,"Chittenden 3-5 Ward 6",914,447,38,20,6,2,0,"1,427"
Burlington,-,"Chittenden 3-6 Ward 1",297,83,19,8,6,0,0,413
Cabot,,,250,159,31,13,4,0,0,457
Calais,,,489,288,48,20,8,0,0,853
Cambridge,,,620,519,52,18,6,2,0,"1,217"
Canaan,,,100,142,30,5,5,1,0,283
Castleton,,,568,577,50,18,9,2,0,"1,224"
Cavendish,,,228,226,20,14,4,0,0,492
Charleston,,,139,140,30,7,2,0,0,318
Charlotte,,,925,741,39,30,12,0,0,"1,747"
Chelsea,,,237,290,12,6,12,2,0,559
Chester,,,587,413,51,26,7,0,0,"1,084"
Chittenden,,,231,276,23,8,6,0,0,544
Clarendon,,,371,519,36,9,11,0,0,946
Colchester,-,"Chittenden 7-1","1,316",935,58,51,8,2,0,"2,370"
Colchester,-,"Chittenden 7-2","1,593","1,249",47,35,5,4,0,"2,933"
Concord,,,122,167,26,5,4,0,0,324
Corinth,,,235,238,21,10,5,0,0,509
Cornwall,,,277,270,16,10,11,0,0,584
Coventry,,,130,98,21,4,1,0,0,254
Craftsbury,,,279,165,25,9,5,0,0,483
Danby,,,187,218,30,12,3,0,0,450
Danville,,,329,506,28,7,5,0,0,875
Derby,,,840,666,111,10,6,0,0,"1,633"
Dorset,,,265,531,29,14,3,0,0,842
Dover,,,157,267,20,10,4,1,0,459
Dummerston,,,528,242,36,9,11,0,0,826
Duxbury,,,226,244,25,17,6,1,0,519
"E. Haven",,,45,50,8,1,1,0,0,105
"E. Montpelier",,,596,562,38,35,9,1,0,"1,241"
Eden,,,147,138,12,5,3,0,0,305
Elmore,,,196,155,16,4,1,0,0,372
Enosburgh,,,467,295,47,13,7,1,0,830
Essex,-,"Chittenden 6-1","1,331","1,421",50,45,8,4,0,"2,859"
Essex,-,"Chittenden 6-2","1,620","1,578",50,44,9,3,0,"3,304"
Essex,-,"Chittenden 6-3",515,478,15,16,4,2,0,"1,030"
"Fair Haven",,,340,402,32,13,10,0,0,797
Fairfax,,,689,562,42,20,9,1,0,"1,323"
Fairfield,,,419,246,12,9,8,0,0,694
Fairlee,,,175,175,23,14,3,0,0,390
Fayston,,,204,364,9,11,1,0,0,589
Ferrisburgh,,,529,624,24,16,5,0,0,"1,198"
Fletcher,,,222,168,16,4,4,0,0,414
Franklin,,,216,210,12,7,0,0,0,445
Georgia,,,739,770,39,16,3,0,0,"1,567"
Glover,,,245,151,40,6,2,0,0,444
Goshen,,,62,40,1,1,2,0,0,106
Grafton,,,130,107,12,2,6,0,0,257
Granby,,,6,27,2,0,0,0,0,35
"Grand Isle",,,503,362,21,10,4,3,0,903
Granville,,,56,47,2,5,2,0,0,112
Greensboro,,,173,147,20,1,2,0,0,343
Groton,,,121,194,11,6,2,0,0,334
Guildhall,,,26,52,9,1,1,0,0,89
Guilford,,,499,242,30,11,11,0,0,793
Halifax,,,152,123,16,9,2,0,0,302
Hancock,,,63,52,7,5,2,0,0,129
Hardwick,,,530,407,60,27,4,2,0,"1,030"
Hartford,-,"Windsor 6-1",349,333,27,10,7,0,0,726
Hartford,-,"Windsor 6-2","1,344",781,78,28,32,1,0,"2,264"
Hartland,,,681,480,62,22,28,0,0,"1,273"
Highgate,,,517,359,34,17,4,3,0,934
Hinesburg,-,"Chittenden 1-1",943,598,39,25,7,0,0,"1,612"
Hinesburg,-,"Chittenden 1-2",35,28,1,1,1,0,0,66
Holland,,,100,72,31,0,1,0,0,204
Hubbardton,,,102,104,9,0,1,0,0,216
Huntington,,,470,246,24,7,4,0,0,751
"Hyde Park",,,579,467,43,15,6,0,0,"1,110"
Ira,-,"Rutland 1-1",14,8,1,1,0,0,0,24
Ira,-,"Rutland 1-2",50,73,6,3,1,0,0,133
Irasburg,,,187,180,41,5,2,0,0,415
"Isle La Motte",,,123,90,9,0,1,0,0,223
Jamaica,,,145,173,19,13,3,0,0,353
Jay,,,60,43,9,0,0,0,0,112
Jericho,,,"1,167","1,010",50,21,9,0,0,"2,257"
Johnson,,,583,316,87,28,7,0,0,"1,021"
Killington,,,149,265,15,10,2,0,0,441
Kirby,,,69,83,6,4,3,0,0,165
Landgrove,,,44,44,4,0,3,0,0,95
Leicester,,,202,245,18,12,2,0,0,479
Lemington,,,14,18,2,0,0,0,0,34
Lincoln,,,359,241,19,12,0,1,0,632
Londonderry,,,241,304,23,6,5,0,0,579
Lowell,,,107,97,21,3,1,0,0,229
Ludlow,,,406,425,27,22,8,0,0,888
Lunenburg,,,137,167,38,6,11,1,0,360
Lyndon,,,601,799,61,11,4,3,0,"1,479"
Maidstone,,,19,22,1,0,1,0,0,43
Manchester,,,537,877,50,21,5,2,0,"1,492"
Marlboro,,,319,74,23,3,14,1,0,434
Marshfield,,,368,285,39,16,13,0,0,721
