City/Town,Ward,Pct,"William H. Sorrell","Larry Drown","Cindy Hill","Mann Ward","Christopher Costanzo","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive,"Vermont Grassroots",Libertarian,Progressive
Addison,,,288,231,78,1,2,5,0,0,605
Albany,,,198,128,17,17,3,2,0,0,365
Alburgh,,,359,209,29,18,10,9,0,0,634
Andover,,,79,102,16,5,5,3,0,0,210
Arlington,,,402,377,70,28,16,6,0,0,899
Athens,,,38,37,7,7,1,1,1,0,92
Bakersfield,,,240,119,44,18,12,8,0,0,441
Baltimore,,,27,37,7,1,4,3,0,0,79
Barnard,,,195,156,20,15,30,0,0,0,416
Barnet,,,263,292,41,14,9,15,0,0,634
"Barre City",-,"Washington 3-1",858,470,93,28,19,16,0,0,"1,484"
"Barre City",-,"Washington 3-2",643,364,73,8,17,35,0,0,"1,140"
"Barre City",-,"Washington 3-3",121,61,14,4,3,1,1,0,205
"Barre Town",,,"1,686","1,114",166,34,52,20,4,0,"3,076"
Barton,-,"Barton Memorial",288,261,32,20,7,6,0,0,614
Barton,-,"Orleans Memorial",198,126,18,10,3,4,0,0,359
Belvidere,,,39,39,8,6,3,0,0,0,95
Bennington,-,"Bennington 2-1",927,596,121,61,33,19,0,0,"1,757"
Bennington,-,"Bennington 2-1 Nb",241,87,44,21,7,3,0,0,403
Bennington,-,"Bennington 2-2","1,221",713,146,81,41,25,0,0,"2,227"
Bennington,-,"Bennington 5",14,24,3,1,1,1,0,0,44
Benson,,,145,104,25,16,9,3,0,0,302
Berkshire,,,274,123,24,11,5,1,0,0,438
Berlin,,,646,212,68,28,18,17,3,0,992
Bethel,,,295,198,27,6,168,2,1,0,697
Bloomfield,,,29,20,1,0,1,4,0,0,55
Bolton,,,254,101,36,1,7,24,0,0,423
Bradford,,,376,370,30,23,11,57,0,0,867
Braintree,,,219,177,22,9,32,3,0,0,462
Brandon,,,758,516,161,33,25,8,0,0,"1,501"
Brattleboro,-,"Windham 3-1",851,467,157,44,25,18,2,0,"1,564"
Brattleboro,-,"Windham 3-2",765,214,169,33,12,13,3,0,"1,209"
Brattleboro,-,"Windham 3-3",748,221,218,56,23,15,2,0,"1,283"
Bridgewater,,,165,132,18,19,23,3,0,0,360
Bridport,,,247,190,98,5,12,2,0,0,554
Brighton,,,204,186,27,6,17,26,0,0,466
Bristol,,,820,384,209,50,14,6,1,0,"1,484"
Brookfield,,,317,192,31,22,19,3,0,0,584
Brookline,,,90,84,18,5,3,0,0,0,200
Brownington,,,124,119,5,17,8,2,1,0,276
Brunswick,,,15,11,1,0,0,1,0,0,28
Burke,,,250,207,30,14,8,4,1,0,514
Burlington,-,"Chittenden 3-1 Ward 4","1,381",402,92,40,12,8,2,0,"1,937"
Burlington,-,"Chittenden 3-1 Ward 7",722,215,53,25,13,12,0,0,"1,040"
Burlington,-,"Chittenden 3-2 Ward 2",92,17,31,7,3,0,0,0,150
Burlington,-,"Chittenden 3-2 Ward 3",79,13,23,9,2,2,0,0,128
Burlington,-,"Chittenden 3-2 Ward 4",253,72,23,6,2,1,0,0,357
Burlington,-,"Chittenden 3-2 Ward 7",681,217,42,18,6,8,2,0,974
Burlington,-,"Chittenden 3-3 Ward 2",307,41,96,36,7,10,1,0,498
Burlington,-,"Chittenden 3-3 Ward 3",904,136,289,91,19,15,0,0,"1,454"
