City/Town,Ward,Pct,"Jim Douglas","Doug Racine","Cornelius Hogan","Cris Ericson","Michael J. Badamo","Joel Williams","Patricia Hejny","Marilynn Christian","Pete Diamondstone","Brian Pearl",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent,"Make Marijuana Legal",Progressive,Libertarian,"Vermont Grassroots","Restore Justice-Freedom",Progressive,Independent
Addison,,,390,188,32,3,1,0,2,1,1,0,0,0,618
Albany,,,178,137,50,3,4,1,2,2,0,0,0,0,377
Alburgh,,,330,237,57,8,2,2,2,4,2,12,1,0,657
Andover,,,131,73,13,5,0,0,1,0,0,1,0,0,224
Arlington,,,457,361,53,12,8,8,3,6,2,2,0,0,912
Athens,,,52,35,1,2,1,1,0,1,2,0,0,0,95
Bakersfield,,,209,196,36,2,4,3,2,1,2,1,0,0,456
Baltimore,,,40,31,3,1,1,1,0,0,2,1,0,0,80
Barnard,,,195,171,62,1,2,0,3,0,2,0,0,0,436
Barnet,,,361,220,46,7,6,5,2,2,2,2,1,0,654
"Barre City",-,"Washington 3-1",655,502,338,3,3,2,2,2,5,2,1,0,"1,515"
"Barre City",-,"Washington 3-2",519,406,227,3,6,2,2,2,0,2,1,0,"1,170"
"Barre City",-,"Washington 3-3",89,68,50,0,0,0,2,1,0,0,0,0,210
"Barre Town",,,"1,573",832,706,7,4,3,4,4,4,3,2,0,"3,142"
Barton,-,"Barton Memorial",407,140,70,6,3,4,3,2,3,0,2,0,640
Barton,-,"Orleans Memorial",215,106,41,2,1,3,0,1,0,0,0,0,369
Belvidere,,,54,28,14,0,0,1,0,0,0,1,0,0,98
Bennington,-,"Bennington 2-1",797,752,285,22,4,10,7,11,8,5,0,0,"1,901"
Bennington,-,"Bennington 2-1 Nb",124,249,30,2,1,1,9,5,6,2,0,0,429
Bennington,-,"Bennington 2-2",995,"1,007",291,29,9,6,12,15,12,4,1,0,"2,381"
Bennington,-,"Bennington 5",26,17,0,1,0,0,1,0,0,0,0,0,45
Benson,,,147,117,32,2,1,0,3,4,0,2,0,0,308
Berkshire,,,240,171,35,0,2,0,0,1,1,2,0,0,452
Berlin,,,396,330,284,5,3,3,3,1,0,1,1,0,"1,027"
Bethel,,,347,293,53,4,4,5,7,0,1,2,0,0,716
Bloomfield,,,32,25,1,0,0,0,1,1,0,1,0,0,61
Bolton,,,198,176,19,3,0,31,0,0,0,3,0,0,430
Bradford,,,420,355,102,9,6,2,5,1,0,1,0,0,901
Braintree,,,224,195,50,2,1,3,0,2,1,0,3,0,481
Brandon,,,773,655,107,5,5,4,6,13,1,2,0,0,"1,571"
Brattleboro,-,"Windham 3-1",566,951,52,15,12,7,8,0,15,1,3,0,"1,630"
Brattleboro,-,"Windham 3-2",296,851,25,15,36,4,5,2,16,0,0,0,"1,250"
Brattleboro,-,"Windham 3-3",292,895,48,27,30,2,9,2,28,3,0,0,"1,336"
