City/Town,Ward,Pct,"Deb Markowitz","Michael S. Bertrand","Tina M. Thompson","Leslie Yvonne Scaffidi",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Vermont Grassroots","Liberty Union"
Addison,,,288,308,7,1,0,0,604
Albany,,,186,154,23,4,0,0,367
Alburgh,,,336,261,25,10,0,0,632
Andover,,,107,103,7,1,0,0,218
Arlington,,,475,399,34,8,0,0,916
Athens,,,45,41,8,1,0,0,95
Bakersfield,,,255,156,18,8,0,0,437
Baltimore,,,36,40,3,2,0,0,81
Barnard,,,234,176,12,1,0,0,423
Barnet,,,295,317,24,9,0,0,645
"Barre City",-,"Washington 3-1",762,672,27,23,0,0,"1,484"
"Barre City",-,"Washington 3-2",590,509,25,12,1,0,"1,137"
"Barre City",-,"Washington 3-3",117,84,7,0,0,0,208
"Barre Town",,,"1,448","1,579",55,19,0,0,"3,101"
Barton,-,"Barton Memorial",285,303,31,5,0,0,624
Barton,-,"Orleans Memorial",184,155,19,5,0,0,363
Belvidere,,,44,38,9,2,0,0,93
Bennington,-,"Bennington 2-1","1,107",616,66,25,1,0,"1,815"
Bennington,-,"Bennington 2-1 Nb",293,88,30,3,1,0,415
Bennington,-,"Bennington 2-2","1,400",773,86,23,1,0,"2,283"
Bennington,-,"Bennington 5",20,21,2,1,0,0,44
Benson,,,157,129,14,3,1,0,304
Berkshire,,,260,163,14,3,0,0,440
Berlin,,,562,422,21,6,1,0,"1,012"
Bethel,,,414,262,16,6,0,0,698
Bloomfield,,,24,28,5,0,0,0,57
Bolton,,,267,143,9,5,0,0,424
Bradford,,,441,389,20,20,0,0,870
Braintree,,,250,193,19,5,1,0,468
Brandon,,,880,582,51,7,0,0,"1,520"
Brattleboro,-,"Windham 3-1","1,054",472,43,15,1,0,"1,585"
Brattleboro,-,"Windham 3-2",962,220,29,15,2,0,"1,228"
Brattleboro,-,"Windham 3-3",979,249,58,18,2,0,"1,306"
Bridgewater,,,190,145,27,3,0,0,365
Bridport,,,286,254,10,4,0,0,554
Brighton,,,206,201,52,9,0,0,468
Bristol,,,912,501,57,20,0,0,"1,490"
Brookfield,,,343,226,18,3,0,0,590
Brookline,,,116,82,5,1,0,0,204
Brownington,,,131,133,20,2,0,0,286
Brunswick,,,18,10,4,1,0,0,33
Burke,,,261,237,15,3,0,0,516
Burlington,-,"Chittenden 3-1 Ward 4","1,318",596,37,10,2,0,"1,963"
Burlington,-,"Chittenden 3-1 Ward 7",706,304,32,7,3,0,"1,052"
Burlington,-,"Chittenden 3-2 Ward 2",117,18,10,5,0,0,150
Burlington,-,"Chittenden 3-2 Ward 3",103,20,7,3,0,0,133
Burlington,-,"Chittenden 3-2 Ward 4",235,114,7,0,0,0,356
Burlington,-,"Chittenden 3-2 Ward 7",640,315,15,7,0,0,977
Burlington,-,"Chittenden 3-3 Ward 2",394,59,44,7,1,0,505
Burlington,-,"Chittenden 3-3 Ward 3","1,114",205,114,28,6,0,"1,467"
Burlington,-,"Chittenden 3-3 Ward 5",76,21,11,0,0,0,108
Burlington,-,"Chittenden 3-3 Ward 6",79,13,10,0,0,0,102
Burlington,-,"Chittenden 3-3 Ward 7",81,20,3,1,0,0,105
Burlington,-,"Chittenden 3-4 Ward 1",873,209,86,12,2,0,"1,182"
Burlington,-,"Chittenden 3-4 Ward 2",457,66,66,7,1,0,597
Burlington,-,"Chittenden 3-4 Ward 6",164,34,17,2,0,0,217
Burlington,-,"Chittenden 3-5 Ward 5","1,495",442,65,13,0,0,"2,015"
Burlington,-,"Chittenden 3-5 Ward 6","1,085",307,34,12,3,0,"1,441"
Burlington,-,"Chittenden 3-6 Ward 1",324,77,13,3,1,0,418
Cabot,,,307,153,10,6,0,0,476
Calais,,,606,253,23,12,0,0,894
Cambridge,,,743,445,45,2,0,0,"1,235"
Canaan,,,113,148,20,6,0,0,287
Castleton,,,673,530,40,13,0,0,"1,256"
Cavendish,,,257,220,22,7,0,0,506
Charleston,,,146,150,20,4,1,0,321
Charlotte,,,"1,167",566,38,8,0,0,"1,779"
Chelsea,,,279,271,12,10,0,0,572
Chester,,,649,406,40,7,0,0,"1,102"
Chittenden,,,282,249,16,7,1,0,555
Clarendon,,,459,465,26,9,0,0,959
Colchester,-,"Chittenden 7-1","1,448",857,63,12,2,0,"2,382"
Colchester,-,"Chittenden 7-2","1,782","1,092",46,14,0,0,"2,934"
Concord,,,112,182,25,7,0,0,326
Corinth,,,254,228,17,20,0,0,519
Cornwall,,,382,192,8,3,0,0,585
Coventry,,,135,99,17,4,0,0,255
Craftsbury,,,326,144,18,5,0,0,493
Danby,,,198,225,28,4,0,0,455
Danville,,,413,447,18,6,0,0,884
Derby,,,838,729,68,4,0,0,"1,639"
Dorset,,,340,491,21,4,1,0,857
Dover,,,198,249,19,2,1,0,469
Dummerston,,,563,245,23,7,0,0,838
Duxbury,,,323,177,15,7,0,0,522
"E. Haven",,,37,59,9,1,0,0,106
"E. Montpelier",,,775,461,19,4,2,0,"1,261"
Eden,,,169,118,20,4,0,0,311
Elmore,,,258,114,8,2,0,0,382
Enosburgh,,,531,261,40,9,1,0,842
Essex,-,"Chittenden 6-1","1,600","1,241",46,12,3,0,"2,902"
Essex,-,"Chittenden 6-2","1,818","1,378",66,10,5,0,"3,277"
Essex,-,"Chittenden 6-3",569,409,21,4,3,0,"1,006"
"Fair Haven",,,390,373,32,5,1,0,801
Fairfax,,,749,515,52,6,1,0,"1,323"
Fairfield,,,444,230,23,7,0,0,704
Fairlee,,,212,167,13,7,0,0,399
Fayston,,,394,178,13,2,1,0,588
Ferrisburgh,,,702,473,15,7,0,0,"1,197"
Fletcher,,,249,154,11,6,0,0,420
Franklin,,,228,200,13,7,0,0,448
Georgia,,,793,757,34,2,0,0,"1,586"
Glover,,,267,147,23,4,0,0,441
Goshen,,,60,39,3,2,0,0,104
Grafton,,,139,109,9,4,0,0,261
Granby,,,9,27,0,0,0,0,36
"Grand Isle",,,576,322,12,6,0,0,916
Granville,,,71,28,9,2,0,0,110
Greensboro,,,211,119,16,2,0,0,348
Groton,,,141,182,4,14,0,0,341
Guildhall,,,34,49,5,2,0,0,90
Guilford,,,561,226,24,5,0,0,816
Halifax,,,164,128,18,2,0,0,312
Hancock,,,78,46,4,1,0,0,129
Hardwick,,,635,352,38,12,0,0,"1,037"
Hartford,-,"Windsor 6-1",386,328,22,2,0,0,738
Hartford,-,"Windsor 6-2","1,385",793,72,13,2,0,"2,265"
Hartland,,,745,502,47,16,0,0,"1,310"
Highgate,,,524,364,29,14,0,0,931
Hinesburg,-,"Chittenden 1-1","1,093",508,35,8,0,0,"1,644"
Hinesburg,-,"Chittenden 1-2",39,24,2,1,0,0,66
Holland,,,96,87,22,2,0,0,207
Hubbardton,,,116,101,8,0,0,0,225
Huntington,,,542,192,17,3,0,0,754
"Hyde Park",,,698,393,39,9,0,0,"1,139"
Ira,-,"Rutland 1-1",16,8,0,0,0,0,24
Ira,-,"Rutland 1-2",65,55,2,1,0,0,123
Irasburg,,,177,207,26,7,0,0,417
"Isle La Motte",,,140,83,2,2,0,0,227
Jamaica,,,163,161,26,5,0,0,355
Jay,,,63,47,4,0,0,0,114
Jericho,,,"1,372",857,42,13,0,0,"2,284"
Johnson,,,673,267,80,11,0,0,"1,031"
Killington,,,200,228,9,3,0,0,440
Kirby,,,79,81,6,4,0,0,170
Landgrove,,,61,34,1,0,0,0,96
Leicester,,,234,218,14,6,0,0,472
Lemington,,,14,19,1,0,0,0,34
Lincoln,,,423,179,20,3,0,0,625
Londonderry,,,273,301,14,2,0,0,590
Lowell,,,112,105,11,3,0,0,231
Ludlow,,,474,400,26,4,1,0,905
Lunenburg,,,145,183,23,7,0,0,358
Lyndon,,,606,811,51,11,0,0,"1,479"
Maidstone,,,21,22,3,1,0,0,47
Manchester,,,670,818,55,5,0,0,"1,548"
Marlboro,,,346,68,23,9,0,0,446
Marshfield,,,451,269,20,9,0,0,749
Mendon,,,210,255,9,6,0,0,480
Middlebury,,,"1,878",799,62,15,1,0,"2,755"
Middlesex,,,561,240,19,7,1,0,828
"Middletown Springs",,,172,130,19,4,0,0,325
Milton,-,"Chittenden 9","1,406","1,104",63,15,1,0,"2,589"
Milton,-,"Grand Isle-Chittenden 1-1",208,208,12,4,0,0,432
Monkton,,,556,256,22,7,0,0,841
Montgomery,,,238,143,31,0,0,0,412
Montpelier,,,"2,593","1,164",76,23,9,0,"3,865"
Moretown,,,508,253,18,8,3,0,790
Morgan,,,131,133,11,5,0,0,280
Morristown,,,"1,184",615,45,14,0,0,"1,858"
"Mount Holly",,,285,195,24,7,0,0,511
"Mount Tabor",,,41,21,3,0,0,0,65
"New Haven",,,437,291,17,2,1,0,748
Newark,,,90,75,18,3,0,0,186
Newbury,-,"Center Town House",53,71,4,2,0,0,130
Newbury,-,"Town Office",237,141,15,9,0,0,402
Newbury,-,"West River Village",83,110,6,6,0,0,205
Newfane,,,526,224,28,7,1,0,786
"Newport City",,,637,558,73,12,0,0,"1,280"
"Newport Town",,,279,159,24,3,0,0,465
"N. Hero",,,217,179,11,3,0,0,410
Northfield,,,"1,181",523,28,9,1,0,"1,742"
Norton,,,24,29,4,0,0,0,57
Norwich,,,"1,279",329,39,12,0,0,"1,659"
Orange,,,139,206,8,6,0,0,359
Orwell,,,243,255,11,9,0,0,518
Panton,,,156,119,6,3,0,0,284
Pawlet,,,213,201,16,5,0,0,435
Peacham,,,207,133,8,3,0,0,351
Peru,,,74,77,3,0,0,0,154
Pittsfield,,,120,67,7,3,0,0,197
Pittsford,,,575,462,18,6,0,0,"1,061"
Plainfield,,,411,186,21,9,0,0,627
Plymouth,,,112,116,7,0,0,0,235
Pomfret,,,283,159,23,4,0,0,469
Poultney,,,578,502,57,13,0,0,"1,150"
Pownal,,,721,509,91,17,0,0,"1,338"
Proctor,,,405,244,11,6,0,0,666
Putney,,,770,196,52,17,0,0,"1,035"
Randolph,,,"1,023",727,67,5,0,0,"1,822"
Reading,,,173,115,12,1,0,0,301
Readsboro,,,138,92,16,1,0,0,247
Richford,,,496,291,43,7,0,0,837
Richmond,,,"1,230",545,39,9,1,0,"1,824"
Ripton,,,200,74,21,2,0,0,297
Rochester,,,352,145,20,11,0,0,528
Rockingham,,,"1,057",446,83,26,1,0,"1,613"
Roxbury,,,188,82,17,6,0,0,293
Royalton,,,546,361,40,14,0,0,961
Rupert,,,109,118,12,1,0,0,240
"Rutland City",-,"Rutland 5-1",949,725,36,6,0,0,"1,716"
"Rutland City",-,"Rutland 5-2",904,572,37,7,1,0,"1,521"
"Rutland City",-,"Rutland 5-3",545,351,36,15,0,0,947
"Rutland City",-,"Rutland 5-4",770,539,51,16,3,0,"1,379"
"Rutland Town",,,852,979,23,10,0,0,"1,864"
Ryegate,,,175,192,8,6,0,0,381
Salisbury,,,244,176,8,6,2,0,436
Sandgate,,,78,51,10,1,0,0,140
Searsburg,,,10,19,5,2,0,0,36
Shaftsbury,,,987,599,50,10,0,0,"1,646"
Sharon,,,291,152,15,6,1,0,465
Sheffield,,,87,84,7,1,0,0,179
Shelburne,-,"Chittenden 5-1","1,191",631,19,9,0,0,"1,850"
