City/Town,Ward,Pct,"James Leddy","Jim Condos","Diane B. Snelling","Janet S. Munt","Hinda Miller","Virginia Lyons","Art Hogan","Kate Purcell","Donald R. Brunelle","Scot Shumski","Lynn P. Shepard","Bill Shahady","Bruce D. Cunningham","Brendan Kinney","Christopher Coolidge","Mark Winer","Sheldon Katz","Spencer Sherman",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Democratic,Democratic,Democratic,Democratic,Republican,Republican,Republican,Republican,Republican,Independent,Libertarian,Libertarian,Libertarian,Libertarian,Libertarian
Bolton,,,217,199,221,179,181,197,171,156,172,133,139,126,51,26,22,26,14,27,0,0,"2,257"
Burlington,-,"Chittenden 3-1 Ward 4","1,154","1,005",900,963,968,807,"1,048",742,714,688,467,531,168,53,64,52,46,35,6,0,"10,411"
Burlington,-,"Chittenden 3-1 Ward 7",609,564,446,556,521,426,571,332,380,357,247,261,130,51,40,45,27,27,9,0,"5,599"
Burlington,-,"Chittenden 3-2 Ward 2",101,93,42,91,90,84,91,24,27,24,18,20,18,12,8,10,9,9,1,0,772
Burlington,-,"Chittenden 3-2 Ward 3",94,85,38,85,80,81,77,27,21,19,17,15,23,4,6,7,6,3,1,0,689
Burlington,-,"Chittenden 3-2 Ward 4",219,168,173,185,190,163,179,131,129,139,88,92,28,13,12,6,6,5,0,0,"1,926"
Burlington,-,"Chittenden 3-2 Ward 7",584,509,441,479,469,397,488,354,352,427,251,278,87,22,23,26,18,19,2,0,"5,226"
Burlington,-,"Chittenden 3-3 Ward 2",349,330,135,341,337,301,301,81,76,58,53,58,79,29,33,27,33,22,6,0,"2,649"
Burlington,-,"Chittenden 3-3 Ward 3","1,002",935,407,966,948,867,871,244,242,206,151,161,253,77,85,89,82,75,20,0,"7,681"
Burlington,-,"Chittenden 3-3 Ward 5",69,68,34,69,62,58,62,23,22,20,16,19,16,4,5,6,4,2,0,0,559
Burlington,-,"Chittenden 3-3 Ward 6",74,58,28,65,65,60,58,13,12,13,10,11,11,5,8,6,7,11,0,0,515
Burlington,-,"Chittenden 3-3 Ward 7",84,70,28,76,78,69,73,18,25,15,14,14,12,1,5,5,4,4,0,0,595
Burlington,-,"Chittenden 3-4 Ward 1",807,768,321,753,757,715,688,233,226,173,154,162,154,66,58,48,67,37,23,0,"6,210"
Burlington,-,"Chittenden 3-4 Ward 2",410,378,146,393,399,341,355,63,74,56,41,49,108,39,43,46,56,47,5,0,"3,049"
Burlington,-,"Chittenden 3-4 Ward 6",152,148,54,130,138,126,142,43,32,32,25,26,28,12,17,8,17,8,3,0,"1,141"
Burlington,-,"Chittenden 3-5 Ward 5","1,351","1,239",768,"1,202","1,221","1,067","1,117",570,520,506,364,375,182,70,64,56,63,49,13,0,"10,797"
