City/Town,Ward,Pct,"Bruce Hyde",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,124,0,0,124
Albany,,,48,0,0,48
Alburgh,,,64,0,0,64
Andover,,,28,0,0,28
Arlington,,,119,0,0,119
Athens,,,21,0,0,21
Bakersfield,,,10,0,0,10
Baltimore,,,9,0,0,9
Barnard,,,33,0,0,33
Barnet,,,55,0,0,55
"Barre City",-,"Washington 3-1",102,0,0,102
"Barre City",-,"Washington 3-2",65,0,0,65
"Barre City",-,"Washington 3-3",5,0,0,5
"Barre Town",,,339,0,0,339
Barton,-,"Barton Memorial",57,0,0,57
Barton,-,"Orleans Memorial",29,0,0,29
Belvidere,,,34,0,0,34
Bennington,-,"Bennington 2-1",135,0,0,135
Bennington,-,"Bennington 2-1 Nb",20,0,0,20
Bennington,-,"Bennington 2-2",154,0,0,154
Bennington,-,"Bennington 5",7,0,0,7
Benson,,,25,0,0,25
Berkshire,,,20,0,0,20
Berlin,,,71,0,0,71
Bethel,,,81,0,0,81
Bloomfield,,,11,0,0,11
Bolton,,,29,0,0,29
Bradford,,,149,0,0,149
Braintree,,,68,0,0,68
Brandon,,,330,0,0,330
Brattleboro,-,"Windham 3-1",88,0,0,88
Brattleboro,-,"Windham 3-2",66,0,0,66
Brattleboro,-,"Windham 3-3",49,0,0,49
Bridgewater,,,41,0,0,41
Bridport,,,87,0,0,87
Brighton,,,47,0,0,47
Bristol,,,147,0,0,147
Brookfield,,,71,0,0,71
Brookline,,,32,0,0,32
Brownington,,,24,0,0,24
Brunswick,,,7,0,0,7
Burke,,,98,0,0,98
Burlington,-,"Chittenden 3-1 Ward 4",130,0,0,130
Burlington,-,"Chittenden 3-1 Ward 7",47,0,0,47
Burlington,-,"Chittenden 3-2 Ward 2",3,0,0,3
Burlington,-,"Chittenden 3-2 Ward 3",1,0,0,1
Burlington,-,"Chittenden 3-2 Ward 4",28,0,0,28
Burlington,-,"Chittenden 3-2 Ward 7",55,0,0,55
Burlington,-,"Chittenden 3-3 Ward 2",10,0,0,10
Burlington,-,"Chittenden 3-3 Ward 3",25,0,0,25
Burlington,-,"Chittenden 3-3 Ward 5",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 7",6,0,0,6
Burlington,-,"Chittenden 3-4 Ward 1",22,0,0,22
Burlington,-,"Chittenden 3-4 Ward 2",3,0,0,3
Burlington,-,"Chittenden 3-4 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-5 Ward 5",78,0,0,78
Burlington,-,"Chittenden 3-5 Ward 6",48,0,0,48
Burlington,-,"Chittenden 3-6 Ward 1",8,0,0,8
Cabot,,,17,0,0,17
Calais,,,39,0,0,39
Cambridge,,,125,0,0,125
Canaan,,,47,0,0,47
Castleton,,,114,0,0,114
Cavendish,,,40,0,0,40
Charleston,,,26,0,0,26
Charlotte,,,64,0,0,64
Chelsea,,,107,0,0,107
Chester,,,98,0,0,98
Chittenden,,,50,0,0,50
Clarendon,,,88,0,0,88
Colchester,-,"Chittenden 7-1",83,0,0,83
Colchester,-,"Chittenden 7-2",109,0,0,109
Concord,,,32,0,0,32
Corinth,,,59,0,0,59
Cornwall,,,44,0,0,44
Coventry,,,29,0,0,29
Craftsbury,,,28,0,0,28
Danby,,,73,0,0,73
Danville,,,92,0,0,92
Derby,,,159,0,0,159
Dorset,,,78,0,0,78
Dover,,,125,0,0,125
Dummerston,,,61,0,0,61
Duxbury,,,30,0,0,30
"E. Haven",,,14,0,0,14
"E. Montpelier",,,135,0,0,135
Eden,,,54,0,0,54
Elmore,,,96,0,0,96
Enosburgh,,,27,0,0,27
Essex,-,"Chittenden 6-1",117,0,0,117
Essex,-,"Chittenden 6-2",144,0,0,144
Essex,-,"Chittenden 6-3",31,0,0,31
"Fair Haven",,,98,0,0,98
Fairfax,,,150,0,0,150
Fairfield,,,18,0,0,18
