City/Town,Ward,Pct,"Cindy Hill","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,1,0,0,0,1
Albany,,,0,1,0,0,1
Andover,,,2,0,0,0,2
Arlington,,,4,0,0,0,4
Bakersfield,,,3,2,1,0,6
Barnard,,,4,0,0,0,4
Barnet,,,3,0,0,0,3
"Barre City",-,"Washington 3-1",2,8,0,0,10
"Barre City",-,"Washington 3-2",7,2,1,0,10
"Barre City",-,"Washington 3-3",2,2,0,0,4
"Barre Town",,,2,2,0,0,4
Barton,-,"Barton Memorial",1,0,1,0,2
Barton,-,"Orleans Memorial",0,0,0,0,0
Bennington,-,"Bennington 2-1",12,1,1,0,14
Bennington,-,"Bennington 2-1 Nb",4,0,0,0,4
Bennington,-,"Bennington 2-2",3,1,0,0,4
Bennington,-,"Bennington 5",3,0,0,0,3
Benson,,,3,0,0,0,3
Berkshire,,,1,0,0,0,1
Berlin,,,0,0,1,0,1
Bethel,,,4,0,0,0,4
Bradford,,,3,1,0,0,4
Braintree,,,1,0,1,0,2
Brandon,,,15,1,0,0,16
Brattleboro,-,"Windham 3-1",17,7,1,0,25
Brattleboro,-,"Windham 3-2",16,4,0,0,20
Brattleboro,-,"Windham 3-3",32,5,0,0,37
Bridgewater,,,3,1,0,0,4
Bridport,,,2,1,0,0,3
Brighton,,,1,1,1,0,3
Bristol,,,9,2,0,0,11
Brookfield,,,2,0,1,0,3
Brookline,,,1,0,0,0,1
Brownington,,,2,2,0,0,4
Burke,,,1,0,0,0,1
Burlington,-,"Chittenden 3-1 Ward 4",6,5,1,0,12
Burlington,-,"Chittenden 3-1 Ward 7",4,0,1,0,5
Burlington,-,"Chittenden 3-2 Ward 2",6,0,0,0,6
Burlington,-,"Chittenden 3-2 Ward 3",2,0,0,0,2
Burlington,-,"Chittenden 3-2 Ward 4",1,1,0,0,2
Burlington,-,"Chittenden 3-2 Ward 7",7,3,2,0,12
Burlington,-,"Chittenden 3-3 Ward 2",12,0,0,0,12
Burlington,-,"Chittenden 3-3 Ward 3",39,11,1,0,51
Burlington,-,"Chittenden 3-3 Ward 5",2,1,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",2,0,0,0,2
Burlington,-,"Chittenden 3-3 Ward 7",2,0,0,0,2
Burlington,-,"Chittenden 3-4 Ward 1",27,5,1,0,33
Burlington,-,"Chittenden 3-4 Ward 2",14,2,2,0,18
Burlington,-,"Chittenden 3-4 Ward 6",1,2,1,0,4
Burlington,-,"Chittenden 3-5 Ward 5",16,4,1,0,21
Burlington,-,"Chittenden 3-5 Ward 6",12,1,1,0,14
Burlington,-,"Chittenden 3-6 Ward 1",8,1,0,0,9
Cabot,,,8,0,0,0,8
Calais,,,5,2,0,0,7
Cambridge,,,1,1,0,0,2
Canaan,,,1,0,0,0,1
Castleton,,,5,0,0,0,5
Cavendish,,,2,0,0,0,2
Charleston,,,2,0,0,0,2
Charlotte,,,7,1,0,0,8
Chelsea,,,1,2,0,0,3
Chester,,,4,1,0,0,5
Chittenden,,,3,0,0,0,3
Clarendon,,,3,1,1,0,5
Colchester,-,"Chittenden 7-1",21,2,1,0,24
Colchester,-,"Chittenden 7-2",7,3,1,0,11
Concord,,,1,0,0,0,1
Corinth,,,1,1,0,0,2
Cornwall,,,3,0,1,0,4
Craftsbury,,,2,1,1,0,4
Danby,,,1,0,0,0,1
Danville,,,2,1,0,0,3
Derby,,,5,0,0,0,5
