City/Town,Ward,Pct,"Larry Drown",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,120,0,0,120
Albany,,,47,0,0,47
Alburgh,,,63,0,0,63
Andover,,,27,0,0,27
Arlington,,,120,0,0,120
Athens,,,18,0,0,18
Bakersfield,,,11,0,0,11
Baltimore,,,9,0,0,9
Barnard,,,34,0,0,34
Barnet,,,54,0,0,54
"Barre City",-,"Washington 3-1",89,0,0,89
"Barre City",-,"Washington 3-2",60,0,0,60
"Barre City",-,"Washington 3-3",4,0,0,4
"Barre Town",,,311,0,0,311
Barton,-,"Barton Memorial",55,0,0,55
Barton,-,"Orleans Memorial",29,0,0,29
Belvidere,,,32,0,0,32
Bennington,-,"Bennington 2-1",123,0,0,123
Bennington,-,"Bennington 2-1 Nb",20,0,0,20
Bennington,-,"Bennington 2-2",146,0,0,146
Bennington,-,"Bennington 5",8,0,0,8
Benson,,,23,0,0,23
Berkshire,,,18,0,0,18
Berlin,,,45,0,0,45
Bethel,,,81,0,0,81
Bloomfield,,,10,0,0,10
Bolton,,,25,0,0,25
Bradford,,,143,0,0,143
Braintree,,,61,0,0,61
Brandon,,,315,0,0,315
Brattleboro,-,"Windham 3-1",85,0,0,85
Brattleboro,-,"Windham 3-2",67,0,0,67
Brattleboro,-,"Windham 3-3",48,0,0,48
Bridgewater,,,39,0,0,39
Bridport,,,88,0,0,88
Brighton,,,48,0,0,48
Bristol,,,143,0,0,143
Brookfield,,,67,0,0,67
Brookline,,,31,0,0,31
Brownington,,,26,0,0,26
Brunswick,,,7,0,0,7
Burke,,,97,0,0,97
Burlington,-,"Chittenden 3-1 Ward 4",126,0,0,126
Burlington,-,"Chittenden 3-1 Ward 7",47,0,0,47
Burlington,-,"Chittenden 3-2 Ward 2",3,0,0,3
Burlington,-,"Chittenden 3-2 Ward 3",1,0,0,1
Burlington,-,"Chittenden 3-2 Ward 4",24,0,0,24
Burlington,-,"Chittenden 3-2 Ward 7",51,0,0,51
Burlington,-,"Chittenden 3-3 Ward 2",11,0,0,11
Burlington,-,"Chittenden 3-3 Ward 3",23,0,0,23
Burlington,-,"Chittenden 3-3 Ward 5",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 7",6,0,0,6
Burlington,-,"Chittenden 3-4 Ward 1",21,0,0,21
Burlington,-,"Chittenden 3-4 Ward 2",3,0,0,3
Burlington,-,"Chittenden 3-4 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-5 Ward 5",77,0,0,77
Burlington,-,"Chittenden 3-5 Ward 6",41,0,0,41
Burlington,-,"Chittenden 3-6 Ward 1",9,0,0,9
Cabot,,,16,0,0,16
Calais,,,38,0,0,38
Cambridge,,,122,0,0,122
Canaan,,,50,0,0,50
Castleton,,,109,0,0,109
Cavendish,,,41,0,0,41
Charleston,,,26,0,0,26
Charlotte,,,64,0,0,64
Chelsea,,,98,0,0,98
Chester,,,95,0,0,95
Chittenden,,,49,0,0,49
Clarendon,,,85,0,0,85
Colchester,-,"Chittenden 7-1",82,0,0,82
Colchester,-,"Chittenden 7-2",103,0,0,103
Concord,,,33,0,0,33
Corinth,,,61,0,0,61
Cornwall,,,46,0,0,46
Coventry,,,27,0,0,27
Craftsbury,,,27,0,0,27
Danby,,,71,0,0,71
Danville,,,88,0,0,88
Derby,,,152,0,0,152
Dorset,,,77,0,0,77
Dover,,,127,0,0,127
Dummerston,,,59,0,0,59
