City/Town,Ward,Pct,"Doug Racine",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,26,0,0,26
Albany,,,30,0,0,30
Alburgh,,,157,0,0,157
Andover,,,20,0,0,20
Arlington,,,89,0,0,89
Athens,,,19,0,0,19
Bakersfield,,,47,0,0,47
Baltimore,,,8,0,0,8
Barnard,,,33,0,0,33
Barnet,,,27,0,0,27
"Barre City",-,"Washington 3-1",138,0,0,138
"Barre City",-,"Washington 3-2",110,0,0,110
"Barre City",-,"Washington 3-3",24,0,0,24
"Barre Town",,,327,0,0,327
Barton,-,"Barton Memorial",27,0,0,27
Barton,-,"Orleans Memorial",18,0,0,18
Belvidere,,,6,0,0,6
Bennington,-,"Bennington 2-1",224,0,0,224
Bennington,-,"Bennington 2-1 Nb",53,0,0,53
Bennington,-,"Bennington 2-2",180,0,0,180
Bennington,-,"Bennington 5",0,0,0,0
Benson,,,21,0,0,21
Berkshire,,,29,0,0,29
Berlin,,,95,0,0,95
Bethel,,,78,0,0,78
Bloomfield,,,7,0,0,7
Bolton,,,35,0,0,35
Bradford,,,142,0,0,142
Braintree,,,60,0,0,60
Brandon,,,276,0,0,276
Brattleboro,-,"Windham 3-1",355,0,0,355
Brattleboro,-,"Windham 3-2",331,0,0,331
Brattleboro,-,"Windham 3-3",363,0,0,363
Bridgewater,,,42,0,0,42
Bridport,,,24,0,0,24
Brighton,,,21,0,0,21
Bristol,,,131,0,0,131
Brookfield,,,105,0,0,105
Brookline,,,37,0,0,37
Brownington,,,21,0,0,21
Brunswick,,,5,0,0,5
Burke,,,33,0,0,33
Burlington,-,"Chittenden 3-1 Ward 4",279,0,0,279
Burlington,-,"Chittenden 3-1 Ward 7",116,0,0,116
Burlington,-,"Chittenden 3-2 Ward 2",14,0,0,14
Burlington,-,"Chittenden 3-2 Ward 3",13,0,0,13
Burlington,-,"Chittenden 3-2 Ward 4",61,0,0,61
Burlington,-,"Chittenden 3-2 Ward 7",112,0,0,112
Burlington,-,"Chittenden 3-3 Ward 2",41,0,0,41
Burlington,-,"Chittenden 3-3 Ward 3",130,0,0,130
Burlington,-,"Chittenden 3-3 Ward 5",9,0,0,9
Burlington,-,"Chittenden 3-3 Ward 6",10,0,0,10
Burlington,-,"Chittenden 3-3 Ward 7",21,0,0,21
Burlington,-,"Chittenden 3-4 Ward 1",128,0,0,128
Burlington,-,"Chittenden 3-4 Ward 2",54,0,0,54
Burlington,-,"Chittenden 3-4 Ward 6",22,0,0,22
Burlington,-,"Chittenden 3-5 Ward 5",390,0,0,390
Burlington,-,"Chittenden 3-5 Ward 6",272,0,0,272
Burlington,-,"Chittenden 3-6 Ward 1",55,0,0,55
Cabot,,,36,0,0,36
Calais,,,138,0,0,138
Cambridge,,,75,0,0,75
Canaan,,,21,0,0,21
Castleton,,,51,0,0,51
Cavendish,,,45,0,0,45
Charleston,,,19,0,0,19
Charlotte,,,150,0,0,150
Chelsea,,,49,0,0,49
Chester,,,95,0,0,95
Chittenden,,,32,0,0,32
Clarendon,,,32,0,0,32
Colchester,-,"Chittenden 7-1",139,0,0,139
Colchester,-,"Chittenden 7-2",164,0,0,164
Concord,,,22,0,0,22
Corinth,,,76,0,0,76
Cornwall,,,77,0,0,77
Coventry,,,8,0,0,8
Craftsbury,,,69,0,0,69
Danby,,,25,0,0,25
Danville,,,50,0,0,50
Derby,,,127,0,0,127
Dorset,,,29,0,0,29
Dover,,,29,0,0,29
Dummerston,,,223,0,0,223
Duxbury,,,62,0,0,62
"E. Haven",,,10,0,0,10
"E. Montpelier",,,173,0,0,173
Eden,,,17,0,0,17
Elmore,,,46,0,0,46
Enosburgh,,,52,0,0,52
Essex,-,"Chittenden 6-1",101,0,0,101
Essex,-,"Chittenden 6-2",168,0,0,168
Essex,-,"Chittenden 6-3",42,0,0,42
"Fair Haven",,,28,0,0,28
Fairfax,,,122,0,0,122
Fairfield,,,95,0,0,95
Fairlee,,,44,0,0,44
Fayston,,,49,0,0,49
Ferrisburgh,,,100,0,0,100
Fletcher,,,27,0,0,27
Franklin,,,58,0,0,58
Georgia,,,75,0,0,75
Glover,,,32,0,0,32
Goshen,,,10,0,0,10
Grafton,,,49,0,0,49
Granby,,,3,0,0,3
"Grand Isle",,,278,0,0,278
Granville,,,10,0,0,10
