City/Town,Ward,Pct,"Michael J. Badamo","Pete Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,1,0,0,0,1
Andover,,,2,0,0,0,2
Arlington,,,2,4,1,0,7
Bakersfield,,,2,0,2,0,4
Baltimore,,,0,0,1,0,1
Barnard,,,2,2,0,0,4
Barnet,,,1,0,3,0,4
"Barre City",-,"Washington 3-1",6,4,5,0,15
"Barre City",-,"Washington 3-2",5,1,3,0,9
"Barre City",-,"Washington 3-3",0,0,1,0,1
"Barre Town",,,4,1,2,0,7
Barton,-,"Barton Memorial",1,0,1,0,2
Barton,-,"Orleans Memorial",1,1,0,0,2
Bennington,-,"Bennington 2-1",3,7,3,0,13
Bennington,-,"Bennington 2-1 Nb",1,0,4,0,5
Bennington,-,"Bennington 2-2",2,2,0,0,4
Bennington,-,"Bennington 5",2,1,0,0,3
Benson,,,1,1,2,0,4
Berkshire,,,0,1,0,0,1
Bethel,,,1,0,0,0,1
Bolton,,,2,2,0,0,4
Bradford,,,3,2,0,0,5
Braintree,,,0,1,1,0,2
Brandon,,,12,8,0,0,20
Brattleboro,-,"Windham 3-1",19,4,2,0,25
Brattleboro,-,"Windham 3-2",17,3,1,0,21
Brattleboro,-,"Windham 3-3",27,5,6,0,38
Bridgewater,,,4,1,1,0,6
Bridport,,,2,0,0,0,2
Brighton,,,2,1,0,0,3
Bristol,,,5,3,4,0,12
Brookfield,,,1,0,2,0,3
Brookline,,,0,1,0,0,1
Brownington,,,3,1,0,0,4
Burke,,,0,1,0,0,1
Burlington,-,"Chittenden 3-1 Ward 4",11,0,5,0,16
Burlington,-,"Chittenden 3-1 Ward 7",2,1,5,0,8
Burlington,-,"Chittenden 3-2 Ward 2",4,0,3,0,7
Burlington,-,"Chittenden 3-2 Ward 3",1,0,3,0,4
Burlington,-,"Chittenden 3-2 Ward 4",3,0,1,0,4
Burlington,-,"Chittenden 3-2 Ward 7",10,2,3,0,15
Burlington,-,"Chittenden 3-3 Ward 2",7,2,5,0,14
Burlington,-,"Chittenden 3-3 Ward 3",23,5,25,0,53
Burlington,-,"Chittenden 3-3 Ward 5",0,1,1,0,2
Burlington,-,"Chittenden 3-3 Ward 6",2,0,0,0,2
Burlington,-,"Chittenden 3-3 Ward 7",2,1,1,0,4
Burlington,-,"Chittenden 3-4 Ward 1",11,4,23,0,38
Burlington,-,"Chittenden 3-4 Ward 2",5,5,12,0,22
Burlington,-,"Chittenden 3-4 Ward 6",2,0,2,0,4
Burlington,-,"Chittenden 3-5 Ward 5",12,3,11,0,26
Burlington,-,"Chittenden 3-5 Ward 6",21,3,8,0,32
Burlington,-,"Chittenden 3-6 Ward 1",6,0,4,0,10
Cabot,,,1,2,5,0,8
Calais,,,3,1,3,0,7
Cambridge,,,1,1,1,0,3
Canaan,,,0,1,0,0,1
Castleton,,,3,2,0,0,5
Cavendish,,,1,0,1,0,2
Charleston,,,0,2,1,0,3
Charlotte,,,7,0,5,0,12
Chelsea,,,2,1,0,0,3
Chester,,,4,1,0,0,5
Chittenden,,,2,2,0,0,4
Clarendon,,,4,1,0,0,5
Colchester,-,"Chittenden 7-1",12,8,3,0,23
Colchester,-,"Chittenden 7-2",8,2,3,0,13
Concord,,,1,0,0,0,1
Corinth,,,0,2,0,0,2
Cornwall,,,2,0,1,0,3
Craftsbury,,,1,1,3,0,5
Danby,,,0,1,0,0,1
Danville,,,3,0,0,0,3
Derby,,,3,4,1,0,8
