City/Town,Ward,Pct,"Peter Shumlin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,22,0,0,22
Albany,,,26,0,0,26
Alburgh,,,133,0,0,133
Andover,,,16,0,0,16
Arlington,,,81,0,0,81
Athens,,,20,0,0,20
Bakersfield,,,42,0,0,42
Baltimore,,,8,0,0,8
Barnard,,,31,0,0,31
Barnet,,,22,0,0,22
"Barre City",-,"Washington 3-1",123,0,0,123
"Barre City",-,"Washington 3-2",105,0,0,105
"Barre City",-,"Washington 3-3",21,0,0,21
"Barre Town",,,291,0,0,291
Barton,-,"Barton Memorial",23,0,0,23
Barton,-,"Orleans Memorial",16,0,0,16
Belvidere,,,4,0,0,4
Bennington,-,"Bennington 2-1",216,0,0,216
Bennington,-,"Bennington 2-1 Nb",53,0,0,53
Bennington,-,"Bennington 2-2",172,0,0,172
Bennington,-,"Bennington 5",3,0,0,3
Benson,,,18,0,0,18
Berkshire,,,23,0,0,23
Berlin,,,80,0,0,80
Bethel,,,70,0,0,70
Bloomfield,,,6,0,0,6
Bolton,,,27,0,0,27
Bradford,,,130,0,0,130
Braintree,,,54,0,0,54
Brandon,,,240,0,0,240
Brattleboro,-,"Windham 3-1",346,0,0,346
Brattleboro,-,"Windham 3-2",329,0,0,329
Brattleboro,-,"Windham 3-3",364,0,0,364
Bridgewater,,,38,0,0,38
Bridport,,,19,0,0,19
Brighton,,,19,0,0,19
Bristol,,,116,0,0,116
Brookfield,,,89,0,0,89
Brookline,,,37,0,0,37
Brownington,,,16,0,0,16
Brunswick,,,4,0,0,4
Burke,,,26,0,0,26
Burlington,-,"Chittenden 3-1 Ward 4",245,0,0,245
Burlington,-,"Chittenden 3-1 Ward 7",94,0,0,94
Burlington,-,"Chittenden 3-2 Ward 2",13,0,0,13
Burlington,-,"Chittenden 3-2 Ward 3",8,0,0,8
Burlington,-,"Chittenden 3-2 Ward 4",51,0,0,51
Burlington,-,"Chittenden 3-2 Ward 7",97,0,0,97
Burlington,-,"Chittenden 3-3 Ward 2",33,0,0,33
Burlington,-,"Chittenden 3-3 Ward 3",99,0,0,99
Burlington,-,"Chittenden 3-3 Ward 5",7,0,0,7
Burlington,-,"Chittenden 3-3 Ward 6",9,0,0,9
Burlington,-,"Chittenden 3-3 Ward 7",18,0,0,18
Burlington,-,"Chittenden 3-4 Ward 1",106,0,0,106
Burlington,-,"Chittenden 3-4 Ward 2",40,0,0,40
Burlington,-,"Chittenden 3-4 Ward 6",18,0,0,18
Burlington,-,"Chittenden 3-5 Ward 5",323,0,0,323
Burlington,-,"Chittenden 3-5 Ward 6",247,0,0,247
Burlington,-,"Chittenden 3-6 Ward 1",45,0,0,45
Cabot,,,32,0,0,32
Calais,,,120,0,0,120
Cambridge,,,63,0,0,63
Canaan,,,22,0,0,22
Castleton,,,43,0,0,43
Cavendish,,,40,0,0,40
Charleston,,,14,0,0,14
Charlotte,,,135,0,0,135
Chelsea,,,40,0,0,40
Chester,,,85,0,0,85
Chittenden,,,28,0,0,28
Clarendon,,,32,0,0,32
Colchester,-,"Chittenden 7-1",114,0,0,114
Colchester,-,"Chittenden 7-2",147,0,0,147
Concord,,,20,0,0,20
Corinth,,,70,0,0,70
Cornwall,,,71,0,0,71
Coventry,,,8,0,0,8
Craftsbury,,,56,0,0,56
Danby,,,22,0,0,22
Danville,,,41,0,0,41
Derby,,,107,0,0,107
Dorset,,,27,0,0,27
Dover,,,24,0,0,24
Dummerston,,,198,0,0,198
Duxbury,,,52,0,0,52
"E. Haven",,,10,0,0,10
"E. Montpelier",,,136,0,0,136
Eden,,,15,0,0,15
Elmore,,,29,0,0,29
Enosburgh,,,47,0,0,47
Essex,-,"Chittenden 6-1",96,0,0,96
Essex,-,"Chittenden 6-2",147,0,0,147
Essex,-,"Chittenden 6-3",39,0,0,39
"Fair Haven",,,26,0,0,26
Fairfax,,,105,0,0,105
Fairfield,,,78,0,0,78
Fairlee,,,40,0,0,40
Fayston,,,44,0,0,44
Ferrisburgh,,,89,0,0,89
Fletcher,,,21,0,0,21
Franklin,,,44,0,0,44
Georgia,,,69,0,0,69
Glover,,,28,0,0,28
Goshen,,,7,0,0,7
Grafton,,,44,0,0,44
Granby,,,3,0,0,3
"Grand Isle",,,234,0,0,234
Granville,,,7,0,0,7
Greensboro,,,30,0,0,30
Groton,,,26,0,0,26
Guildhall,,,5,0,0,5
Guilford,,,156,0,0,156
Halifax,,,35,0,0,35
Hancock,,,5,0,0,5
Hardwick,,,177,0,0,177
Hartford,-,"Windsor 6-1",122,0,0,122
Hartford,-,"Windsor 6-2",529,0,0,529
Hartland,,,183,0,0,183
Highgate,,,71,0,0,71
Hinesburg,-,"Chittenden 1-1",140,0,0,140
Hinesburg,-,"Chittenden 1-2",6,0,0,6
Holland,,,11,0,0,11
Hubbardton,,,9,0,0,9
Huntington,,,47,0,0,47
"Hyde Park",,,118,0,0,118
Ira,-,"Rutland 1-1",11,0,0,11
Ira,-,"Rutland 1-2",0,0,0,0
Irasburg,,,18,0,0,18
"Isle La Motte",,,95,0,0,95
Jamaica,,,48,0,0,48
Jay,,,3,0,0,3
Jericho,,,172,0,0,172
Johnson,,,81,0,0,81
Killington,,,25,0,0,25
Kirby,,,33,0,0,33
Landgrove,,,4,0,0,4
Leicester,,,38,0,0,38
Lemington,,,1,0,0,1
Lincoln,,,85,0,0,85
Londonderry,,,40,0,0,40
Lowell,,,17,0,0,17
Ludlow,,,41,0,0,41
Lunenburg,,,21,0,0,21
Lyndon,,,62,0,0,62
Manchester,,,51,0,0,51
Marlboro,,,124,0,0,124
Marshfield,,,57,0,0,57
Mendon,,,22,0,0,22
Middlebury,,,206,0,0,206
Middlesex,,,116,0,0,116
"Middletown Springs",,,32,0,0,32
Milton,-,"Chittenden 9",104,0,0,104
Milton,-,"Grand Isle-Chittenden 1-1",9,0,0,9
Monkton,,,59,0,0,59
Montgomery,,,25,0,0,25
Montpelier,,,717,0,0,717
Moretown,,,84,0,0,84
Morgan,,,14,0,0,14
Morristown,,,162,0,0,162
"Mount Holly",,,37,0,0,37
"Mount Tabor",,,6,0,0,6
"New Haven",,,142,0,0,142
Newark,,,18,0,0,18
Newbury,-,"Center Town House",9,0,0,9
Newbury,-,"Town Office",50,0,0,50
Newbury,-,"West River Village",19,0,0,19
Newfane,,,187,0,0,187
"Newport City",,,62,0,0,62
"Newport Town",,,11,0,0,11
"N. Hero",,,47,0,0,47
Northfield,,,171,0,0,171
Norton,,,6,0,0,6
Norwich,,,435,0,0,435
Orange,,,14,0,0,14
Orwell,,,29,0,0,29
Pawlet,,,39,0,0,39
Peacham,,,39,0,0,39
Peru,,,16,0,0,16
Pittsfield,,,15,0,0,15
Pittsford,,,55,0,0,55
Plainfield,,,58,0,0,58
Plymouth,,,7,0,0,7
Pomfret,,,60,0,0,60
Poultney,,,46,0,0,46
Pownal,,,76,0,0,76
Proctor,,,33,0,0,33
Putney,,,260,0,0,260
Randolph,,,281,0,0,281
Reading,,,20,0,0,20
Readsboro,,,45,0,0,45
Richford,,,47,0,0,47
Richmond,,,169,0,0,169
Ripton,,,36,0,0,36
Rochester,,,61,0,0,61
Rockingham,,,500,0,0,500
Roxbury,,,18,0,0,18
Royalton,,,209,0,0,209
Rupert,,,23,0,0,23
"Rutland City",-,"Rutland 5-1",143,0,0,143
"Rutland City",-,"Rutland 5-2",109,0,0,109
"Rutland City",-,"Rutland 5-3",70,0,0,70
"Rutland City",-,"Rutland 5-4",101,0,0,101
"Rutland Town",,,133,0,0,133
Ryegate,,,33,0,0,33
Salisbury,,,39,0,0,39
Sandgate,,,17,0,0,17
Searsburg,,,7,0,0,7
Shaftsbury,,,113,0,0,113
Sharon,,,62,0,0,62
Sheffield,,,11,0,0,11
Shelburne,-,"Chittenden 5-1",198,0,0,198
Shelburne,-,"Chittenden 5-2",105,0,0,105
Sheldon,,,33,0,0,33
Shoreham,,,42,0,0,42
Shrewsbury,,,34,0,0,34
"S. Burlington",-,"Chittenden 3-10",128,0,0,128
"S. Burlington",-,"Chittenden 3-7",163,0,0,163
"S. Burlington",-,"Chittenden 3-8",146,0,0,146
"S. Burlington",-,"Chittenden 3-9",137,0,0,137
"S. Hero",,,210,0,0,210
Springfield,-,"Windsor 1-1",10,0,0,10
Springfield,-,"Windsor 1-2","1,038",0,0,"1,038"
"St. Albans City",,,240,0,0,240
"St. Albans Town",,,163,0,0,163
"St. George",,,13,0,0,13
"St. Johnsbury",,,83,0,0,83
Stamford,,,39,0,0,39
Stannard,,,10,0,0,10
Starksboro,,,58,0,0,58
Stockbridge,,,22,0,0,22
Stowe,,,89,0,0,89
