City/Town,Ward,Pct,"Anthony Pollina",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,1,0,0,1
Alburgh,,,1,0,0,1
Andover,,,2,0,0,2
Arlington,,,8,0,0,8
Bakersfield,,,6,0,0,6
Barnard,,,4,0,0,4
Barnet,,,5,0,0,5
"Barre City",-,"Washington 3-1",11,0,0,11
"Barre City",-,"Washington 3-2",9,0,0,9
"Barre City",-,"Washington 3-3",1,0,0,1
"Barre Town",,,7,0,0,7
Barton,-,"Barton Memorial",2,0,0,2
Barton,-,"Orleans Memorial",2,0,0,2
Bennington,-,"Bennington 2-1",14,0,0,14
Bennington,-,"Bennington 2-1 Nb",5,0,0,5
Bennington,-,"Bennington 2-2",4,0,0,4
Bennington,-,"Bennington 5",3,0,0,3
Benson,,,3,0,0,3
Berkshire,,,1,0,0,1
Berlin,,,1,0,0,1
Bethel,,,2,0,0,2
Bolton,,,4,0,0,4
Bradford,,,4,0,0,4
Braintree,,,1,0,0,1
Brandon,,,21,0,0,21
Brattleboro,-,"Windham 3-1",25,0,0,25
Brattleboro,-,"Windham 3-2",23,0,0,23
Brattleboro,-,"Windham 3-3",37,0,0,37
Bridgewater,,,6,0,0,6
Bridport,,,2,0,0,2
Brighton,,,3,0,0,3
Bristol,,,11,0,0,11
Brookfield,,,2,0,0,2
Brookline,,,1,0,0,1
Brownington,,,2,0,0,2
Burke,,,1,0,0,1
Burlington,-,"Chittenden 3-1 Ward 4",7,0,0,7
Burlington,-,"Chittenden 3-1 Ward 7",8,0,0,8
Burlington,-,"Chittenden 3-2 Ward 2",7,0,0,7
Burlington,-,"Chittenden 3-2 Ward 3",5,0,0,5
Burlington,-,"Chittenden 3-2 Ward 4",3,0,0,3
Burlington,-,"Chittenden 3-2 Ward 7",8,0,0,8
Burlington,-,"Chittenden 3-3 Ward 2",13,0,0,13
Burlington,-,"Chittenden 3-3 Ward 3",67,0,0,67
Burlington,-,"Chittenden 3-3 Ward 5",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",4,0,0,4
Burlington,-,"Chittenden 3-3 Ward 7",4,0,0,4
Burlington,-,"Chittenden 3-4 Ward 1",41,0,0,41
Burlington,-,"Chittenden 3-4 Ward 2",20,0,0,20
Burlington,-,"Chittenden 3-4 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-5 Ward 5",23,0,0,23
Burlington,-,"Chittenden 3-5 Ward 6",20,0,0,20
Burlington,-,"Chittenden 3-6 Ward 1",12,0,0,12
Cabot,,,8,0,0,8
Calais,,,9,0,0,9
Cambridge,,,3,0,0,3
Canaan,,,1,0,0,1
Castleton,,,3,0,0,3
Cavendish,,,2,0,0,2
Charleston,,,2,0,0,2
Charlotte,,,7,0,0,7
Chelsea,,,3,0,0,3
Chester,,,4,0,0,4
Chittenden,,,3,0,0,3
