City/Town,Ward,Pct,"Bernie Sanders",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,4,0,0,4
Albany,,,13,0,0,13
Alburgh,,,8,0,0,8
Andover,,,4,0,0,4
Arlington,,,7,0,0,7
Bakersfield,,,8,0,0,8
Baltimore,,,1,0,0,1
Barnard,,,2,0,0,2
Barnet,,,5,0,0,5
"Barre City",-,"Washington 3-1",11,0,0,11
"Barre City",-,"Washington 3-2",15,0,0,15
"Barre City",-,"Washington 3-3",3,0,0,3
"Barre Town",,,22,0,0,22
Barton,-,"Barton Memorial",1,0,0,1
Barton,-,"Orleans Memorial",4,0,0,4
Bennington,-,"Bennington 2-1",31,0,0,31
Bennington,-,"Bennington 2-1 Nb",12,0,0,12
Bennington,-,"Bennington 2-2",19,0,0,19
Benson,,,2,0,0,2
Berkshire,,,2,0,0,2
Berlin,,,13,0,0,13
Bethel,,,10,0,0,10
Bolton,,,2,0,0,2
Bradford,,,15,0,0,15
Braintree,,,12,0,0,12
Brandon,,,16,0,0,16
Brattleboro,-,"Windham 3-1",30,0,0,30
Brattleboro,-,"Windham 3-2",26,0,0,26
Brattleboro,-,"Windham 3-3",41,0,0,41
Bridgewater,,,10,0,0,10
Bridport,,,2,0,0,2
Brighton,,,4,0,0,4
Bristol,,,5,0,0,5
Brookfield,,,11,0,0,11
Brookline,,,2,0,0,2
Brownington,,,4,0,0,4
Burke,,,11,0,0,11
Burlington,-,"Chittenden 3-1 Ward 4",24,0,0,24
Burlington,-,"Chittenden 3-1 Ward 7",7,0,0,7
Burlington,-,"Chittenden 3-2 Ward 2",2,0,0,2
Burlington,-,"Chittenden 3-2 Ward 4",6,0,0,6
Burlington,-,"Chittenden 3-2 Ward 7",2,0,0,2
Burlington,-,"Chittenden 3-3 Ward 2",5,0,0,5
Burlington,-,"Chittenden 3-3 Ward 3",7,0,0,7
Burlington,-,"Chittenden 3-3 Ward 5",1,0,0,1
Burlington,-,"Chittenden 3-4 Ward 1",3,0,0,3
Burlington,-,"Chittenden 3-4 Ward 2",1,0,0,1
Burlington,-,"Chittenden 3-4 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-5 Ward 5",25,0,0,25
Burlington,-,"Chittenden 3-5 Ward 6",11,0,0,11
Burlington,-,"Chittenden 3-6 Ward 1",7,0,0,7
Cabot,,,6,0,0,6
Cambridge,,,14,0,0,14
Canaan,,,2,0,0,2
Castleton,,,6,0,0,6
Cavendish,,,7,0,0,7
Charleston,,,10,0,0,10
Charlotte,,,24,0,0,24
