City/Town,Ward,Pct,"Jane Newton",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,1,0,0,1
Andover,,,2,0,0,2
Arlington,,,5,0,0,5
Bakersfield,,,2,0,0,2
Barnard,,,4,0,0,4
"Barre City",-,"Washington 3-1",8,0,0,8
"Barre City",-,"Washington 3-2",7,0,0,7
"Barre City",-,"Washington 3-3",1,0,0,1
"Barre Town",,,6,0,0,6
Barton,-,"Barton Memorial",2,0,0,2
Barton,-,"Orleans Memorial",1,0,0,1
Bennington,-,"Bennington 2-1",7,0,0,7
Bennington,-,"Bennington 2-1 Nb",1,0,0,1
Bennington,-,"Bennington 2-2",2,0,0,2
Bennington,-,"Bennington 5",3,0,0,3
Benson,,,1,0,0,1
Berkshire,,,1,0,0,1
Bethel,,,1,0,0,1
Bolton,,,1,0,0,1
Bradford,,,4,0,0,4
Braintree,,,1,0,0,1
Brandon,,,16,0,0,16
Brattleboro,-,"Windham 3-1",10,0,0,10
Brattleboro,-,"Windham 3-2",7,0,0,7
Brattleboro,-,"Windham 3-3",15,0,0,15
Bridgewater,,,6,0,0,6
Bridport,,,2,0,0,2
Brighton,,,2,0,0,2
Bristol,,,5,0,0,5
Brookfield,,,2,0,0,2
Brookline,,,1,0,0,1
Brownington,,,2,0,0,2
Burke,,,1,0,0,1
Burlington,-,"Chittenden 3-1 Ward 4",1,0,0,1
Burlington,-,"Chittenden 3-1 Ward 7",4,0,0,4
Burlington,-,"Chittenden 3-2 Ward 2",5,0,0,5
Burlington,-,"Chittenden 3-2 Ward 3",1,0,0,1
Burlington,-,"Chittenden 3-2 Ward 4",2,0,0,2
Burlington,-,"Chittenden 3-2 Ward 7",5,0,0,5
Burlington,-,"Chittenden 3-3 Ward 2",5,0,0,5
Burlington,-,"Chittenden 3-3 Ward 3",23,0,0,23
Burlington,-,"Chittenden 3-3 Ward 5",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",2,0,0,2
Burlington,-,"Chittenden 3-3 Ward 7",2,0,0,2
Burlington,-,"Chittenden 3-4 Ward 1",13,0,0,13
Burlington,-,"Chittenden 3-4 Ward 2",8,0,0,8
Burlington,-,"Chittenden 3-4 Ward 6",2,0,0,2
Burlington,-,"Chittenden 3-5 Ward 5",13,0,0,13
Burlington,-,"Chittenden 3-5 Ward 6",9,0,0,9
Burlington,-,"Chittenden 3-6 Ward 1",3,0,0,3
Cabot,,,5,0,0,5
Calais,,,6,0,0,6
Cambridge,,,3,0,0,3
Canaan,,,1,0,0,1
Castleton,,,4,0,0,4
Cavendish,,,2,0,0,2
Charleston,,,1,0,0,1
Charlotte,,,3,0,0,3
Chelsea,,,1,0,0,1
Chester,,,3,0,0,3
Chittenden,,,3,0,0,3
Clarendon,,,5,0,0,5
Colchester,-,"Chittenden 7-1",15,0,0,15
Colchester,-,"Chittenden 7-2",9,0,0,9
Concord,,,1,0,0,1
Corinth,,,1,0,0,1
Cornwall,,,2,0,0,2
Craftsbury,,,1,0,0,1
Danby,,,1,0,0,1
Danville,,,2,0,0,2
Derby,,,4,0,0,4
Dorset,,,1,0,0,1
Dover,,,3,0,0,3
Dummerston,,,2,0,0,2
Duxbury,,,2,0,0,2
"E. Montpelier",,,3,0,0,3
Eden,,,1,0,0,1
Enosburgh,,,4,0,0,4
Essex,-,"Chittenden 6-1",4,0,0,4
Essex,-,"Chittenden 6-2",5,0,0,5
Essex,-,"Chittenden 6-3",0,0,0,0
"Fair Haven",,,4,0,0,4
Fairfax,,,3,0,0,3
Fairfield,,,2,0,0,2
Fayston,,,2,0,0,2
Ferrisburgh,,,2,0,0,2
Georgia,,,2,0,0,2
Glover,,,2,0,0,2
Goshen,,,2,0,0,2
Grafton,,,3,0,0,3
"Grand Isle",,,5,0,0,5
Granville,,,1,0,0,1
Greensboro,,,5,0,0,5
Groton,,,2,0,0,2
Guildhall,,,3,0,0,3
Guilford,,,1,0,0,1
Halifax,,,1,0,0,1
Hancock,,,1,0,0,1
Hardwick,,,12,0,0,12
Hartford,-,"Windsor 6-1",1,0,0,1
Hartford,-,"Windsor 6-2",17,0,0,17
Hartland,,,3,0,0,3
Highgate,,,6,0,0,6
Hinesburg,-,"Chittenden 1-1",7,0,0,7
