City/Town,Ward,Pct,"William Meub","Greg Parke","Karen Kerin",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Addison,,,85,30,16,1,0,132
Albany,,,28,12,10,1,0,51
Alburgh,,,33,20,22,1,0,76
Andover,,,17,9,8,0,0,34
Arlington,,,81,26,20,4,0,131
Athens,,,10,1,10,0,0,21
Bakersfield,,,12,5,1,0,0,18
Baltimore,,,3,1,5,0,0,9
Barnard,,,28,8,4,1,0,41
Barnet,,,31,10,12,1,0,54
"Barre City",-,"Washington 3-1",68,22,19,1,0,110
"Barre City",-,"Washington 3-2",37,22,19,0,0,78
"Barre City",-,"Washington 3-3",2,1,2,0,0,5
"Barre Town",,,267,69,52,6,0,394
Barton,-,"Barton Memorial",31,15,10,1,0,57
Barton,-,"Orleans Memorial",23,6,4,1,0,34
Belvidere,,,21,4,5,2,0,32
Bennington,-,"Bennington 2-1",113,35,20,1,0,169
Bennington,-,"Bennington 2-1 Nb",18,9,2,1,0,30
Bennington,-,"Bennington 2-2",141,28,27,4,0,200
Bennington,-,"Bennington 5",5,2,1,1,0,9
Benson,,,19,5,5,0,0,29
Berkshire,,,17,5,2,1,0,25
Berlin,,,45,23,9,2,0,79
Bethel,,,43,24,23,3,0,93
Bloomfield,,,3,2,4,0,0,9
Bolton,,,16,4,12,1,0,33
Bradford,,,52,28,70,2,0,152
Braintree,,,37,8,21,2,0,68
Brandon,,,280,95,33,0,0,408
Brattleboro,-,"Windham 3-1",74,15,14,1,0,104
Brattleboro,-,"Windham 3-2",51,16,15,1,0,83
Brattleboro,-,"Windham 3-3",43,5,6,0,0,54
Bridgewater,,,30,8,9,0,0,47
Bridport,,,53,31,14,0,0,98
Brighton,,,21,14,9,3,0,47
Bristol,,,106,34,15,0,0,155
Brookfield,,,44,9,21,0,0,74
Brookline,,,18,4,8,0,0,30
Brownington,,,14,9,7,0,0,30
Brunswick,,,6,0,1,2,0,9
Burke,,,52,18,31,3,0,104
Burlington,-,"Chittenden 3-1 Ward 4",80,54,15,1,0,150
Burlington,-,"Chittenden 3-1 Ward 7",35,19,5,2,0,61
Burlington,-,"Chittenden 3-2 Ward 2",2,0,1,0,0,3
Burlington,-,"Chittenden 3-2 Ward 3",0,1,0,0,0,1
Burlington,-,"Chittenden 3-2 Ward 4",24,11,2,0,0,37
Burlington,-,"Chittenden 3-2 Ward 7",38,22,5,0,0,65
Burlington,-,"Chittenden 3-3 Ward 2",8,3,2,0,0,13
Burlington,-,"Chittenden 3-3 Ward 3",20,8,2,0,0,30
Burlington,-,"Chittenden 3-3 Ward 5",3,0,0,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",3,1,0,0,0,4
Burlington,-,"Chittenden 3-3 Ward 7",6,1,1,0,0,8
Burlington,-,"Chittenden 3-4 Ward 1",9,21,2,0,0,32
Burlington,-,"Chittenden 3-4 Ward 2",5,0,2,0,0,7
Burlington,-,"Chittenden 3-4 Ward 6",2,1,0,0,0,3
Burlington,-,"Chittenden 3-5 Ward 5",59,39,511,1,0,610
Burlington,-,"Chittenden 3-5 Ward 6",36,13,4,0,0,53
Burlington,-,"Chittenden 3-6 Ward 1",7,5,1,0,0,13
Cabot,,,14,1,3,1,0,19
Calais,,,28,13,15,0,0,56
Cambridge,,,82,26,27,3,0,138
Canaan,,,21,9,19,0,0,49
Castleton,,,98,28,12,0,0,138
Cavendish,,,25,14,7,2,0,48
Charleston,,,15,5,4,0,0,24
Charlotte,,,56,22,3,0,0,81
Chelsea,,,97,6,21,3,0,127
Chester,,,66,20,24,0,0,110
Chittenden,,,29,29,5,0,0,63
Clarendon,,,60,47,5,0,0,112
Colchester,-,"Chittenden 7-1",61,37,6,0,0,104
Colchester,-,"Chittenden 7-2",71,42,10,0,0,123
Concord,,,16,5,9,1,0,31
Corinth,,,18,32,17,0,0,67
Cornwall,,,49,9,3,0,0,61
Coventry,,,13,14,7,1,0,35
Craftsbury,,,23,6,6,1,0,36
Danby,,,52,18,11,1,0,82
Danville,,,62,25,13,0,0,100
Derby,,,102,42,29,2,0,175
Dorset,,,75,8,8,0,0,91
Dover,,,107,14,23,0,0,144
Dummerston,,,48,5,8,0,0,61
Duxbury,,,18,12,5,0,0,35
"E. Haven",,,6,2,5,0,0,13
"E. Montpelier",,,92,34,21,1,0,148
Eden,,,48,6,17,2,0,73
Elmore,,,74,25,23,2,0,124
Enosburgh,,,17,9,2,1,0,29
Essex,-,"Chittenden 6-1",79,64,12,0,0,155
Essex,-,"Chittenden 6-2",82,86,14,0,0,182
