City/Town,Ward,Pct,"Michael S. Bertrand",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,124,0,0,124
Albany,,,46,0,0,46
Alburgh,,,62,0,0,62
Andover,,,27,0,0,27
Arlington,,,122,0,0,122
Athens,,,22,0,0,22
Bakersfield,,,13,0,0,13
Baltimore,,,8,0,0,8
Barnard,,,35,0,0,35
Barnet,,,57,0,0,57
"Barre City",-,"Washington 3-1",105,0,0,105
"Barre City",-,"Washington 3-2",68,0,0,68
"Barre City",-,"Washington 3-3",5,0,0,5
"Barre Town",,,450,0,0,450
Barton,-,"Barton Memorial",54,0,0,54
Barton,-,"Orleans Memorial",32,0,0,32
Belvidere,,,32,0,0,32
Bennington,-,"Bennington 2-1",133,0,0,133
Bennington,-,"Bennington 2-1 Nb",20,0,0,20
Bennington,-,"Bennington 2-2",162,0,0,162
Bennington,-,"Bennington 5",7,0,0,7
Benson,,,25,0,0,25
Berkshire,,,22,0,0,22
Berlin,,,76,0,0,76
Bethel,,,80,0,0,80
Bloomfield,,,10,0,0,10
Bolton,,,26,0,0,26
Bradford,,,138,0,0,138
Braintree,,,61,0,0,61
Brandon,,,335,0,0,335
Brattleboro,-,"Windham 3-1",88,0,0,88
Brattleboro,-,"Windham 3-2",66,0,0,66
Brattleboro,-,"Windham 3-3",48,0,0,48
Bridgewater,,,39,0,0,39
Bridport,,,87,0,0,87
Brighton,,,49,0,0,49
Bristol,,,149,0,0,149
Brookfield,,,70,0,0,70
Brookline,,,34,0,0,34
Brownington,,,27,0,0,27
Brunswick,,,7,0,0,7
Burke,,,97,0,0,97
Burlington,-,"Chittenden 3-1 Ward 4",132,0,0,132
Burlington,-,"Chittenden 3-1 Ward 7",49,0,0,49
Burlington,-,"Chittenden 3-2 Ward 2",3,0,0,3
Burlington,-,"Chittenden 3-2 Ward 3",1,0,0,1
Burlington,-,"Chittenden 3-2 Ward 4",27,0,0,27
Burlington,-,"Chittenden 3-2 Ward 7",55,0,0,55
Burlington,-,"Chittenden 3-3 Ward 2",10,0,0,10
Burlington,-,"Chittenden 3-3 Ward 3",27,0,0,27
Burlington,-,"Chittenden 3-3 Ward 5",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 7",7,0,0,7
Burlington,-,"Chittenden 3-4 Ward 1",23,0,0,23
Burlington,-,"Chittenden 3-4 Ward 2",3,0,0,3
Burlington,-,"Chittenden 3-4 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-5 Ward 5",82,0,0,82
Burlington,-,"Chittenden 3-5 Ward 6",50,0,0,50
Burlington,-,"Chittenden 3-6 Ward 1",9,0,0,9
Cabot,,,16,0,0,16
Calais,,,48,0,0,48
Cambridge,,,125,0,0,125
Canaan,,,49,0,0,49
Castleton,,,113,0,0,113
Cavendish,,,43,0,0,43
Charleston,,,26,0,0,26
Charlotte,,,66,0,0,66
Chelsea,,,103,0,0,103
Chester,,,96,0,0,96
Chittenden,,,50,0,0,50
Clarendon,,,94,0,0,94
Colchester,-,"Chittenden 7-1",84,0,0,84
Colchester,-,"Chittenden 7-2",105,0,0,105
Concord,,,33,0,0,33
Corinth,,,62,0,0,62
Cornwall,,,45,0,0,45
Coventry,,,31,0,0,31
Craftsbury,,,31,0,0,31
Danby,,,70,0,0,70
Danville,,,98,0,0,98
Derby,,,161,0,0,161
Dorset,,,77,0,0,77
Dover,,,124,0,0,124
Dummerston,,,61,0,0,61
Duxbury,,,29,0,0,29
"E. Haven",,,14,0,0,14
"E. Montpelier",,,140,0,0,140
Eden,,,55,0,0,55
Elmore,,,94,0,0,94
Enosburgh,,,26,0,0,26
Essex,-,"Chittenden 6-1",117,0,0,117
Essex,-,"Chittenden 6-2",146,0,0,146
Essex,-,"Chittenden 6-3",32,0,0,32
"Fair Haven",,,96,0,0,96
Fairfax,,,153,0,0,153
Fairfield,,,17,0,0,17
