City/Town,Ward,Pct,"Gerry Gossens","Claire Ayer",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,23,22,1,16,62
Brandon,,,194,147,3,305,649
Bridport,,,19,17,2,16,54
Bristol,,,118,107,2,77,304
Cornwall,,,73,62,0,47,182
Ferrisburgh,,,78,66,1,75,220
Goshen,,,9,6,0,7,22
Granville,,,3,4,0,17,24
Hancock,,,7,3,1,3,14
Leicester,,,39,25,2,25,91
Lincoln,,,87,80,0,69,236
Middlebury,,,219,193,3,115,530
Monkton,,,67,55,3,48,173
"New Haven",,,121,108,4,143,376
Orwell,,,30,25,1,34,90
Panton,,,19,16,4,17,56
Ripton,,,38,34,0,24,96
Salisbury,,,42,30,1,23,96
Shoreham,,,37,40,1,48,126
Starksboro,,,63,56,0,47,166
Vergennes,,,35,38,6,49,128
Waltham,,,5,6,0,3,14
Weybridge,,,45,46,0,29,120
Whiting,,,18,15,0,7,40
TOTALS,,,"1,389","1,201",35,"1,244","3,869"
