City/Town,Ward,Pct,"Dick Sears","Judy Murphy",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,83,66,4,59,212
Bennington,-,"Bennington 2-1",250,177,4,175,606
Bennington,-,"Bennington 2-1 Nb",59,46,3,40,148
Bennington,-,"Bennington 2-2",203,144,16,153,516
Bennington,-,"Bennington 5",23,19,0,14,56
Dorset,,,26,24,0,18,68
Landgrove,,,3,2,0,5,10
Manchester,,,57,52,0,57,166
Peru,,,17,13,0,14,44
Pownal,,,78,76,0,58,212
Readsboro,,,39,32,1,38,110
Rupert,,,2,2,0,2,6
Sandgate,,,17,13,0,10,40
Searsburg,,,5,2,1,0,8
Shaftsbury,,,128,103,2,71,304
Stamford,,,46,19,0,0,65
Sunderland,,,20,23,0,9,52
Wilmington,,,53,47,3,75,178
Winhall,,,11,13,0,22,46
Woodford,,,6,4,1,5,16
TOTALS,,,"1,126",877,35,825,"2,863"
