City/Town,Ward,Pct,"James Leddy","Janet S. Munt","Virginia Lyons","Jim Condos","Art Hogan","Hinda Miller",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,
Bolton,,,33,33,33,30,34,32,4,35,234
Burlington,-,"Chittenden 3-1",350,322,307,320,346,307,10,51,"2,013"
Burlington,-,"Chittenden 3-2",180,171,155,160,165,144,3,23,"1,001"
Burlington,-,"Chittenden 3-3",164,173,162,155,158,156,12,37,"1,017"
Burlington,-,"Chittenden 3-4",183,162,150,145,154,155,8,35,992
Burlington,-,"Chittenden 3-5",600,563,511,499,490,526,21,106,"3,316"
Burlington,-,"Chittenden 3-6",47,46,41,39,42,37,1,6,259
Charlotte,,,128,137,125,119,119,113,3,330,"1,074"
Essex,-,"Chittenden 6-1",101,98,101,98,94,95,3,208,798
Essex,-,"Chittenden 6-2",153,141,136,137,129,121,11,59,887
Essex,-,"Chittenden 6-3",35,33,33,34,36,32,0,85,288
Hinesburg,-,"Chittenden 1-1",137,141,140,126,118,121,1,399,"1,183"
Hinesburg,-,"Chittenden 1-2",6,6,5,6,6,5,0,8,42
Huntington,,,47,45,47,41,38,38,0,127,383
Jericho,,,161,157,159,150,142,145,0,340,"1,254"
Milton,-,"Chittenden 9",100,97,89,88,86,83,1,350,894
Milton,-,"Grand Isle-Chittenden 1-1",8,10,9,8,6,6,0,43,90
Richmond,,,166,165,170,152,151,146,1,303,"1,254"
Shelburne,-,"Chittenden 5-1",200,200,186,184,190,172,14,460,"1,606"
Shelburne,-,"Chittenden 5-2",101,100,96,93,88,95,17,232,822
"S. Burlington",-,"Chittenden 3-10",132,132,113,128,115,108,2,272,"1,002"
"S. Burlington",-,"Chittenden 3-7",181,166,152,180,156,148,1,384,"1,368"
"S. Burlington",-,"Chittenden 3-8",167,151,138,164,137,121,2,374,"1,254"
"S. Burlington",-,"Chittenden 3-9",154,135,132,146,129,123,2,289,"1,110"
"St. George",,,12,14,12,11,11,10,0,0,70
Underhill,,,106,102,103,96,97,94,2,264,864
Westford,,,46,47,44,42,41,42,2,114,378
Williston,,,212,218,248,203,186,178,6,602,"1,853"
Winooski,,,154,145,141,144,139,134,3,292,"1,152"
TOTALS,,,"4,064","3,910","3,738","3,698","3,603","3,487",130,"5,828","28,458"
