City/Town,Ward,Pct,"Ann Cummings","Charles Phillips","Kimberly B. Cheney",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"Barre City",-,"Washington 3-1",128,104,104,18,189,543
"Barre City",-,"Washington 3-2",91,75,75,11,144,396
"Barre City",-,"Washington 3-3",19,15,15,3,26,78
"Barre Town",,,287,243,243,50,449,"1,272"
Berlin,,,85,72,75,17,150,399
Cabot,,,38,30,32,0,62,162
Calais,,,123,96,94,4,232,549
Duxbury,,,53,45,46,1,80,225
"E. Montpelier",,,159,135,128,9,217,648
Fayston,,,52,32,39,0,66,189
Marshfield,,,65,53,52,7,105,282
Middlesex,,,122,113,117,1,136,489
Montpelier,,,795,761,633,31,930,"3,150"
Moretown,,,84,65,72,1,159,381
Northfield,,,198,156,156,8,250,768
Plainfield,,,76,63,62,4,131,336
Roxbury,,,28,19,20,1,46,114
Waitsfield,,,60,37,41,5,121,264
Warren,,,46,37,40,5,115,243
Waterbury,,,204,165,169,6,302,846
Woodbury,,,37,29,33,6,60,165
Worcester,,,66,57,60,3,87,273
TOTALS,,,"2,816","2,402","2,306",191,"4,057","11,772"
