City/Town,Ward,Pct,"Rod Gander","Daniel P. White","Don Webster","Franz Reichsman","Paul T. Kane","Wendy S. Collins","John Moran","Philip J. Kramer",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,,,
Athens,,,6,10,2,4,18,4,1,5,0,12,62
Brattleboro,-,"Windham 3-1",208,73,266,79,25,101,33,25,8,72,890
Brattleboro,-,"Windham 3-2",156,91,218,122,22,62,41,32,6,70,820
Brattleboro,-,"Windham 3-3",211,103,265,92,29,88,32,26,13,97,956
Brookline,,,8,12,13,9,3,5,8,15,0,17,90
Dover,,,18,7,6,1,2,13,26,4,1,10,88
Dummerston,,,118,88,106,54,19,41,22,43,2,41,534
Grafton,,,13,23,11,8,20,10,9,4,1,21,120
Guilford,,,89,62,55,77,11,30,23,4,4,45,400
Halifax,,,25,9,18,10,3,6,10,3,0,16,100
Jamaica,,,17,16,14,6,3,10,40,14,7,37,164
Londonderry,,,5,16,3,1,4,8,28,1,1,33,100
Marlboro,,,111,19,26,109,5,12,6,0,0,24,312
Newfane,,,114,55,78,55,10,35,25,40,10,52,474
Putney,,,110,274,71,80,24,34,28,25,3,89,738
Rockingham,,,83,195,82,126,426,50,36,36,15,209,"1,258"
Stratton,,,3,0,1,0,2,3,1,0,0,4,14
Townshend,,,52,32,15,14,7,20,33,29,7,59,268
Vernon,,,31,22,38,15,10,21,5,13,9,26,190
Wardsboro,,,11,13,2,8,1,5,53,8,0,33,134
Westminster,-,"Windham 4",5,6,7,2,17,3,4,1,1,4,50
Westminster,-,"Windham 5",93,248,54,72,169,41,32,20,7,122,858
Whitingham,,,7,16,6,8,6,12,7,1,0,25,88
Windham,,,9,4,11,5,4,2,11,7,0,13,66
TOTALS,,,"1,503","1,394","1,368",957,840,616,514,356,95,"1,131","8,774"
