City/Town,Ward,Pct,"Mark Shepard","Ezekiel S. Cross",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,106,75,7,110,298
Bennington,-,"Bennington 2-1",138,109,11,142,400
Bennington,-,"Bennington 2-1 Nb",21,16,1,30,68
Bennington,-,"Bennington 2-2",163,135,8,180,486
Bennington,-,"Bennington 5",8,4,0,6,18
Dorset,,,76,55,3,66,200
Landgrove,,,10,9,0,7,26
Manchester,,,167,100,1,144,412
Peru,,,19,14,0,23,56
Pownal,,,91,60,2,99,252
Readsboro,,,25,10,0,23,58
Rupert,,,31,21,0,30,82
Sandgate,,,17,8,0,13,38
Searsburg,,,8,6,0,0,14
Shaftsbury,,,163,145,11,184,503
Stamford,,,42,17,0,41,100
Sunderland,,,17,13,0,24,54
Wilmington,,,92,58,1,95,246
Winhall,,,33,18,1,46,98
Woodford,,,9,7,0,12,28
TOTALS,,,"1,236",880,46,"1,275","3,437"
