City/Town,Ward,Pct,"Donald R. Brunelle","Scot Shumski","Kate Purcell","Lynn P. Shepard","Diane B. Snelling","Yves Bradley",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,
Bolton,,,27,25,24,25,24,23,4,58,210
Burlington,-,"Chittenden 3-1",161,173,155,146,148,151,8,22,964
Burlington,-,"Chittenden 3-2",80,85,65,66,65,68,23,12,464
Burlington,-,"Chittenden 3-3",43,41,39,40,45,41,3,42,294
Burlington,-,"Chittenden 3-4",31,28,25,23,22,28,6,3,166
Burlington,-,"Chittenden 3-5",118,133,111,107,106,107,17,15,714
Burlington,-,"Chittenden 3-6",10,8,7,7,8,7,1,2,50
Charlotte,,,55,51,57,53,62,52,0,180,510
Essex,-,"Chittenden 6-1",115,102,100,106,108,99,5,373,"1,008"
Essex,-,"Chittenden 6-2",144,119,117,123,118,116,4,33,774
Essex,-,"Chittenden 6-3",36,29,31,27,28,29,2,64,246
Hinesburg,-,"Chittenden 1-1",62,56,57,57,56,57,6,195,546
Hinesburg,-,"Chittenden 1-2",1,1,2,2,3,1,0,8,18
Huntington,,,15,14,13,14,16,14,0,76,162
Jericho,,,103,98,98,97,94,97,7,270,864
Milton,-,"Chittenden 9",139,119,117,113,114,116,6,0,724
Milton,-,"Grand Isle-Chittenden 1-1",32,32,31,33,33,33,0,88,282
Richmond,,,86,82,76,79,73,76,2,168,642
Shelburne,-,"Chittenden 5-1",103,93,97,98,95,90,5,217,798
Shelburne,-,"Chittenden 5-2",88,90,97,86,91,85,6,135,678
"S. Burlington",-,"Chittenden 3-10",9,8,8,8,7,8,0,0,48
"S. Burlington",-,"Chittenden 3-7",92,84,92,86,87,85,3,155,684
"S. Burlington",-,"Chittenden 3-8",96,85,95,87,83,84,7,195,732
"S. Burlington",-,"Chittenden 3-9",64,62,65,62,57,61,1,120,492
"St. George",,,114,110,117,108,120,109,11,265,954
Underhill,,,82,70,69,68,71,69,2,228,659
Westford,,,38,34,32,31,31,32,2,112,312
Williston,,,156,137,148,156,139,0,0,377,"1,113"
Winooski,,,77,43,43,45,40,40,1,209,498
TOTALS,,,"2,177","2,012","1,988","1,953","1,944","1,778",132,"3,622","15,606"
