City/Town,Ward,Pct,"Jim Greenwood","Vince Illuzzi",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bloomfield,,,6,8,0,10,24
Brighton,,,42,43,0,23,108
Brunswick,,,8,7,0,5,20
Canaan,,,47,46,1,40,134
Concord,,,50,28,1,21,100
"E. Haven",,,13,11,0,4,28
Eden,,,51,52,6,84,193
Granby,,,14,15,0,7,36
Guildhall,,,25,22,1,2,50
Lemington,,,11,10,0,9,30
Lunenburg,,,38,32,1,31,102
Maidstone,,,6,9,0,15,30
Montgomery,,,12,8,0,14,34
Norton,,,11,17,2,8,38
Richford,,,41,36,0,21,98
Victory,,,8,5,0,0,13
Wolcott,,,90,67,0,113,270
TOTALS,,,473,416,12,407,"1,308"
