City/Town,Ward,Pct,"Jim Greenwood","Vince Illuzzi",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Albany,,,50,44,0,12,106
Barton,,,59,48,3,26,136
Brownington,,,35,31,2,12,80
Charleston,,,24,25,0,17,66
Coventry,,,26,27,0,9,62
Craftsbury,,,37,31,1,15,84
Derby,,,35,27,2,24,88
Glover,,,65,57,0,16,138
Greensboro,,,20,16,0,16,52
Holland,,,23,25,0,8,56
Irasburg,,,63,58,0,26,147
Lowell,,,14,13,3,10,40
Morgan,,,41,45,1,17,104
"Newport City",,,230,233,3,136,602
"Newport Town",,,53,57,2,32,144
Troy,,,26,19,0,13,58
Westfield,,,23,25,0,2,50
Westmore,,,14,14,0,4,32
TOTALS,,,838,795,17,395,"2,045"
