City/Town,Ward,Pct,"John H. Bloomer, Jr","Hull Maynard","John Crowley",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Benson,,,21,24,21,0,24,90
Castleton,,,128,122,121,0,61,432
Chittenden,,,50,53,50,0,45,198
Clarendon,,,91,90,96,0,74,351
Danby,,,72,70,66,1,99,308
"Fair Haven",,,111,101,107,4,73,396
Hubbardton,,,21,21,21,0,3,66
Ira,-,"Rutland Rutland 1-1",22,22,22,0,3,69
Ira,-,"Rutland Rutland 1-2",1,0,0,0,0,1
Mendon,,,75,77,81,1,99,333
"Middletown Springs",,,81,80,83,6,53,303
"Mount Holly",,,57,47,50,2,60,216
"Mount Tabor",,,49,44,39,1,44,177
Pawlet,,,6,5,4,0,6,21
Pittsfield,,,56,49,49,1,62,217
Pittsford,,,28,28,28,0,21,105
Poultney,,,126,122,124,0,72,444
Proctor,,,106,103,100,1,95,405
"Rutland City",-,"Rutland 5-1",59,58,58,2,51,228
"Rutland City",-,"Rutland 5-2",0,0,0,0,0,0
"Rutland City",-,"Rutland 5-3",0,0,0,0,0,0
"Rutland City",-,"Rutland 5-4",142,0,0,0,0,142
"Rutland Town",-,"Elem. School",0,0,0,0,0,0
"Rutland Town",-,"Town Hall",418,404,394,2,330,"1,548"
Shrewsbury,,,46,52,46,6,54,204
Sudbury,,,37,31,35,0,35,138
Tinmouth,,,27,24,22,0,20,93
Wallingford,,,125,126,121,0,72,444
Wells,,,32,28,38,0,28,126
"W. Haven",,,11,12,12,0,1,36
"W. Rutland",,,73,65,69,0,48,255
TOTALS,,,"2,071","1,858","1,857",27,"1,533","7,346"
