City/Town,Ward,Pct,"Randy Brock","Elizabeth M. Ready","Jerry Levy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,"Liberty Union"
Addison,,,476,218,34,0,0,728
Albany,,,251,179,29,0,0,459
Alburgh,,,536,280,54,0,0,870
Andover,,,156,119,18,0,0,293
Arlington,,,642,570,62,3,0,"1,277"
Athens,,,56,54,16,0,0,126
Bakersfield,,,339,220,34,0,0,593
Baltimore,,,78,39,9,0,0,126
Barnard,,,293,216,32,0,0,541
Barnet,,,482,332,43,0,0,857
"Barre City",-,"Washington 3-1","1,176",636,81,4,0,"1,897"
"Barre City",-,"Washington 3-2",863,524,93,2,0,"1,482"
"Barre City",-,"Washington 3-3",151,113,17,0,0,281
"Barre Town",,,"2,736","1,181",147,1,0,"4,065"
Barton,,,691,470,81,2,0,"1,244"
Belvidere,,,84,51,5,1,0,141
Bennington,-,"Bennington 2-1",959,"1,352",128,2,0,"2,441"
Bennington,-,"Bennington 2-1 Nb",141,418,52,0,0,611
Bennington,-,"Bennington 2-2","1,193","1,754",207,2,0,"3,156"
Bennington,-,"Bennington 5",33,21,0,0,0,54
Benson,,,280,184,31,0,0,495
Berkshire,,,362,235,29,0,0,626
Berlin,,,768,436,68,2,0,"1,274"
Bethel,,,492,411,75,0,0,978
Bloomfield,,,48,46,8,0,0,102
Bolton,,,301,262,39,0,0,602
Bradford,,,676,479,77,1,0,"1,233"
Braintree,,,332,196,39,0,0,567
Brandon,,,"1,074",710,101,0,0,"1,885"
Brattleboro,-,"Windham 3-1",765,"1,176",201,2,0,"2,144"
Brattleboro,-,"Windham 3-2",396,"1,070",261,1,0,"1,728"
Brattleboro,-,"Windham 3-3",398,"1,064",236,5,0,"1,703"
Bridgewater,,,275,218,40,0,0,533
Bridport,,,456,195,44,0,0,695
Brighton,,,333,218,32,1,0,584
Bristol,,,959,830,100,1,0,"1,890"
Brookfield,,,404,247,49,1,0,701
Brookline,,,115,120,126,0,0,361
Brownington,,,214,122,26,0,0,362
Brunswick,,,24,22,8,0,0,54
Burke,,,430,280,55,2,0,767
Burlington,-,"Chittenden 3-1","1,909","1,634",191,11,0,"3,745"
Burlington,-,"Chittenden 3-2",959,872,129,9,0,"1,969"
Burlington,-,"Chittenden 3-3",891,"2,350",391,26,0,"3,658"
Burlington,-,"Chittenden 3-4",785,"1,839",264,17,0,"2,905"
Burlington,-,"Chittenden 3-5","1,817","2,379",313,14,0,"4,523"
Burlington,-,"Chittenden 3-6",195,327,42,4,0,568
Cabot,,,295,312,39,3,0,649
Calais,,,391,513,47,0,0,951
Cambridge,,,894,667,98,3,0,"1,662"
Canaan,,,210,186,17,0,0,413
Castleton,,,"1,027",653,105,0,0,"1,785"
Cavendish,,,360,272,46,1,0,679
Charleston,,,225,178,16,0,0,419
Charlotte,,,"1,151",881,130,3,0,"2,165"
