City/Town,Ward,Pct,"William H. Sorrell","Dennis Carver","Susan A. Davis","James Mark Leas","Karen Kerin","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive,Green,Libertarian,"Liberty Union"
Addison,,,390,303,15,14,4,3,0,0,729
Albany,,,239,144,54,13,3,5,0,0,458
Alburgh,,,494,285,29,23,20,4,2,0,857
Andover,,,129,130,10,14,5,0,0,0,288
Arlington,,,620,508,49,46,39,10,2,0,"1,274"
Athens,,,50,60,9,4,7,1,0,0,131
Bakersfield,,,336,169,38,25,16,8,0,0,592
Baltimore,,,47,64,4,3,7,1,0,0,126
Barnard,,,277,201,15,23,25,2,0,0,543
Barnet,,,416,357,39,28,21,10,1,0,872
"Barre City",-,"Washington 3-1","1,125",619,69,24,59,15,3,0,"1,914"
"Barre City",-,"Washington 3-2",849,521,39,31,41,12,1,0,"1,494"
"Barre City",-,"Washington 3-3",152,103,14,6,5,1,1,0,282
"Barre Town",,,"2,144",671,68,48,97,16,0,0,"3,044"
Barton,,,630,406,143,15,35,12,1,0,"1,242"
Belvidere,,,65,55,5,5,6,2,0,0,138
Bennington,-,"Bennington 2-1","1,344",829,105,70,67,32,3,0,"2,450"
Bennington,-,"Bennington 2-1 Nb",364,122,46,49,15,6,0,0,602
Bennington,-,"Bennington 2-2","1,772",12,174,82,92,40,1,0,"2,173"
Bennington,-,"Bennington 5",17,32,3,3,0,1,0,0,56
Benson,,,226,210,29,12,15,3,0,0,495
Berkshire,,,360,201,44,3,11,1,0,0,620
Berlin,,,744,428,44,27,26,11,0,0,"1,280"
Bethel,,,528,332,37,23,42,10,1,0,973
Bloomfield,,,42,44,10,3,1,2,0,0,102
Bolton,,,395,145,24,23,9,6,0,0,602
Bradford,,,568,512,39,21,30,56,2,0,"1,228"
Braintree,,,316,215,17,7,25,2,0,0,582
Brandon,,,"1,055",641,52,43,54,15,0,0,"1,860"
Brattleboro,-,"Windham 3-1","1,283",580,161,61,47,20,2,0,"2,154"
Brattleboro,-,"Windham 3-2","1,098",314,167,76,28,37,0,0,"1,720"
Brattleboro,-,"Windham 3-3","1,010",303,249,98,35,25,2,0,"1,722"
Bridgewater,,,246,211,28,19,23,4,0,0,531
Bridport,,,352,276,19,12,13,7,0,0,679
Brighton,,,252,239,84,8,10,1,1,0,595
Bristol,,,"1,191",490,76,55,26,18,2,0,"1,858"
Brookfield,,,384,253,21,14,29,7,2,0,710
Brookline,,,98,112,18,10,22,3,0,0,263
Brownington,,,157,119,60,7,9,4,0,0,356
Brunswick,,,23,17,9,2,2,1,0,0,54
Burke,,,370,315,46,22,13,5,0,0,771
Burlington,-,"Chittenden 3-1","2,729",799,117,98,32,18,7,0,"3,800"
Burlington,-,"Chittenden 3-2","1,444",357,86,83,20,18,4,0,"2,012"
Burlington,-,"Chittenden 3-3","2,396",342,496,357,94,58,14,0,"3,757"
Burlington,-,"Chittenden 3-4","1,879",294,370,300,51,37,10,0,"2,941"
Burlington,-,"Chittenden 3-5","3,337",628,289,232,85,35,4,0,"4,610"
Burlington,-,"Chittenden 3-6",404,76,43,23,13,8,0,0,567
Cabot,,,370,208,35,23,16,8,1,0,661
Calais,,,617,263,49,27,9,11,0,0,976
Cambridge,,,"1,049",428,76,60,40,12,0,0,"1,665"
Canaan,,,199,155,44,11,9,1,0,0,419
Castleton,,,845,724,78,60,44,18,2,0,"1,771"
Cavendish,,,322,282,40,24,7,3,2,0,680
Charleston,,,198,131,71,10,5,4,0,0,419
Charlotte,,,"1,522",486,64,60,28,11,1,0,"2,172"
Chelsea,,,320,298,14,14,25,7,1,0,679
Chester,,,848,529,67,52,40,24,0,0,"1,560"
Chittenden,,,305,293,31,15,19,9,0,0,672
Clarendon,,,574,595,44,36,25,17,0,0,"1,291"
Colchester,-,"Chittenden 7-1","2,236",797,109,88,53,14,2,0,"3,299"
Colchester,-,"Chittenden 7-2","2,654",996,100,75,57,26,1,0,"3,909"
Concord,,,214,219,26,10,12,5,0,0,486
Corinth,,,290,271,25,21,14,39,0,0,660
Cornwall,,,456,193,19,17,11,6,1,0,703
Coventry,,,174,116,84,7,2,1,0,0,384
Craftsbury,,,388,148,43,30,11,8,2,0,630
Danby,,,285,305,43,30,28,13,3,0,707
