City/Town,Ward,Pct,"Jim Douglas","Peter Clavelle","Cris Ericson","Patricia Hejny","Hardy Machia","Pete Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Marijuana,Independent,Libertarian,"Liberty Union"
Addison,,,536,202,4,1,4,2,0,0,749
Albany,,,296,171,2,4,5,2,0,0,480
Alburgh,,,599,269,4,4,20,2,0,0,898
Andover,,,186,104,7,5,1,1,0,0,304
Arlington,,,830,437,31,15,11,8,0,0,"1,332"
Athens,,,69,60,3,3,1,2,0,0,138
Bakersfield,,,428,174,10,3,7,2,1,0,625
Baltimore,,,91,29,4,1,1,1,0,0,127
Barnard,,,329,224,6,6,1,0,1,0,567
Barnet,,,542,324,19,11,13,2,0,0,911
"Barre City",-,"Washington 3-1","1,262",666,13,16,12,9,1,0,"1,979"
"Barre City",-,"Washington 3-2",957,542,19,8,9,6,0,0,"1,541"
"Barre City",-,"Washington 3-3",177,101,5,3,2,2,0,0,290
"Barre Town",,,"3,036","1,092",19,21,13,5,2,0,"4,188"
Barton,,,870,355,22,13,19,8,0,0,"1,287"
Belvidere,,,87,48,6,1,5,0,0,0,147
Bennington,-,"Bennington 2-1","1,525",981,68,31,18,18,0,0,"2,641"
Bennington,-,"Bennington 2-1 Nb",249,364,15,22,10,5,0,0,665
Bennington,-,"Bennington 2-2","1,972","1,243",99,59,15,23,4,0,"3,415"
Bennington,-,"Bennington 5",48,13,1,0,0,1,0,0,63
Benson,,,335,170,4,4,2,2,0,0,517
Berkshire,,,446,173,2,5,5,3,1,0,635
Berlin,,,889,421,10,5,8,6,0,0,"1,339"
Bethel,,,606,376,13,7,5,4,0,0,"1,011"
Bloomfield,,,63,40,0,0,0,2,0,0,105
Bolton,,,366,245,5,2,5,3,0,0,626
Bradford,,,821,442,19,9,7,3,1,0,"1,302"
Braintree,,,360,222,9,2,5,2,0,0,600
Brandon,,,"1,205",668,36,11,9,5,0,0,"1,934"
Brattleboro,-,"Windham 3-1",951,"1,242",31,22,6,37,1,0,"2,290"
Brattleboro,-,"Windham 3-2",586,"1,141",47,14,4,37,1,0,"1,830"
Brattleboro,-,"Windham 3-3",548,"1,171",44,28,7,31,3,0,"1,832"
Bridgewater,,,336,206,13,7,5,2,1,0,570
Bridport,,,498,172,16,5,8,9,0,0,708
Brighton,,,401,182,6,6,9,2,1,0,607
Bristol,,,"1,171",702,26,7,12,1,2,0,"1,921"
Brookfield,,,437,266,9,9,6,1,0,0,728
Brookline,,,133,130,9,3,1,5,0,0,281
Brownington,,,252,113,2,4,5,2,0,0,378
Brunswick,,,40,15,3,1,0,0,0,0,59
Burke,,,496,275,16,9,12,5,0,0,813
Burlington,-,"Chittenden 3-1","2,339","1,508",34,20,23,19,7,0,"3,950"
Burlington,-,"Chittenden 3-2","1,163",878,29,10,18,6,5,0,"2,109"
Burlington,-,"Chittenden 3-3","1,133","2,617",117,66,75,16,10,0,"4,034"
Burlington,-,"Chittenden 3-4",936,"2,032",146,43,91,9,13,0,"3,270"
