City/Town,Ward,Pct,"Brian E. Dubie","Cheryl Pratt Rivers","Steve Hingtgen","Peter Stevenson",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Progressive,"Liberty Union"
Addison,,,519,185,30,7,0,0,741
Albany,,,281,150,35,6,0,0,472
Alburgh,,,599,236,37,9,0,0,881
Andover,,,178,94,22,1,0,0,295
Arlington,,,763,470,46,20,1,0,"1,300"
Athens,,,64,56,10,3,0,0,133
Bakersfield,,,402,164,41,9,1,0,617
Baltimore,,,81,42,2,2,0,0,127
Barnard,,,298,217,40,8,0,0,563
Barnet,,,519,318,47,9,0,0,893
"Barre City",-,"Washington 3-1","1,219",571,138,13,1,0,"1,942"
"Barre City",-,"Washington 3-2",935,443,118,19,1,0,"1,516"
"Barre City",-,"Washington 3-3",165,89,21,9,0,0,284
"Barre Town",,,"2,944",975,200,31,0,0,"4,150"
Barton,,,839,344,52,25,2,0,"1,262"
Belvidere,,,96,34,12,3,0,0,145
Bennington,-,"Bennington 2-1","1,339","1,007",164,41,1,0,"2,552"
Bennington,-,"Bennington 2-1 Nb",203,364,55,13,0,0,635
Bennington,-,"Bennington 2-2","1,776","1,305",198,48,2,0,"3,329"
Bennington,-,"Bennington 5",43,13,1,1,0,0,58
Benson,,,300,166,35,6,0,0,507
Berkshire,,,431,168,24,6,0,0,629
Berlin,,,827,354,124,20,2,0,"1,327"
Bethel,,,542,386,67,10,0,0,"1,005"
Bloomfield,,,61,32,4,2,0,0,99
Bolton,,,351,204,60,4,0,0,619
Bradford,,,723,445,75,22,1,0,"1,266"
Braintree,,,355,204,24,12,0,0,595
Brandon,,,"1,091",724,79,26,0,0,"1,920"
Brattleboro,-,"Windham 3-1",868,"1,149",187,31,3,0,"2,238"
Brattleboro,-,"Windham 3-2",526,"1,074",173,20,4,0,"1,797"
Brattleboro,-,"Windham 3-3",468,"1,029",273,25,1,0,"1,796"
Bridgewater,,,305,202,37,15,0,0,559
Bridport,,,476,185,26,6,2,0,695
Brighton,,,386,177,33,6,0,0,602
Bristol,,,"1,050",713,112,18,0,0,"1,893"
Brookfield,,,410,254,53,6,0,0,723
Brookline,,,127,124,19,4,0,0,274
Brownington,,,231,111,22,8,0,0,372
Brunswick,,,33,21,1,2,0,0,57
Burke,,,472,254,63,8,0,0,797
Burlington,-,"Chittenden 3-1","2,105","1,422",317,29,5,0,"3,878"
Burlington,-,"Chittenden 3-2","1,067",766,223,16,3,0,"2,075"
Burlington,-,"Chittenden 3-3",971,"1,834","1,046",55,11,0,"3,917"
Burlington,-,"Chittenden 3-4",830,"1,487",772,43,5,0,"3,137"
Burlington,-,"Chittenden 3-5","1,721","2,252",740,40,11,0,"4,764"
Burlington,-,"Chittenden 3-6",199,316,75,8,1,0,599
Cabot,,,316,260,92,6,0,0,674
Calais,,,386,498,104,11,0,0,999
Cambridge,,,"1,040",544,125,17,0,0,"1,726"
Canaan,,,243,159,17,6,0,0,425
Castleton,,,"1,162",569,78,32,2,0,"1,843"
Cavendish,,,425,233,32,14,1,0,705
Charleston,,,255,138,25,11,0,0,429
Charlotte,,,"1,135",932,167,17,0,0,"2,251"
Chelsea,,,432,215,44,5,0,0,696
Chester,,,803,730,71,17,0,0,"1,621"
Chittenden,,,449,209,31,11,0,0,700
Clarendon,,,962,302,57,13,0,0,"1,334"
Colchester,-,"Chittenden 7-1","2,197",992,228,20,2,0,"3,439"
Colchester,-,"Chittenden 7-2","2,757","1,026",237,32,1,0,"4,053"
Concord,,,363,101,28,10,0,0,502
Corinth,,,362,262,43,9,1,0,677
Cornwall,,,344,324,47,10,1,0,726
Coventry,,,254,115,15,3,0,0,387
Craftsbury,,,305,277,63,2,1,0,648
Danby,,,424,244,28,15,0,0,711
Danville,,,809,312,82,18,0,0,"1,221"
Derby,,,"1,429",560,98,30,2,0,"2,119"
Dorset,,,810,364,62,10,2,0,"1,248"
Dover,,,405,261,17,12,1,0,696
Dummerston,,,427,595,66,8,1,0,"1,097"
Duxbury,,,376,268,63,11,1,0,719
"E. Haven",,,97,35,8,3,0,0,143
"E. Montpelier",,,771,584,157,16,1,0,"1,529"
Eden,,,298,114,42,5,0,0,459
Elmore,,,235,163,48,4,0,0,450
Enosburgh,,,661,353,56,13,0,0,"1,083"
Essex,-,"Chittenden 6-1","2,825",952,197,23,5,0,"4,002"
Essex,-,"Chittenden 6-2","3,336","1,146",260,15,3,0,"4,760"
Essex,-,"Chittenden 6-3",896,361,81,4,0,0,"1,342"
"Fair Haven",,,797,345,54,16,0,0,"1,212"
Fairfax,,,"1,289",531,93,11,1,0,"1,925"
Fairfield,,,582,270,37,0,0,0,889
Fairlee,,,280,232,50,7,1,0,570
Fayston,,,374,279,84,24,0,0,761
Ferrisburgh,,,945,424,104,13,0,0,"1,486"
Fletcher,,,363,184,36,4,0,0,587
Franklin,,,390,135,22,7,0,0,554
Georgia,,,"1,555",473,90,11,0,0,"2,129"
Glover,,,306,171,47,8,1,0,533
Goshen,,,60,57,12,6,0,0,135
Grafton,,,161,171,14,2,0,0,348
Granby,,,46,6,0,0,0,0,52
"Grand Isle",,,752,333,69,10,0,0,"1,164"
Granville,,,62,61,25,6,0,0,154
Greensboro,,,218,157,35,3,0,0,413
Groton,,,324,98,18,4,2,0,446
Guildhall,,,97,28,3,0,0,0,128
Guilford,,,469,610,76,14,0,0,"1,169"
Halifax,,,182,198,23,6,0,0,409
Hancock,,,98,70,14,1,0,0,183
Hardwick,,,878,488,121,19,2,0,"1,508"
Hartford,-,"Windsor 6-1",658,450,51,10,0,0,"1,169"
Hartford,-,"Windsor 6-2","1,728","1,627",153,36,2,0,"3,546"
Hartland,,,895,805,94,16,0,0,"1,810"
Highgate,,,881,344,37,9,0,0,"1,271"
Hinesburg,-,"Chittenden 1-1","1,156",883,163,6,4,0,"2,212"
Hinesburg,-,"Chittenden 1-2",41,32,13,1,0,0,87
Holland,,,195,67,29,5,0,0,296
Hubbardton,,,199,115,16,5,0,0,335
Huntington,,,485,434,115,6,1,0,"1,041"
"Hyde Park",,,866,475,114,13,0,0,"1,468"
Ira,-,"Rutland Rutland 1-1",31,3,2,1,0,0,37
Ira,-,"Rutland Rutland 1-2",105,52,8,4,0,0,169
Irasburg,,,378,141,35,8,0,0,562
"Isle La Motte",,,197,80,22,5,0,0,304
Jamaica,,,241,185,45,9,0,0,480
Jay,,,117,69,9,1,0,0,196
Jericho,,,"1,741",952,209,17,3,0,"2,922"
Johnson,,,722,548,191,10,1,0,"1,472"
Killington,,,406,167,43,10,2,0,628
Kirby,,,131,72,17,3,0,0,223
Landgrove,,,56,48,8,0,0,0,112
Leicester,,,338,186,29,3,0,0,556
Lemington,,,37,10,1,0,0,0,48
Lincoln,,,347,357,65,9,0,0,778
Londonderry,,,564,328,45,15,1,0,953
Lowell,,,223,89,16,2,0,0,330
Ludlow,,,831,310,57,28,2,0,"1,228"
Lunenburg,,,358,173,13,9,0,0,553
Lyndon,,,"1,487",566,100,17,3,0,"2,173"
Maidstone,,,56,23,1,1,0,0,81
Manchester,,,"1,433",728,112,24,1,0,"2,298"
Marlboro,,,110,337,90,8,0,0,545
Marshfield,,,410,352,113,8,1,0,884
Mendon,,,415,186,19,6,0,0,626
Middlebury,,,"1,515","1,565",183,28,7,0,"3,298"
Middlesex,,,437,440,147,12,1,0,"1,037"
"Middletown Springs",,,255,173,20,5,0,0,453
Milton,-,"Chittenden 9","2,643",919,149,22,0,0,"3,733"
Milton,-,"Grand Isle-Chittenden 1-1",465,148,21,5,0,0,639
Monkton,,,568,398,100,7,1,0,"1,074"
Montgomery,,,305,253,51,11,1,0,621
Montpelier,,,"1,704","2,047",838,32,6,0,"4,627"
Moretown,,,511,306,100,24,0,0,941
Morgan,,,258,76,17,4,0,0,355
Morristown,,,"1,388",821,191,32,1,0,"2,433"
"Mount Holly",,,429,234,50,9,0,0,722
"Mount Tabor",,,68,29,8,2,0,0,107
"New Haven",,,556,355,52,4,1,0,968
Newark,,,144,91,13,8,0,0,256
Newbury,-,"Center Town House",138,67,19,3,0,0,227
Newbury,-,"Town Office",299,223,43,6,1,0,572
Newbury,-,"West River Village",169,106,9,2,0,0,286
Newfane,,,375,544,81,12,0,0,"1,012"
"Newport City",,,"1,150",495,72,15,0,0,"1,732"
"Newport Town",,,505,193,46,17,14,0,775
"N. Hero",,,397,123,34,5,0,0,559
Northfield,,,"1,475",639,162,18,1,0,"2,295"
Norton,,,69,20,1,0,0,0,90
Norwich,,,571,"1,383",218,16,3,0,"2,191"
Orange,,,353,110,20,3,0,0,486
Orwell,,,409,202,36,4,0,0,651
Panton,,,232,115,12,1,0,0,360
Pawlet,,,437,219,57,4,0,0,717
Peacham,,,228,188,38,1,0,0,455
Peru,,,118,74,12,4,0,0,208
Pittsfield,,,169,80,12,2,0,0,263
Pittsford,,,962,426,51,12,0,0,"1,451"
Plainfield,,,289,327,117,4,0,0,737
Plymouth,,,214,83,30,4,0,0,331
Pomfret,,,309,259,43,2,2,0,615
Poultney,,,918,497,71,27,1,0,"1,514"
Pownal,,,902,723,65,42,2,0,"1,734"
Proctor,,,572,270,42,9,1,0,894
Putney,,,301,889,109,10,0,0,"1,309"
Randolph,,,"1,266",863,138,26,0,0,"2,293"
Reading,,,214,156,26,8,0,0,404
Readsboro,,,172,196,11,6,0,0,385
Richford,,,528,340,35,9,0,0,912
Richmond,,,"1,291",890,188,18,1,0,"2,388"
Ripton,,,119,183,21,4,0,0,327
Rochester,,,303,284,94,9,1,0,691
Rockingham,,,895,"1,308",92,48,1,0,"2,344"
Roxbury,,,178,143,42,7,0,0,370
Royalton,,,753,573,95,16,2,0,"1,439"
Rupert,,,199,138,24,4,0,0,365
"Rutland City",-,"Rutland 5-1","1,487",652,81,16,3,0,"2,239"
"Rutland City",-,"Rutland 5-2","1,160",666,73,18,0,0,"1,917"
"Rutland City",-,"Rutland 5-3",813,511,62,18,2,0,"1,406"
"Rutland City",-,"Rutland 5-4","1,148",593,66,25,0,0,"1,832"
"Rutland Town",-,"Elementary School","1,279",405,41,7,1,0,"1,733"
"Rutland Town",-,"Town Municipal Building",479,148,27,7,1,0,662
Ryegate,,,338,177,27,4,1,0,547
Salisbury,,,328,193,31,7,0,0,559
