City/Town,Ward,Pct,"John F. Kerry","George Bush","Ralph Nader","Michael Badnarik","John Thompson Parker","Roger Calero",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian,"Liberty Union","Socialist Workers"
Addison,,,333,407,6,3,1,0,1,0,0,751
Albany,,,265,204,6,4,0,0,1,0,0,480
Alburgh,,,446,437,15,3,1,1,2,0,0,905
Andover,,,173,128,2,1,0,0,3,0,0,307
Arlington,,,739,582,14,6,3,0,5,0,0,"1,349"
Athens,,,75,61,2,0,0,0,0,0,0,138
Bakersfield,,,329,273,16,7,0,1,2,0,0,628
Baltimore,,,53,65,4,3,0,0,0,0,0,125
Barnard,,,333,223,6,3,0,0,2,0,0,567
Barnet,,,469,433,16,5,1,0,2,0,0,926
"Barre City",-,"Washington 3-1","1,070",880,18,7,1,0,9,0,0,"1,985"
"Barre City",-,"Washington 3-2",822,687,18,5,4,1,8,0,0,"1,545"
"Barre City",-,"Washington 3-3",145,136,7,1,0,0,0,0,0,289
"Barre Town",,,"1,908","2,228",40,9,1,1,13,0,0,"4,200"
Barton,,,648,606,19,10,1,1,1,0,0,"1,286"
Belvidere,,,66,72,5,1,0,0,0,0,0,144
Bennington,-,"Bennington 2-1","1,647","1,006",27,14,3,0,3,0,0,"2,700"
Bennington,-,"Bennington 2-1 Nb",507,163,9,4,2,2,2,0,0,689
Bennington,-,"Bennington 2-2","2,098","1,302",52,0,2,3,9,0,0,"3,466"
Bennington,-,"Bennington 5",22,42,0,1,0,0,0,0,0,65
Benson,,,256,251,5,2,4,1,1,0,0,520
Berkshire,,,302,321,10,1,0,0,1,0,0,635
Berlin,,,722,588,19,1,4,1,7,0,0,"1,342"
Bethel,,,596,400,14,4,0,0,4,0,0,"1,018"
Bloomfield,,,54,52,4,0,0,0,0,0,0,110
Bolton,,,384,234,8,5,0,0,0,0,0,631
Bradford,,,659,632,10,4,1,0,8,0,0,"1,314"
Braintree,,,307,285,6,4,0,1,0,0,0,603
Brandon,,,"1,054",851,28,8,0,1,9,0,0,"1,951"
Brattleboro,-,"Windham 3-1","1,608",662,25,8,3,0,10,0,0,"2,316"
Brattleboro,-,"Windham 3-2","1,432",390,27,5,2,5,6,0,0,"1,867"
Brattleboro,-,"Windham 3-3","1,460",356,46,3,4,1,10,0,0,"1,880"
Bridgewater,,,288,248,6,1,1,33,0,0,0,577
Bridport,,,337,350,10,10,0,0,2,0,0,709
Brighton,,,277,316,8,4,0,1,1,0,0,607
Bristol,,,"1,151",746,18,4,2,0,5,0,0,"1,926"
Brookfield,,,399,317,10,2,0,0,1,0,0,729
Brookline,,,164,110,11,1,0,0,2,0,0,288
Brownington,,,172,193,6,5,0,1,1,0,0,378
