City/Town,Ward,Pct,"Bernie Sanders","Greg Parke","Larry Drown","Jane Newton",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Republican,Democratic,"Liberty Union"
Addison,,,442,273,20,6,0,0,741
Albany,,,332,112,23,7,2,0,476
Alburgh,,,633,204,46,3,0,0,886
Andover,,,148,107,34,15,0,0,304
Arlington,,,754,379,156,29,1,0,"1,319"
Athens,,,71,42,14,5,0,0,132
Bakersfield,,,440,132,26,7,1,0,606
Baltimore,,,64,47,10,5,0,0,126
Barnard,,,361,147,47,2,0,0,557
Barnet,,,584,254,59,7,0,0,904
"Barre City",-,"Washington 3-1","1,326",494,116,12,2,0,"1,950"
"Barre City",-,"Washington 3-2","1,076",373,71,11,1,0,"1,532"
"Barre City",-,"Washington 3-3",214,54,10,8,0,0,286
"Barre Town",,,"2,603","1,318",197,20,3,0,"4,141"
Barton,,,893,317,49,11,1,0,"1,271"
Belvidere,,,102,35,6,1,0,0,144
Bennington,-,"Bennington 2-1","1,597",601,348,40,0,0,"2,586"
Bennington,-,"Bennington 2-1 Nb",440,96,112,20,0,0,668
Bennington,-,"Bennington 2-2","2,182",723,396,59,0,0,"3,360"
Bennington,-,"Bennington 5",20,38,3,2,0,0,63
Benson,,,307,158,40,8,0,0,513
Berkshire,,,444,143,38,6,1,0,632
Berlin,,,908,303,95,6,0,0,"1,312"
Bethel,,,700,224,72,5,1,0,"1,002"
Bloomfield,,,54,26,19,4,0,0,103
Bolton,,,451,127,33,7,0,0,618
Bradford,,,827,324,117,15,1,0,"1,284"
Braintree,,,414,155,23,3,1,0,596
Brandon,,,"1,239",542,117,19,1,0,"1,918"
Brattleboro,-,"Windham 3-1","1,522",482,224,32,1,0,"2,261"
Brattleboro,-,"Windham 3-2","1,318",269,206,24,0,0,"1,817"
Brattleboro,-,"Windham 3-3","1,328",245,206,31,2,0,"1,812"
Bridgewater,,,344,159,47,9,1,0,560
Bridport,,,440,217,32,7,0,0,696
Brighton,,,381,167,50,9,0,0,607
Bristol,,,"1,341",440,110,6,1,0,"1,898"
Brookfield,,,478,183,52,9,0,0,722
Brookline,,,141,92,35,11,0,0,279
Brownington,,,247,95,25,3,0,0,370
Brunswick,,,38,7,9,3,0,0,57
Burke,,,491,234,60,6,1,0,792
Burlington,-,"Chittenden 3-1","2,837",799,232,15,3,0,"3,886"
Burlington,-,"Chittenden 3-2","1,558",377,121,11,6,0,"2,073"
Burlington,-,"Chittenden 3-3","3,337",277,323,43,13,0,"3,993"
Burlington,-,"Chittenden 3-4","2,454",288,427,30,11,0,"3,210"
Burlington,-,"Chittenden 3-5","3,756",692,291,29,13,0,"4,781"
Burlington,-,"Chittenden 3-6",496,68,41,5,0,0,610
Cabot,,,493,149,33,5,0,0,680
Calais,,,773,160,56,6,1,0,996
Cambridge,,,"1,267",356,85,9,1,0,"1,718"
Canaan,,,263,105,61,6,0,0,435
Castleton,,,"1,042",632,154,16,5,0,"1,849"
Cavendish,,,414,208,72,17,0,0,711
Charleston,,,293,111,26,2,0,0,432
Charlotte,,,"1,543",534,140,18,4,0,"2,239"
Chelsea,,,427,221,41,2,0,0,691
Chester,,,"1,014",394,169,49,0,0,"1,626"
Chittenden,,,366,290,41,9,0,0,706
Clarendon,,,730,539,70,5,3,0,"1,347"
Colchester,-,"Chittenden 7-1","2,406",761,237,22,3,0,"3,429"
Colchester,-,"Chittenden 7-2","2,756","1,009",250,20,4,0,"4,039"
Concord,,,306,143,40,5,0,0,494
Corinth,,,444,184,45,6,0,0,679
Cornwall,,,506,181,30,5,0,0,722
Coventry,,,287,85,16,3,0,0,391
Craftsbury,,,502,104,43,2,0,0,651
Danby,,,385,251,62,18,0,0,716
Danville,,,790,363,57,8,0,0,"1,218"
Derby,,,"1,461",523,123,16,0,0,"2,123"
Dorset,,,663,456,113,20,3,0,"1,255"
Dover,,,318,261,87,18,1,0,685
Dummerston,,,767,226,103,13,0,0,"1,109"
Duxbury,,,556,123,37,4,1,0,721
"E. Haven",,,87,44,13,1,0,0,145
"E. Montpelier",,,"1,144",331,58,5,0,0,"1,538"
Eden,,,340,93,22,2,0,0,457
Elmore,,,344,84,24,4,0,0,456
Enosburgh,,,786,218,67,8,0,0,"1,079"
Essex,-,"Chittenden 6-1","2,592","1,156",204,21,8,0,"3,981"
Essex,-,"Chittenden 6-2","3,221","1,238",254,20,4,0,"4,737"
Essex,-,"Chittenden 6-3",879,397,58,5,3,0,"1,342"
"Fair Haven",,,776,357,78,11,0,0,"1,222"
