City/Town,Ward,Pct,"Deb Markowitz",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Addison,,,677,1,0,678
Albany,,,425,2,0,427
Alburgh,,,807,5,0,812
Andover,,,270,0,0,270
Arlington,,,"1,199",8,0,"1,207"
Athens,,,116,0,0,116
Bakersfield,,,545,2,0,547
Baltimore,,,125,0,0,125
Barnard,,,503,4,0,507
Barnet,,,801,4,0,805
"Barre City",-,"Washington 3-1","1,737",27,0,"1,764"
"Barre City",-,"Washington 3-2","1,328",25,0,"1,353"
"Barre City",-,"Washington 3-3",259,6,0,265
"Barre Town",,,"3,696",38,0,"3,734"
Barton,,,"1,142",7,0,"1,149"
Belvidere,,,131,0,0,131
Bennington,-,"Bennington 2-1","2,201",9,0,"2,210"
Bennington,-,"Bennington 2-1 Nb",552,5,0,557
Bennington,-,"Bennington 2-2","2,855",8,0,"2,863"
Bennington,-,"Bennington 5",53,0,0,53
Benson,,,473,3,0,476
Berkshire,,,596,3,0,599
Berlin,,,"1,175",9,0,"1,184"
Bethel,,,918,5,0,923
Bloomfield,,,92,1,0,93
Bolton,,,580,0,0,580
Bradford,,,"1,163",8,0,"1,171"
Braintree,,,546,2,0,548
Brandon,,,"1,714",2,0,"1,716"
Brattleboro,-,"Windham 3-1","1,937",13,0,"1,950"
Brattleboro,-,"Windham 3-2","1,526",7,0,"1,533"
Brattleboro,-,"Windham 3-3","1,526",10,0,"1,536"
Bridgewater,,,502,4,0,506
Bridport,,,654,7,0,661
Brighton,,,567,1,0,568
Bristol,,,"1,709",4,0,"1,713"
Brookfield,,,659,2,0,661
Brookline,,,252,1,0,253
Brownington,,,336,0,0,336
Brunswick,,,55,0,0,55
Burke,,,720,7,0,727
Burlington,-,"Chittenden 3-1","3,382",34,0,"3,416"
Burlington,-,"Chittenden 3-2","1,778",28,0,"1,806"
Burlington,-,"Chittenden 3-3","3,264",75,0,"3,339"
Burlington,-,"Chittenden 3-4","2,647",49,0,"2,696"
Burlington,-,"Chittenden 3-5","4,105",49,0,"4,154"
Burlington,-,"Chittenden 3-6",521,2,0,523
Cabot,,,620,1,0,621
Calais,,,910,4,0,914
Cambridge,,,"1,561",8,0,"1,569"
Canaan,,,395,1,0,396
Castleton,,,"1,626",21,0,"1,647"
Cavendish,,,644,4,0,648
Charleston,,,398,0,0,398
Charlotte,,,"2,018",7,0,"2,025"
Chelsea,,,638,5,0,643
Chester,,,"1,437",10,0,"1,447"
Chittenden,,,617,2,0,619
Clarendon,,,"1,201",1,0,"1,202"
Colchester,-,"Chittenden 7-1","3,030",12,0,"3,042"
Colchester,-,"Chittenden 7-2","3,502",13,0,"3,515"
Concord,,,436,4,0,440
Corinth,,,582,3,0,585
Cornwall,,,656,4,0,660
Coventry,,,359,2,0,361
Craftsbury,,,596,4,0,600
Danby,,,645,1,0,646
Danville,,,"1,112",6,0,"1,118"
Derby,,,"1,864",5,0,"1,869"
Dorset,,,"1,106",3,0,"1,109"
Dover,,,604,1,0,605
Dummerston,,,"1,003",4,0,"1,007"
Duxbury,,,620,6,0,626
"E. Haven",,,128,1,0,129
"E. Montpelier",,,"1,389",10,0,"1,399"
Eden,,,428,0,0,428
Elmore,,,420,2,0,422
Enosburgh,,,"1,016",3,0,"1,019"
Essex,-,"Chittenden 6-1","3,469",33,0,"3,502"
Essex,-,"Chittenden 6-2","4,156",27,0,"4,183"
Essex,-,"Chittenden 6-3","1,179",8,0,"1,187"
"Fair Haven",,,"1,121",2,0,"1,123"
Fairfax,,,"1,708",9,0,"1,717"
Fairfield,,,817,2,0,819
Fairlee,,,531,2,0,533
Fayston,,,686,1,0,687
Ferrisburgh,,,"1,351",7,0,"1,358"
Fletcher,,,518,1,0,519
Franklin,,,498,4,0,502
Georgia,,,"1,874",20,0,"1,894"
Glover,,,492,4,0,496
Goshen,,,123,3,0,126
