City/Town,Ward,Pct,"John S. Rodgers","John Morley, III","Ron Sanville","Bridget A. Collier","Benjamin Todd",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Republican,Democratic,"Liberty Union"
Albany,,,201,243,248,142,29,3,0,866
Barton,-,"Barton Memorial",518,873,445,272,121,1,0,"2,230"
Barton,-,"Orleans Memorial",0,0,0,0,0,0,0,0
Craftsbury,,,321,181,330,328,8,1,0,"1,169"
Glover,,,355,237,132,194,58,0,0,976
Greensboro,,,197,87,155,292,11,2,0,744
Sheffield,,,137,119,74,109,35,3,0,477
Wheelock,,,136,117,109,131,16,3,0,512
TOTALS,,,"1,865","1,857","1,493","1,468",278,13,0,"6,974"
