City/Town,Ward,Pct,"Dick Sears","Mark Shepard","Sally Treat","Cynthia Browning",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Republican,Democratic
Arlington,,,668,530,487,594,1,0,"2,280"
Bennington,-,"Bennington 2-1","1,751","1,209",714,987,4,0,"4,665"
Bennington,-,"Bennington 2-1 Nb",504,184,106,374,1,0,"1,169"
Bennington,-,"Bennington 2-2","2,284","1,599",904,"1,257",1,0,"6,045"
Dorset,,,509,546,734,369,2,0,"2,160"
Landgrove,,,55,39,57,36,0,0,187
Manchester,,,871,"1,098","1,443",627,1,0,"4,040"
Peru,,,102,79,104,75,0,0,360
Pownal,,,"1,083",841,431,570,0,0,"2,925"
Readsboro,,,215,178,66,128,0,0,587
Rupert,-,"Bennington 5",21,37,35,14,0,0,107
Rupert,-,"Rutland 8",155,144,164,113,0,0,576
Sandgate,,,91,76,74,96,0,0,337
Searsburg,,,23,26,13,14,0,0,76
Shaftsbury,,,"1,358","1,038",734,857,2,0,"3,989"
Stamford,,,248,205,120,127,0,0,700
Sunderland,,,196,211,222,192,1,0,822
Wilmington,,,537,506,331,411,0,0,"1,785"
Winhall,,,177,214,264,132,0,0,787
Woodford,,,118,96,46,62,0,0,322
TOTALS,,,"10,966","8,856","7,049","7,035",13,0,"33,919"
