City/Town,Ward,Pct,"Donald Collins","Sara Branon Kittell","David P. Howe","John C. Whitney",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Alburgh,,,499,391,320,241,0,0,"1,451"
Bakersfield,,,269,320,270,139,0,0,998
Berkshire,,,248,319,257,190,2,0,"1,016"
Enosburgh,,,503,533,488,249,0,0,"1,773"
Fairfax,,,"1,056",926,706,534,0,0,"3,222"
Fairfield,,,417,448,460,217,1,0,"1,543"
Fletcher,,,287,305,230,132,0,0,954
Franklin,,,215,239,231,252,0,0,937
Georgia,,,912,905,927,826,6,0,"3,576"
Highgate,,,696,520,494,372,2,0,"2,084"
Sheldon,,,340,339,329,225,0,0,"1,233"
"St. Albans City",,,"1,369","1,384",959,883,1,0,"4,596"
"St. Albans Town",,,"1,116","1,004","1,176",898,2,0,"4,196"
Swanton,,,"1,668","1,089",895,609,4,0,"4,265"
TOTALS,,,"9,595","8,722","7,742","5,767",18,0,"31,844"
