City/Town,Ward,Pct,"Jeb Spaulding",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Addison,,,672,1,0,673
Albany,,,441,0,0,441
Alburgh,,,824,3,0,827
Andover,,,272,0,0,272
Arlington,,,"1,199",6,0,"1,205"
Athens,,,122,1,0,123
Bakersfield,,,561,1,0,562
Baltimore,,,125,0,0,125
Barnard,,,505,7,0,512
Barnet,,,803,5,0,808
"Barre City",-,"Washington 3-1","1,819",19,0,"1,838"
"Barre City",-,"Washington 3-2","1,390",16,0,"1,406"
"Barre City",-,"Washington 3-3",269,2,0,271
"Barre Town",,,"3,881",21,0,"3,902"
Barton,,,"1,165",6,0,"1,171"
Belvidere,,,137,0,0,137
Bennington,-,"Bennington 2-1","2,201",12,0,"2,213"
Bennington,-,"Bennington 2-1 Nb",538,4,0,542
Bennington,-,"Bennington 2-2","2,873",13,0,"2,886"
Bennington,-,"Bennington 5",55,0,0,55
Benson,,,478,2,0,480
Berkshire,,,595,3,0,598
Berlin,,,"1,219",6,0,"1,225"
Bethel,,,934,2,0,936
Bloomfield,,,93,0,0,93
Bolton,,,580,0,0,580
Bradford,,,"1,178",4,0,"1,182"
Braintree,,,546,1,0,547
Brandon,,,"1,743",3,0,"1,746"
Brattleboro,-,"Windham 3-1","1,903",17,0,"1,920"
Brattleboro,-,"Windham 3-2","1,498",10,0,"1,508"
Brattleboro,-,"Windham 3-3","1,490",10,0,"1,500"
Bridgewater,,,511,5,0,516
Bridport,,,660,5,0,665
Brighton,,,551,2,0,553
Bristol,,,"1,713",5,0,"1,718"
Brookfield,,,662,5,0,667
Brookline,,,248,0,0,248
Brownington,,,339,1,0,340
Brunswick,,,54,0,0,54
Burke,,,725,2,0,727
Burlington,-,"Chittenden 3-1","3,438",31,0,"3,469"
Burlington,-,"Chittenden 3-2","1,794",19,0,"1,813"
Burlington,-,"Chittenden 3-3","3,250",86,0,"3,336"
Burlington,-,"Chittenden 3-4","2,630",67,0,"2,697"
Burlington,-,"Chittenden 3-5","4,089",59,0,"4,148"
Burlington,-,"Chittenden 3-6",520,3,0,523
Cabot,,,632,5,0,637
Calais,,,910,0,0,910
Cambridge,,,"1,588",4,0,"1,592"
Canaan,,,391,1,0,392
Castleton,,,"1,637",19,0,"1,656"
Cavendish,,,649,5,0,654
Charleston,,,405,0,0,405
Charlotte,,,"1,998",7,0,"2,005"
Chelsea,,,651,2,0,653
Chester,,,"1,484",8,0,"1,492"
Chittenden,,,630,3,0,633
Clarendon,,,"1,223",4,0,"1,227"
Colchester,-,"Chittenden 7-1","3,067",17,0,"3,084"
Colchester,-,"Chittenden 7-2","3,540",22,0,"3,562"
Concord,,,449,3,0,452
Corinth,,,578,5,0,583
Cornwall,,,657,6,0,663
Coventry,,,361,2,0,363
Craftsbury,,,596,4,0,600
Danby,,,646,1,0,647
Danville,,,"1,137",2,0,"1,139"
Derby,,,"1,924",6,0,"1,930"
Dorset,,,"1,119",3,0,"1,122"
Dover,,,602,2,0,604
Dummerston,,,"1,006",2,0,"1,008"
Duxbury,,,650,2,0,652
"E. Haven",,,130,1,0,131
"E. Montpelier",,,"1,409",8,0,"1,417"
Eden,,,429,1,0,430
Elmore,,,424,2,0,426
Enosburgh,,,"1,029",3,0,"1,032"
Essex,-,"Chittenden 6-1","3,551",26,0,"3,577"
Essex,-,"Chittenden 6-2","4,265",29,0,"4,294"
Essex,-,"Chittenden 6-3","1,188",8,0,"1,196"
"Fair Haven",,,"1,116",1,0,"1,117"
Fairfax,,,"1,734",10,0,"1,744"
Fairfield,,,825,0,0,825
Fairlee,,,527,1,0,528
Fayston,,,683,4,0,687
Ferrisburgh,,,"1,378",7,0,"1,385"
Fletcher,,,527,0,0,527
