City/Town,Ward,Pct,"Elizabeth M. Ready",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,80,2,0,82
Albany,,,36,0,0,36
Alburgh,,,33,0,0,33
Andover,,,29,0,0,29
Arlington,,,81,0,0,81
Athens,,,12,0,0,12
Bakersfield,,,39,1,0,40
Baltimore,,,12,0,0,12
Barnard,,,51,0,0,51
Barnet,,,41,1,0,42
"Barre City",-,"Washington 3-1",115,6,0,121
"Barre City",-,"Washington 3-2",75,0,0,75
"Barre City",-,"Washington 3-3",18,0,0,18
"Barre Town",,,287,6,0,293
Barton,-,"Barton Memorial",67,0,0,67
Barton,-,"Orleans Memorial",29,1,0,30
Belvidere,,,6,1,0,7
Bennington,-,"Bennington 2-1",104,0,0,104
Bennington,-,"Bennington 2-1 Nb",55,3,0,58
Bennington,-,"Bennington 2-2",122,4,0,126
Bennington,-,"Bennington 5",5,0,0,5
Benson,,,33,0,0,33
Berkshire,,,31,2,0,33
Berlin,,,69,0,0,69
Bethel,,,124,3,0,127
Bloomfield,,,9,0,0,9
Bolton,,,45,0,0,45
Bradford,,,280,13,0,293
Braintree,,,38,0,0,38
Brandon,,,47,0,0,47
Brattleboro,-,"Windham 3-1",265,0,0,265
Brattleboro,-,"Windham 3-2",247,3,0,250
Brattleboro,-,"Windham 3-3",292,4,0,296
Bridgewater,,,44,0,0,44
Bridport,,,88,3,0,91
Brighton,,,37,0,0,37
Bristol,,,180,4,0,184
Brookfield,,,85,0,0,85
Brookline,,,23,0,0,23
Brownington,,,29,0,0,29
Brunswick,,,6,0,0,6
Burke,,,27,0,0,27
Burlington,-,"Chittenden 3-1",422,2,0,424
Burlington,-,"Chittenden 3-2",192,1,0,193
Burlington,-,"Chittenden 3-3",244,2,0,246
Burlington,-,"Chittenden 3-4",196,1,0,197
Burlington,-,"Chittenden 3-5",532,2,0,534
Burlington,-,"Chittenden 3-6",75,1,0,76
Cabot,,,68,2,0,70
Calais,,,250,1,0,251
Cambridge,,,72,1,0,73
Canaan,,,21,0,0,21
Castleton,,,53,1,0,54
Cavendish,,,60,0,0,60
Charleston,,,13,0,0,13
Charlotte,,,373,3,0,376
Chelsea,,,39,1,0,40
Chester,,,133,0,0,133
Chittenden,,,33,0,0,33
Clarendon,,,104,1,0,105
Colchester,-,"Chittenden 7-1",114,0,0,114
Colchester,-,"Chittenden 7-2",120,6,0,126
Concord,,,21,0,0,21
Corinth,,,76,1,0,77
Cornwall,,,116,3,0,119
Coventry,,,21,0,0,21
Craftsbury,,,67,2,0,69
Danby,,,81,3,0,84
Danville,,,68,0,0,68
Derby,,,88,0,0,88
Dorset,,,59,0,0,59
Dover,,,34,3,0,37
Dummerston,,,119,0,0,119
Duxbury,,,62,0,0,62
"E. Haven",,,3,0,0,3
"E. Montpelier",,,112,1,0,113
Eden,,,22,1,0,23
Elmore,,,40,0,0,40
Enosburgh,,,78,1,0,79
Essex,-,"Chittenden 6-1",176,2,0,178
Essex,-,"Chittenden 6-2",225,1,0,226
Essex,-,"Chittenden 6-3",76,1,0,77
"Fair Haven",,,49,0,0,49
Fairfax,,,90,1,0,91
Fairfield,,,64,4,0,68
Fairlee,,,78,0,0,78
Fayston,,,39,0,0,39
Ferrisburgh,,,138,2,0,140
Fletcher,,,28,0,0,28
Franklin,,,34,0,0,34
Georgia,,,69,1,0,70
Glover,,,36,0,0,36
Goshen,,,28,0,0,28
Grafton,,,39,0,0,39
Granby,,,1,0,0,1
"Grand Isle",,,87,1,0,88
Granville,,,8,0,0,8
Greensboro,,,63,0,0,63
Groton,,,27,1,0,28
Guildhall,,,4,0,0,4
Guilford,,,125,1,0,126
Halifax,,,24,1,0,25
Hancock,,,14,0,0,14
Hardwick,,,142,2,0,144
Hartford,-,"Windsor 6-1",44,0,0,44
Hartford,-,"Windsor 6-2",207,3,0,210
Hartland,,,157,0,0,157
Highgate,,,54,1,0,55
Hinesburg,-,"Chittenden 1-1",177,2,0,179
Hinesburg,-,"Chittenden 1-2",12,0,0,12
Holland,,,11,0,0,11
Hubbardton,,,11,0,0,11
Huntington,,,114,0,0,114
"Hyde Park",,,76,1,0,77
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",5,0,0,5
Irasburg,,,50,0,0,50
"Isle La Motte",,,31,0,0,31
Jamaica,,,27,0,0,27
Jay,,,12,0,0,12
Jericho,,,209,0,0,209
Johnson,,,73,3,0,76
Killington,,,32,1,0,33
Kirby,,,8,1,0,9
Landgrove,,,12,0,0,12
Leicester,,,43,2,0,45
