City/Town,Ward,Pct,"Randy Brock",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,37,0,0,37
Albany,,,74,3,0,77
Alburgh,,,39,2,0,41
Andover,,,20,0,0,20
Arlington,,,66,3,0,69
Athens,,,10,0,0,10
Bakersfield,,,19,1,0,20
Baltimore,,,5,2,0,7
Barnard,,,23,0,0,23
Barnet,,,34,3,0,37
"Barre City",-,"Washington 3-1",76,2,0,78
"Barre City",-,"Washington 3-2",40,2,0,42
"Barre City",-,"Washington 3-3",5,0,0,5
"Barre Town",,,558,23,0,581
Barton,-,"Barton Memorial",63,15,0,78
Barton,-,"Orleans Memorial",91,18,0,109
Belvidere,,,16,0,0,16
Bennington,-,"Bennington 2-1",43,2,0,45
Bennington,-,"Bennington 2-1 Nb",6,0,0,6
Bennington,-,"Bennington 2-2",35,0,0,35
Bennington,-,"Bennington 5",9,0,0,9
Benson,,,19,1,0,20
Berkshire,,,20,0,0,20
Berlin,,,46,2,0,48
Bethel,,,50,3,0,53
Bloomfield,,,8,0,0,8
Bolton,,,17,0,0,17
Bradford,,,77,8,0,85
Braintree,,,28,0,0,28
Brandon,,,111,2,0,113
Brattleboro,-,"Windham 3-1",58,0,0,58
Brattleboro,-,"Windham 3-2",46,2,0,48
Brattleboro,-,"Windham 3-3",27,1,0,28
Bridgewater,,,33,1,0,34
Bridport,,,58,0,0,58
Brighton,,,39,2,0,41
Bristol,,,106,2,0,108
Brookfield,,,23,0,0,23
Brookline,,,19,0,0,19
Brownington,,,20,0,0,20
Brunswick,,,5,0,0,5
Burke,,,28,0,0,28
Burlington,-,"Chittenden 3-1",151,4,0,155
Burlington,-,"Chittenden 3-2",55,3,0,58
Burlington,-,"Chittenden 3-3",49,0,0,49
Burlington,-,"Chittenden 3-4",28,0,0,28
Burlington,-,"Chittenden 3-5",77,0,0,77
Burlington,-,"Chittenden 3-6",6,1,0,7
Cabot,,,9,0,0,9
Calais,,,25,0,0,25
Cambridge,,,33,4,0,37
Canaan,,,26,1,0,27
Castleton,,,55,0,0,55
Cavendish,,,33,2,0,35
Charleston,,,27,1,0,28
Charlotte,,,59,0,0,59
Chelsea,,,37,0,0,37
Chester,,,75,0,0,75
Chittenden,,,26,0,0,26
Clarendon,,,107,0,0,107
Colchester,-,"Chittenden 7-1",57,0,0,57
Colchester,-,"Chittenden 7-2",69,1,0,70
Concord,,,21,0,0,21
Corinth,,,31,1,0,32
Cornwall,,,35,2,0,37
Coventry,,,57,5,0,62
Craftsbury,,,56,5,0,61
Danby,,,59,4,0,63
Danville,,,73,1,0,74
Derby,,,109,9,0,118
Dorset,,,67,0,0,67
Dover,,,33,0,0,33
Dummerston,,,15,1,0,16
Duxbury,,,29,1,0,30
"E. Haven",,,8,0,0,8
"E. Montpelier",,,56,1,0,57
Eden,,,14,2,0,16
Elmore,,,24,2,0,26
Enosburgh,,,42,2,0,44
Essex,-,"Chittenden 6-1",92,3,0,95
Essex,-,"Chittenden 6-2",135,0,0,135
Essex,-,"Chittenden 6-3",29,0,0,29
"Fair Haven",,,59,5,0,64
Fairfax,,,50,4,0,54
Fairfield,,,51,4,0,55
Fairlee,,,33,0,0,33
Fayston,,,13,0,0,13
Ferrisburgh,,,89,1,0,90
Fletcher,,,11,0,0,11
Franklin,,,48,0,0,48
Georgia,,,74,4,0,78
Glover,,,52,7,0,59
Goshen,,,17,1,0,18
Grafton,,,20,0,0,20
Granby,,,14,0,0,14
"Grand Isle",,,74,3,0,77
Granville,,,4,0,0,4
Greensboro,,,27,1,0,28
Groton,,,36,0,0,36
Guildhall,,,18,1,0,19
Guilford,,,31,0,0,31
Halifax,,,24,0,0,24
Hancock,,,8,2,0,10
Hardwick,,,53,1,0,54
Hartford,-,"Windsor 6-1",16,0,0,16
Hartford,-,"Windsor 6-2",63,0,0,63
Hartland,,,67,0,0,67
Highgate,,,50,0,0,50
Hinesburg,-,"Chittenden 1-1",39,1,0,40
Hinesburg,-,"Chittenden 1-2",0,0,0,0
Holland,,,18,0,0,18
Hubbardton,,,15,1,0,16
Huntington,,,17,0,0,17
"Hyde Park",,,42,2,0,44
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",7,0,0,7
Irasburg,,,56,3,0,59
"Isle La Motte",,,9,2,0,11
Jamaica,,,27,1,0,28
Jay,,,8,0,0,8
Jericho,,,79,1,0,80
Johnson,,,48,0,0,48
Killington,,,24,0,0,24
Kirby,,,18,1,0,19
Landgrove,,,9,0,0,9
Leicester,,,34,0,0,34
Lemington,,,6,0,0,6
Lincoln,,,40,0,0,40
Londonderry,,,28,1,0,29
Lowell,,,14,1,0,15
Ludlow,,,77,1,0,78
Lunenburg,,,29,2,0,31
Lyndon,,,84,6,0,90
Maidstone,,,8,0,0,8
Manchester,,,114,1,0,115
Marlboro,,,13,0,0,13
Marshfield,,,20,1,0,21
Mendon,,,53,2,0,55
Middlebury,,,125,2,0,127
Middlesex,,,22,0,0,22
"Middletown Springs",,,18,0,0,18
Milton,-,"Chittenden 9",196,1,0,197
Milton,-,"Grand Isle-Chittenden 1-1",42,0,0,42
Monkton,,,44,0,0,44
Montgomery,,,8,1,0,9
Montpelier,,,96,1,0,97
Moretown,,,30,1,0,31
Morgan,,,19,2,0,21
Morristown,,,53,4,0,57
"Mount Holly",,,26,3,0,29
"Mount Tabor",,,2,0,0,2
"New Haven",,,193,9,0,202
Newark,,,11,0,0,11
Newbury,-,"Center Town House",34,0,0,34
Newbury,-,"Town Office",37,0,0,37
Newbury,-,"West River Village",26,0,0,26
Newfane,,,21,0,0,21
"Newport City",,,167,25,0,192
"Newport Town",,,51,2,0,53
"N. Hero",,,32,1,0,33
Northfield,,,73,2,0,75
Norton,,,6,0,0,6
Norwich,,,31,0,0,31
Orange,,,27,1,0,28
Orwell,,,43,3,0,46
Panton,,,19,0,0,19
Pawlet,,,61,2,0,63
Peacham,,,23,0,0,23
Peru,,,11,0,0,11
Pittsfield,,,21,0,0,21
Pittsford,,,41,0,0,41
Plainfield,,,17,3,0,20
Plymouth,,,17,0,0,17
Pomfret,,,23,0,0,23
Poultney,,,53,0,0,53
Pownal,,,22,0,0,22
Proctor,,,24,0,0,24
Putney,,,26,1,0,27
Randolph,,,95,0,0,95
Reading,,,18,0,0,18
Readsboro,,,25,0,0,25
Richford,,,24,0,0,24
Richmond,,,75,0,0,75
Ripton,,,11,0,0,11
Rochester,,,32,5,0,37
Rockingham,,,89,2,0,91
Roxbury,,,11,1,0,12
Royalton,,,69,0,0,69
Rupert,,,30,0,0,30
"Rutland City",-,"Rutland 5-1",57,2,0,59
"Rutland City",-,"Rutland 5-2",71,2,0,73
"Rutland City",-,"Rutland 5-3",31,2,0,33
"Rutland City",-,"Rutland 5-4",62,1,0,63
"Rutland Town",,,340,1,0,341
Ryegate,,,30,0,0,30
Salisbury,,,35,0,0,35
Sandgate,,,18,0,0,18
Searsburg,,,10,0,0,10
Shaftsbury,,,136,19,0,155
Sharon,,,20,2,0,22
Sheffield,,,15,0,0,15
Shelburne,-,"Chittenden 5-1",98,4,0,102
Shelburne,-,"Chittenden 5-2",72,2,0,74
Sheldon,,,37,2,0,39
Shoreham,,,34,2,0,36
Shrewsbury,,,28,0,0,28
"S. Burlington",-,"Chittenden 3-10",45,1,0,46
"S. Burlington",-,"Chittenden 3-7",59,0,0,59
"S. Burlington",-,"Chittenden 3-8",75,3,0,78
"S. Burlington",-,"Chittenden 3-9",68,2,0,70
"S. Hero",,,53,1,0,54
Springfield,-,"Windsor 1-1",2,0,0,2
Springfield,-,"Windsor 1-2",138,0,0,138
"St. Albans City",,,111,7,0,118
"St. Albans Town",,,94,0,0,94
"St. George",,,4,0,0,4
"St. Johnsbury",,,130,3,0,133
Stamford,,,11,0,0,11
Stannard,,,3,0,0,3
Starksboro,,,24,0,0,24
Stockbridge,,,11,0,0,11
Stowe,,,46,1,0,47
Strafford,,,23,1,0,24
Stratton,,,10,0,0,10
Sudbury,,,12,1,0,13
Sunderland,,,18,0,0,18
Sutton,,,15,3,0,18
Swanton,,,110,3,0,113
Thetford,,,28,0,0,28
Tinmouth,,,18,0,0,18
Topsham,,,34,0,0,34
Townshend,,,21,2,0,23
Troy,,,11,1,0,12
Tunbridge,,,41,1,0,42
Underhill,,,95,0,0,95
Vergennes,,,50,4,0,54
Vernon,,,86,4,0,90
Vershire,,,11,0,0,11
Victory,,,1,0,0,1
Waitsfield,,,58,1,0,59
Walden,,,19,0,0,19
Wallingford,,,41,0,0,41
Waltham,,,10,1,0,11
Wardsboro,,,13,0,0,13
Warren,,,26,0,0,26
Washington,,,16,0,0,16
Waterbury,,,74,1,0,75
Waterford,,,43,0,0,43
Waterville,,,28,0,0,28
Weathersfield,,,67,0,0,67
Wells,,,35,0,0,35
"W. Fairlee",,,11,0,0,11
"W. Haven",,,12,0,0,12
"W. Rutland",,,47,0,0,47
"W. Windsor",,,33,3,0,36
Westfield,,,8,1,0,9
Westford,,,29,0,0,29
Westminster,-,Windham-4,5,1,0,6
Westminster,-,Windham-5,44,1,0,45
Westmore,,,2,0,0,2
Weston,,,16,0,0,16
Weybridge,,,20,0,0,20
