City/Town,Ward,Pct,"Dennis Carver","Sylvia R. Kennedy","Karen Kerin",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Addison,,,17,19,4,2,0,42
Albany,,,50,15,9,5,0,79
Alburgh,,,21,11,4,0,0,36
Andover,,,9,1,9,2,0,21
Arlington,,,14,73,6,1,0,94
Athens,,,5,0,6,0,0,11
Bakersfield,,,14,3,5,1,0,23
Baltimore,,,5,2,1,0,0,8
Barnard,,,10,5,7,0,0,22
Barnet,,,23,8,9,2,0,42
"Barre City",-,"Washington 3-1",40,27,13,1,0,81
"Barre City",-,"Washington 3-2",28,12,7,4,0,51
"Barre City",-,"Washington 3-3",5,1,0,0,0,6
"Barre Town",,,367,136,99,30,0,632
Barton,-,"Barton Memorial",36,16,11,27,0,90
Barton,-,"Orleans Memorial",42,30,14,21,0,107
Belvidere,,,8,7,2,0,0,17
Bennington,-,"Bennington 2-1",11,51,4,0,0,66
Bennington,-,"Bennington 2-1 Nb",2,5,1,0,0,8
Bennington,-,"Bennington 2-2",4,43,3,0,0,50
Bennington,-,"Bennington 5",1,7,1,0,0,9
Benson,,,6,11,2,1,0,20
Berkshire,,,10,8,2,1,0,21
Berlin,,,16,18,10,5,0,49
Bethel,,,20,11,19,5,0,55
Bloomfield,,,5,1,1,0,0,7
Bolton,,,11,4,1,0,0,16
Bradford,,,42,24,14,7,0,87
Braintree,,,6,13,9,1,0,29
Brandon,,,62,26,23,3,0,114
Brattleboro,-,"Windham 3-1",33,20,13,2,0,68
Brattleboro,-,"Windham 3-2",21,15,6,3,0,45
Brattleboro,-,"Windham 3-3",14,7,7,1,0,29
Bridgewater,,,13,10,10,1,0,34
Bridport,,,25,29,2,1,0,57
Brighton,,,26,8,8,2,0,44
Bristol,,,58,31,21,4,0,114
Brookfield,,,5,10,7,0,0,22
Brookline,,,13,4,4,0,0,21
Brownington,,,10,9,2,0,0,21
Brunswick,,,4,0,1,0,0,5
Burke,,,17,10,2,1,0,30
Burlington,-,"Chittenden 3-1",89,67,24,3,0,183
Burlington,-,"Chittenden 3-2",26,28,15,7,0,76
Burlington,-,"Chittenden 3-3",30,15,8,0,0,53
Burlington,-,"Chittenden 3-4",14,11,7,1,0,33
Burlington,-,"Chittenden 3-5",37,33,18,0,0,88
Burlington,-,"Chittenden 3-6",2,3,3,0,0,8
Cabot,,,4,3,3,0,0,10
Calais,,,16,6,0,0,0,22
Cambridge,,,15,13,7,6,0,41
Canaan,,,12,9,8,1,0,30
Castleton,,,25,25,11,1,0,62
Cavendish,,,9,17,7,2,0,35
Charleston,,,14,8,6,0,0,28
Charlotte,,,29,24,9,1,0,63
Chelsea,,,23,13,8,1,0,45
Chester,,,37,28,13,1,0,79
Chittenden,,,13,11,4,1,0,29
Clarendon,,,51,37,22,1,0,111
Colchester,-,"Chittenden 7-1",30,24,7,0,0,61
Colchester,-,"Chittenden 7-2",41,19,13,1,0,74
Concord,,,18,2,2,0,0,22
Corinth,,,20,10,3,0,0,33
Cornwall,,,14,8,5,2,0,29
Coventry,,,29,20,15,6,0,70
Craftsbury,,,39,14,6,7,0,66
Danby,,,14,41,8,3,0,66
Danville,,,49,14,6,4,0,73
Derby,,,55,38,19,17,0,129
Dorset,,,12,72,2,0,0,86
Dover,,,23,7,7,0,0,37
Dummerston,,,6,7,3,0,0,16
Duxbury,,,15,18,2,2,0,37
"E. Haven",,,5,0,2,0,0,7
"E. Montpelier",,,43,22,4,2,0,71
Eden,,,6,7,1,1,0,15
Elmore,,,19,6,1,2,0,28
Enosburgh,,,22,14,7,3,0,46
Essex,-,"Chittenden 6-1",43,45,13,0,0,101
Essex,-,"Chittenden 6-2",64,61,26,3,0,154
Essex,-,"Chittenden 6-3",9,16,7,0,0,32
