City/Town,Ward,Pct,"Cheryl Pratt Rivers","Robert W. Backus",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,43,37,1,0,81
Albany,,,21,18,1,0,40
Alburgh,,,15,25,1,0,41
Andover,,,21,15,0,0,36
Arlington,,,39,53,1,0,93
Athens,,,3,8,0,0,11
Bakersfield,,,21,20,1,0,42
Baltimore,,,7,5,0,0,12
Barnard,,,35,34,0,0,69
Barnet,,,33,19,0,0,52
"Barre City",-,"Washington 3-1",68,62,3,0,133
"Barre City",-,"Washington 3-2",49,36,2,0,87
"Barre City",-,"Washington 3-3",12,7,0,0,19
"Barre Town",,,135,155,16,0,306
Barton,-,"Barton Memorial",28,33,8,0,69
Barton,-,"Orleans Memorial",10,13,6,0,29
Belvidere,,,2,3,1,0,6
Bennington,-,"Bennington 2-1",55,76,2,0,133
Bennington,-,"Bennington 2-1 Nb",31,31,0,0,62
Bennington,-,"Bennington 2-2",66,97,0,0,163
Bennington,-,"Bennington 5",4,2,0,0,6
Benson,,,25,16,0,0,41
Berkshire,,,16,20,1,0,37
Berlin,,,35,46,1,0,82
Bethel,,,124,39,3,0,166
Bloomfield,,,4,4,0,0,8
Bolton,,,26,24,0,0,50
Bradford,,,131,177,14,0,322
Braintree,,,32,16,0,0,48
Brandon,,,159,84,1,0,244
Brattleboro,-,"Windham 3-1",151,158,2,0,311
Brattleboro,-,"Windham 3-2",155,155,1,0,311
Brattleboro,-,"Windham 3-3",195,161,0,0,356
Bridgewater,,,40,12,0,0,52
Bridport,,,60,45,1,0,106
Brighton,,,15,23,0,0,38
Bristol,,,118,93,1,0,212
Brookfield,,,56,36,0,0,92
Brookline,,,17,13,1,0,31
Brownington,,,20,14,0,0,34
Brunswick,,,2,4,0,0,6
Burke,,,18,10,0,0,28
Burlington,-,"Chittenden 3-1",226,259,4,0,489
Burlington,-,"Chittenden 3-2",115,113,3,0,231
Burlington,-,"Chittenden 3-3",152,138,4,0,294
Burlington,-,"Chittenden 3-4",130,110,5,0,245
Burlington,-,"Chittenden 3-5",307,337,1,0,645
Burlington,-,"Chittenden 3-6",44,38,0,0,82
Cabot,,,40,38,2,0,80
Calais,,,178,137,3,0,318
Cambridge,,,46,36,1,0,83
Canaan,,,11,11,0,0,22
Castleton,,,37,33,0,0,70
Cavendish,,,40,31,1,0,72
Charleston,,,9,4,1,0,14
Charlotte,,,202,231,1,0,434
Chelsea,,,27,22,0,0,49
Chester,,,105,52,1,0,158
Chittenden,,,26,11,0,0,37
Clarendon,,,58,55,0,0,113
Colchester,-,"Chittenden 7-1",76,71,0,0,147
Colchester,-,"Chittenden 7-2",68,90,1,0,159
Concord,,,12,15,0,0,27
Corinth,,,33,59,0,0,92
Cornwall,,,87,53,3,0,143
Coventry,,,11,12,0,0,23
Craftsbury,,,44,33,2,0,79
Danby,,,56,33,2,0,91
Danville,,,37,45,1,0,83
Derby,,,48,52,2,0,102
Dorset,,,28,35,1,0,64
Dover,,,18,18,5,0,41
Dummerston,,,88,61,0,0,149
Duxbury,,,34,41,1,0,76
"E. Haven",,,1,3,0,0,4
"E. Montpelier",,,83,52,2,0,137
Eden,,,12,15,1,0,28
Elmore,,,20,22,1,0,43
Enosburgh,,,19,57,2,0,78
Essex,-,"Chittenden 6-1",91,128,2,0,221
Essex,-,"Chittenden 6-2",124,130,1,0,255
Essex,-,"Chittenden 6-3",42,43,1,0,86
"Fair Haven",,,34,21,2,0,57
Fairfax,,,43,66,2,0,111
Fairfield,,,33,34,9,0,76
Fairlee,,,42,48,2,0,92
Fayston,,,19,33,0,0,52
Ferrisburgh,,,72,81,3,0,156
Fletcher,,,18,16,0,0,34
Franklin,,,17,19,1,0,37
Georgia,,,36,37,1,0,74
Glover,,,16,16,1,0,33
Goshen,,,19,13,0,0,32
Grafton,,,22,17,0,0,39
Granby,,,1,0,0,0,1
"Grand Isle",,,44,55,5,0,104
Granville,,,8,1,0,0,9
Greensboro,,,32,30,3,0,65
Groton,,,18,12,1,0,31
