City/Town,Ward,Pct,"Howard Dean","John F. Kerry","John Edwards","Dennis Kucinich","Wesley Clark","Lyndon H. Larouche, Jr",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,,,
Addison,,,86,49,12,5,3,1,2,0,0,158
Albany,,,45,34,8,5,3,0,3,0,0,98
Alburgh,,,82,100,20,2,16,1,1,0,0,223
Andover,,,33,29,6,1,2,1,1,0,0,73
Arlington,,,136,166,52,16,23,2,3,0,0,398
Athens,,,7,19,0,2,0,0,0,0,0,31
Bakersfield,,,61,27,17,5,2,0,0,0,0,112
Baltimore,,,6,9,0,3,1,0,0,0,0,19
Barnard,,,87,58,7,4,6,4,3,0,0,169
Barnet,,,82,33,13,7,6,0,0,0,0,141
"Barre City",,,504,342,64,33,37,4,14,0,0,999
"Barre Town",,,418,252,46,16,39,3,5,0,0,786
Barton,,,59,61,9,0,6,0,0,0,0,136
Belvidere,,,10,12,1,2,1,0,2,0,0,28
Bennington,-,"Benn Fire Dept",609,678,86,53,44,7,5,0,0,"1,534"
Bennington,-,"Bennington Nb 2-1",104,68,8,0,4,0,0,0,0,199
Benson,,,65,46,7,6,4,0,1,0,0,130
Berkshire,,,52,65,15,2,8,0,0,0,0,142
Berlin,,,197,108,17,15,15,1,4,0,0,358
Bethel,,,95,44,15,4,2,1,0,0,0,162
Bloomfield,,,10,8,2,1,2,0,0,0,0,23
Bolton,,,118,47,8,4,8,1,6,0,0,192
Bradford,,,89,46,15,6,1,0,1,0,0,158
Braintree,,,50,29,5,4,2,0,2,0,0,92
Brandon,,,331,193,20,8,24,4,3,0,0,586
Brattleboro,,,"1,376",517,100,160,62,3,11,0,0,"2,235"
Bridgewater,,,44,35,8,7,4,1,2,0,0,101
Bridport,,,91,82,12,11,22,2,2,0,0,228
Brighton,,,63,106,13,3,12,2,3,0,0,202
Bristol,,,279,173,18,82,23,4,1,0,0,576
Brookfield,,,110,49,13,8,1,0,0,0,0,182
Brookline,,,34,13,3,7,1,0,1,0,0,58
Brownington,,,18,23,6,0,3,2,0,0,0,53
Brunswick,,,4,11,1,0,2,0,0,0,0,18
Burke,,,124,48,15,7,4,1,1,0,0,200
Burlington,,,"4,237","1,595",299,371,141,27,88,0,0,"6,798"
Cabot,,,137,51,0,19,9,0,0,0,0,216
Calais,,,262,72,18,49,6,1,7,0,0,415
Cambridge,,,178,100,13,7,8,1,1,0,0,309
Canaan,,,32,67,10,2,10,1,1,0,0,124
Castleton,,,161,151,29,10,12,2,1,0,0,371
Cavendish,,,93,94,14,9,6,0,1,0,0,219
Charleston,,,33,12,6,2,3,1,2,0,0,60
Charlotte,,,538,204,42,30,14,1,2,0,0,835
Chelsea,,,79,30,2,11,1,1,1,0,0,129
Chester,,,209,160,27,14,17,2,4,0,0,438
Chittenden,,,112,79,17,6,6,0,0,0,0,222
Clarendon,,,94,113,31,5,13,1,3,0,0,262
Colchester,-,"High School",554,305,72,33,52,6,9,0,0,"1,031"
Colchester,-,"Meeting House",492,260,42,22,37,10,9,0,0,872
Concord,,,32,50,10,2,8,0,1,0,0,104
Corinth,,,109,66,23,14,5,1,0,0,0,218
Cornwall,,,163,54,15,9,7,0,0,0,0,249
Coventry,,,18,18,2,4,3,0,0,0,0,45
Craftsbury,,,120,24,6,7,4,0,0,0,0,162
Danby,,,54,77,19,6,6,1,2,0,0,165
Danville,,,114,48,9,10,11,1,0,0,0,193
Derby,,,203,182,25,8,21,3,3,0,0,451
Dorset,,,86,157,17,14,14,1,1,0,0,293
Dover,,,38,62,18,6,7,2,0,0,0,135
Dummerston,,,208,82,21,20,6,2,2,0,0,341
Duxbury,,,120,49,14,5,5,1,1,0,0,199
"E. Haven",,,16,20,5,0,1,0,0,0,0,42
"E. Montpelier",,,316,144,33,30,15,7,4,0,0,551
Eden,,,33,19,5,3,7,0,1,0,0,68
Elmore,,,60,19,3,1,3,2,0,0,0,88
Enosburgh,,,86,47,13,4,3,0,0,0,0,153
Essex,-,"Comm High School",648,246,61,32,30,7,9,0,0,859
Essex,-,"Middle School",498,229,87,26,29,8,8,0,0,"1,062"
"Fair Haven",,,120,130,29,9,17,6,5,0,0,325
Fairfax,,,287,222,37,12,44,3,4,0,0,612
Fairfield,,,92,60,11,6,9,0,1,0,0,181
Fairlee,,,58,25,12,6,1,1,1,0,0,104
Fayston,,,93,50,10,6,2,1,2,0,0,164
Ferrisburgh,,,287,156,17,15,18,1,8,0,0,506
Fletcher,,,66,33,13,7,0,1,1,0,0,122
Franklin,,,32,37,12,3,8,0,0,0,0,94
Georgia,,,232,203,43,8,33,2,1,0,0,522
Glover,,,40,42,6,12,4,2,0,0,0,106
Goshen,,,31,20,0,5,1,0,0,0,0,57
Grafton,,,41,41,1,0,3,0,2,0,0,90
Granby,,,5,2,1,0,2,0,0,0,0,10
"Grand Isle",,,182,99,17,4,10,1,4,0,0,321
Granville,,,27,14,2,0,1,0,0,0,0,44
Greensboro,,,71,32,4,8,1,1,1,0,0,118
Groton,,,44,19,6,2,3,2,0,0,0,76
Guildhall,,,7,9,1,0,0,0,0,0,0,17
Guilford,,,238,97,19,23,4,0,3,0,0,389
Halifax,,,52,68,12,15,5,4,6,0,0,163
Hancock,,,17,12,1,0,1,0,1,0,0,32
Hardwick,,,165,103,19,18,10,0,5,0,0,324
Hartford,,,455,398,82,62,34,1,3,0,0,"1,040"
Hartland,,,253,226,24,36,10,1,1,0,0,525
Highgate,,,81,127,19,6,14,4,2,0,0,256
Hinesburg,,,493,175,42,25,19,3,4,0,0,768
Holland,,,15,30,3,1,2,0,1,0,0,52
Hubbardton,,,43,29,4,4,1,0,1,0,0,84
Huntington,,,269,72,12,17,8,3,2,0,0,389
"Hyde Park",,,125,62,21,3,5,3,1,0,0,222
Ira,,,19,8,7,0,0,0,0,0,0,34
Irasburg,,,15,30,2,0,3,0,2,0,0,52
"Isle La Motte",,,48,74,3,3,12,1,1,0,0,143
Jamaica,,,42,45,17,12,5,0,0,0,0,122
Jay,,,14,31,6,0,2,0,0,0,0,55
Jericho,,,556,216,47,20,34,1,5,0,0,883
Johnson,,,169,47,12,6,9,0,2,0,0,249
Killington,,,44,52,11,3,3,0,0,0,0,113
Kirby,,,32,12,3,0,0,0,0,0,0,47
Landgrove,,,16,21,3,3,0,0,0,0,0,43
Leicester,,,61,66,6,2,6,0,1,0,0,143
Lemington,,,2,7,1,0,0,0,0,0,0,10
Lincoln,,,165,62,13,45,8,1,3,0,0,297
Londonderry,,,51,45,15,3,5,0,1,0,0,120
Lowell,,,31,41,6,2,4,2,0,0,0,89
Ludlow,,,165,217,25,14,21,4,10,0,0,461
Lunenburg,,,39,48,14,1,11,3,1,0,0,108
Lyndon,,,147,92,25,9,14,5,0,0,0,298
Maidstone,,,4,5,8,0,1,0,0,0,0,18
Manchester,,,123,194,37,7,9,1,7,0,0,378
