City/Town,Ward,Pct,"George Bush",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,97,1,0,0,99
Albany,,,29,1,0,0,30
Alburgh,,,111,1,0,0,116
Andover,,,39,0,0,0,40
Arlington,,,152,2,0,0,154
Athens,,,14,1,0,0,18
Bakersfield,,,29,1,0,0,33
Baltimore,,,14,0,0,0,14
Barnard,,,54,3,0,0,61
Barnet,,,53,1,0,0,57
"Barre City",,,428,12,0,0,452
"Barre Town",,,401,7,0,0,422
Barton,,,30,6,0,0,37
Belvidere,,,22,1,0,0,23
Bennington,-,"Benn Fire Dept",244,12,0,0,405
Bennington,-,"Bennington Nb 2-1",24,3,0,0,27
Benson,,,71,2,0,0,76
Berkshire,,,52,2,0,0,55
Berlin,,,137,9,0,0,147
Bethel,,,37,1,0,0,41
Bloomfield,,,10,0,0,0,10
Bolton,,,41,0,0,0,43
Bradford,,,46,3,0,0,50
Braintree,,,29,3,0,0,34
Brandon,,,245,4,0,0,261
Brattleboro,,,353,18,0,0,387
Bridgewater,,,43,3,0,0,46
Bridport,,,142,4,0,0,152
Brighton,,,117,3,0,0,120
Bristol,,,211,5,0,0,216
Brookfield,,,39,4,0,0,44
Brookline,,,18,1,0,0,19
Brownington,,,27,0,0,0,27
Brunswick,,,6,0,0,0,6
Burke,,,104,1,0,0,109
Burlington,,,976,63,0,0,"1,065"
Cabot,,,46,0,0,0,46
Calais,,,54,3,0,0,57
Cambridge,,,77,4,0,0,84
Canaan,,,40,5,0,0,45
Castleton,,,200,5,0,0,219
Cavendish,,,85,5,0,0,95
Charleston,,,27,0,0,0,27
Charlotte,,,176,6,0,0,189
Chelsea,,,52,1,0,0,53
Chester,,,145,7,0,0,162
Chittenden,,,127,2,0,0,136
Clarendon,,,148,2,0,0,154
Colchester,-,"High School",377,9,0,0,388
Colchester,-,"Meeting House",305,12,0,0,320
Concord,,,73,1,0,0,74
Corinth,,,78,4,0,0,84
Cornwall,,,51,0,0,0,52
Coventry,,,22,0,0,0,22
Craftsbury,,,22,5,0,0,27
Danby,,,120,5,0,0,129
Danville,,,65,4,0,0,69
Derby,,,202,13,0,0,227
Dorset,,,119,0,0,0,125
Dover,,,97,6,0,0,106
Dummerston,,,53,2,0,0,58
Duxbury,,,67,6,0,0,80
"E. Haven",,,38,1,0,0,39
"E. Montpelier",,,153,5,0,0,161
Eden,,,18,1,0,0,19
Elmore,,,12,2,0,0,14
Enosburgh,,,49,4,0,0,53
Essex,-,"Comm High School",271,10,0,0,281
Essex,-,"Middle School",331,10,0,0,347
"Fair Haven",,,162,0,0,0,165
Fairfax,,,268,9,0,0,280
Fairfield,,,22,0,0,0,22
Fairlee,,,16,4,0,0,21
Fayston,,,32,2,0,0,34
Ferrisburgh,,,258,7,0,0,292
Fletcher,,,24,1,0,0,25
Franklin,,,36,2,0,0,38
Georgia,,,198,6,0,0,206
Glover,,,18,3,0,0,21
Goshen,,,22,3,0,0,25
Grafton,,,36,2,0,0,38
Granby,,,15,0,0,0,16
"Grand Isle",,,121,4,0,0,127
Granville,,,6,0,0,0,6
Greensboro,,,13,1,0,0,16
Groton,,,40,2,0,0,44
Guildhall,,,27,1,0,0,28
Guilford,,,98,0,0,0,107
Halifax,,,80,0,0,0,81
Hancock,,,11,3,0,0,14
Hardwick,,,83,1,0,0,85
Hartford,,,297,8,0,0,314
Hartland,,,194,10,0,0,209
Highgate,,,123,2,0,0,127
Hinesburg,,,165,2,0,0,176
Holland,,,21,0,0,0,21
Hubbardton,,,43,3,0,0,46
Huntington,,,84,3,0,0,94
"Hyde Park",,,89,1,0,0,92
Ira,,,18,1,0,0,16
Irasburg,,,36,0,0,0,36
"Isle La Motte",,,58,1,0,0,59
Jamaica,,,17,4,0,0,21
Jay,,,21,0,0,0,21
Jericho,,,249,4,0,0,259
Johnson,,,50,0,0,0,52
Killington,,,50,1,0,0,54
Kirby,,,25,0,0,0,25
Landgrove,,,4,0,0,0,4
Leicester,,,59,1,0,0,63
Lemington,,,6,0,0,0,6
Lincoln,,,71,0,0,0,71
Londonderry,,,22,2,0,0,25
Lowell,,,38,0,0,0,39
Ludlow,,,231,3,0,0,244
Lunenburg,,,74,3,0,0,65
Lyndon,,,163,3,0,0,170
Maidstone,,,18,0,0,0,18
Manchester,,,114,4,0,0,119
Marlboro,,,29,2,0,0,31
Marshfield,,,47,0,0,0,47
Mendon,,,85,2,0,0,90
Middlebury,,,205,12,0,0,223
Middlesex,,,93,0,0,0,102
"Middletown Springs",,,66,3,0,0,70
Milton,,,465,6,0,0,481
Monkton,,,90,2,0,0,99
Montgomery,,,13,1,0,0,14
Montpelier,,,439,20,0,0,475
Moretown,,,91,2,0,0,97
Morgan,,,35,2,0,0,37
Morristown,,,188,6,0,0,202
"Mount Holly",,,87,2,0,0,91
"Mount Tabor",,,13,0,0,0,13
"New Haven",,,123,5,0,0,133
Newark,,,15,2,0,0,17
Newbury,,,66,1,0,0,70
Newfane,,,36,4,0,0,43
"Newport City",,,198,11,0,0,221
"Newport Town",,,53,5,0,0,60
"N. Hero",,,61,2,0,0,67
Northfield,,,277,10,0,0,291
Norton,,,20,1,0,0,21
Norwich,,,89,5,0,0,92
Orange,,,44,0,0,0,44
Orwell,,,82,4,0,0,86
Panton,,,39,2,0,0,45
Pawlet,,,118,0,0,0,118
Peacham,,,26,0,0,0,26
Peru,,,15,3,0,0,18
Pittsfield,,,23,0,0,0,24
Pittsford,,,169,5,0,0,184
Plainfield,,,31,1,0,0,33
Plymouth,,,39,2,0,0,143
Pomfret,,,20,2,0,0,22
Poultney,,,154,4,0,0,161
Pownal,,,123,13,0,0,136
Proctor,,,67,2,0,0,71
Putney,,,61,4,0,0,66
Randolph,,,179,7,0,0,191
Reading,,,11,0,0,0,11
Readsboro,,,87,2,0,0,95
Richford,,,95,2,0,0,100
Richmond,,,175,6,0,0,188
Ripton,,,18,0,0,0,18
Rochester,,,25,0,0,0,25
Rockingham,,,151,4,0,0,160
Roxbury,,,21,1,0,0,28
Royalton,,,117,5,0,0,131
Rupert,,,73,2,0,0,77
"Rutland City",-,"Rutland 5-1",153,7,0,0,160
"Rutland City",-,"Rutland 5-2",91,5,0,0,96
"Rutland City",-,"Rutland 5-3",180,5,0,0,185
"Rutland City",-,"Rutland 5-4",228,3,0,0,231
"Rutland Town",,,446,9,0,0,472
Ryegate,,,29,4,0,0,35
Salisbury,,,79,4,0,0,76
Sandgate,,,20,0,0,0,21
Searsburg,,,14,0,0,0,15
Shaftsbury,,,214,11,0,0,233
Sharon,,,40,1,0,0,41
Sheffield,,,21,0,0,0,21
Shelburne,,,374,14,0,0,388
Sheldon,,,49,6,0,0,57
Shoreham,,,45,2,0,0,49
Shrewsbury,,,102,1,0,0,111
"S. Burlington",-,"Chittenden 3-10",68,3,0,0,72
"S. Burlington",-,"Chittenden 3-7",102,1,0,0,104
"S. Burlington",-,"Chittenden 3-8",104,3,0,0,111
"S. Burlington",-,"Chittenden 3-9",54,0,0,0,56
"S. Hero",,,103,2,0,0,114
Springfield,,,398,13,0,0,424
"St. Albans City",,,260,5,0,0,265
"St. Albans Town",,,349,9,0,0,370
"St. George",,,18,0,0,0,18
"St. Johnsbury",,,244,10,0,0,260
Stamford,,,52,1,0,0,55
Stannard,,,6,0,0,0,6
Starksboro,,,53,0,0,0,55
Stockbridge,,,17,1,0,0,18
Stowe,,,311,11,0,0,333
Strafford,,,10,3,0,0,13
Stratton,,,12,1,0,0,14
Sudbury,,,36,0,0,0,36
Sunderland,,,44,0,0,0,46
Sutton,,,22,2,0,0,25
Swanton,,,288,3,0,0,298
Thetford,,,139,7,0,0,159
Tinmouth,,,13,1,0,0,14
Topsham,,,29,1,0,0,30
Townshend,,,24,3,0,0,28
Troy,,,26,2,0,0,28
Tunbridge,,,28,0,0,0,28
Underhill,,,123,2,0,0,125
Vergennes,,,143,3,0,0,150
Vernon,,,242,6,0,0,265
Vershire,,,28,0,0,0,31
Victory,,,5,1,0,0,6
Waitsfield,,,133,13,0,0,155
Walden,,,69,2,0,0,73
Wallingford,,,152,3,0,0,166
Waltham,,,22,1,0,0,24
Wardsboro,,,21,1,0,0,22
Warren,,,48,1,0,0,49
Washington,,,28,0,0,0,30
Waterbury,,,152,4,0,0,160
Waterford,,,80,3,0,0,85
Waterville,,,29,3,0,0,34
Weathersfield,,,120,8,0,0,126
Wells,,,91,1,0,0,101
