City/Town,Ward,Pct,"Larry Drown","Bernie Sanders",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,44,3,1,0,48
Albany,,,27,2,0,0,29
Alburgh,,,22,3,0,0,25
Andover,,,19,4,1,0,24
Arlington,,,70,3,1,0,74
Athens,,,9,1,0,0,10
Bakersfield,,,27,3,1,0,31
Baltimore,,,9,2,0,0,11
Barnard,,,34,1,0,0,35
Barnet,,,28,3,1,0,32
"Barre City",-,"Washington 3-1",73,5,6,0,84
"Barre City",-,"Washington 3-2",56,5,2,0,63
"Barre City",-,"Washington 3-3",7,2,0,0,9
"Barre Town",,,195,13,7,0,215
Barton,-,"Barton Memorial",45,4,6,0,55
Barton,-,"Orleans Memorial",18,2,2,0,22
Belvidere,,,2,1,1,0,4
Bennington,-,"Bennington 2-1",60,14,3,0,77
Bennington,-,"Bennington 2-1 Nb",30,8,2,0,40
Bennington,-,"Bennington 2-2",72,17,6,0,95
Bennington,-,"Bennington 5",3,0,0,0,3
Benson,,,23,2,0,0,25
Berkshire,,,23,1,0,0,24
Berlin,,,33,1,8,0,42
Bethel,,,78,23,6,0,107
Bloomfield,,,8,1,0,0,9
Bolton,,,29,5,0,0,34
Bradford,,,242,18,12,0,272
Braintree,,,23,5,1,0,29
Brandon,,,110,13,2,0,125
Brattleboro,-,"Windham 3-1",156,22,4,0,182
Brattleboro,-,"Windham 3-2",154,24,6,0,184
Brattleboro,-,"Windham 3-3",188,30,5,0,223
Bridgewater,,,33,0,3,0,36
Bridport,,,70,4,1,0,75
Brighton,,,27,4,2,0,33
Bristol,,,114,16,4,0,134
Brookfield,,,50,5,1,0,56
Brookline,,,18,2,0,0,20
Brownington,,,15,3,0,0,18
Brunswick,,,5,1,0,0,6
Burke,,,20,3,0,0,23
Burlington,-,"Chittenden 3-1",258,30,10,0,298
Burlington,-,"Chittenden 3-2",103,25,1,0,129
Burlington,-,"Chittenden 3-3",147,21,4,0,172
Burlington,-,"Chittenden 3-4",95,18,4,0,117
Burlington,-,"Chittenden 3-5",274,45,4,0,323
Burlington,-,"Chittenden 3-6",40,4,1,0,45
Cabot,,,31,7,2,0,40
Calais,,,132,22,3,0,157
Cambridge,,,49,5,0,0,54
Canaan,,,18,0,0,0,18
Castleton,,,34,6,1,0,41
Cavendish,,,44,2,0,0,46
Charleston,,,4,5,0,0,9
Charlotte,,,221,18,3,0,242
Chelsea,,,26,4,1,0,31
Chester,,,91,4,0,0,95
Chittenden,,,15,3,0,0,18
Clarendon,,,78,0,3,0,81
Colchester,-,"Chittenden 7-1",66,8,1,0,75
Colchester,-,"Chittenden 7-2",70,7,5,0,82
Concord,,,19,1,0,0,20
Corinth,,,53,7,0,0,60
Cornwall,,,63,13,0,0,76
Coventry,,,19,3,0,0,22
Craftsbury,,,37,12,6,0,55
Danby,,,65,3,4,0,72
Danville,,,51,0,2,0,53
Derby,,,59,9,2,0,70
Dorset,,,43,7,0,0,50
Dover,,,22,5,3,0,30
Dummerston,,,68,8,1,0,77
Duxbury,,,36,4,1,0,41
"E. Haven",,,2,0,0,0,2
"E. Montpelier",,,44,12,0,0,56
Eden,,,16,1,1,0,18
Elmore,,,27,3,0,0,30
Enosburgh,,,51,10,0,0,61
Essex,-,"Chittenden 6-1",106,17,0,0,123
Essex,-,"Chittenden 6-2",124,0,3,0,127
Essex,-,"Chittenden 6-3",48,7,0,0,55
"Fair Haven",,,33,5,1,0,39
Fairfax,,,74,3,1,0,78
Fairfield,,,40,3,4,0,47
Fairlee,,,63,9,1,0,73
Fayston,,,26,2,0,0,28
Ferrisburgh,,,81,13,0,0,94
Fletcher,,,14,0,1,0,15
Franklin,,,15,2,2,0,19
Georgia,,,43,2,0,0,45
Glover,,,22,4,1,0,27
Goshen,,,15,3,0,0,18
Grafton,,,29,1,0,0,30
Granby,,,1,0,0,0,1
"Grand Isle",,,56,9,1,0,66
Granville,,,5,0,0,0,5
Greensboro,,,31,15,0,0,46
Groton,,,18,2,1,0,21
Guildhall,,,1,0,0,0,1
Guilford,,,64,14,3,0,81
Halifax,,,18,2,1,0,21
Hancock,,,5,1,0,0,6
Hardwick,,,97,9,1,0,107
Hartford,-,"Windsor 6-1",27,4,0,0,31
