City/Town,Ward,Pct,"Bernie Sanders","Jane Newton",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Andover,,,0,1,0,0,1
Bakersfield,,,2,0,0,0,2
Baltimore,,,0,1,0,0,1
Barnet,,,2,0,0,0,2
"Barre City",-,"Washington 3-1",2,0,0,0,2
"Barre City",-,"Washington 3-2",3,1,0,0,4
"Barre City",-,"Washington 3-3",0,0,0,0,0
"Barre Town",,,0,3,0,0,3
Bennington,-,"Bennington 2-1",7,4,0,0,11
Bennington,-,"Bennington 2-1 Nb",1,2,0,0,3
Bennington,-,"Bennington 2-2",5,1,0,0,6
Bennington,-,"Bennington 5",0,0,0,0,0
Berlin,,,1,1,0,0,2
Bethel,,,1,1,0,0,2
Bloomfield,,,0,1,0,0,1
Bradford,,,0,1,0,0,1
Brandon,,,3,2,0,0,5
Brattleboro,-,"Windham 3-1",12,5,0,0,17
Brattleboro,-,"Windham 3-2",8,5,1,0,14
Brattleboro,-,"Windham 3-3",20,19,1,0,40
Bridgewater,,,1,1,0,0,2
Brighton,,,0,1,0,0,1
Bristol,,,0,1,0,0,1
Burlington,-,"Chittenden 3-1",0,5,3,0,8
Burlington,-,"Chittenden 3-2",0,0,8,0,8
Burlington,-,"Chittenden 3-3",0,13,30,0,43
Burlington,-,"Chittenden 3-4",0,6,17,0,23
Burlington,-,"Chittenden 3-5",0,8,28,0,36
Burlington,-,"Chittenden 3-6",0,0,3,0,3
Cabot,,,1,2,0,0,3
Cambridge,,,4,1,0,0,5
Canaan,,,0,1,0,0,1
Castleton,,,0,1,1,0,2
Charleston,,,1,1,0,0,2
Chelsea,,,0,1,0,0,1
Clarendon,,,0,1,0,0,1
Colchester,-,"Chittenden 7-1",2,0,0,0,2
Colchester,-,"Chittenden 7-2",0,2,0,0,2
Corinth,,,1,0,0,0,1
Coventry,,,0,1,0,0,1
Danville,,,0,0,2,0,2
Derby,,,3,4,0,0,7
Dorset,,,1,0,0,0,1
Dover,,,0,1,0,0,1
Dummerston,,,0,2,3,0,5
Duxbury,,,1,0,0,0,1
"E. Montpelier",,,8,0,0,0,8
Elmore,,,2,0,0,0,2
Enosburgh,,,5,1,0,0,6
Essex,-,"Chittenden 6-1",0,2,0,0,2
Essex,-,"Chittenden 6-2",2,2,0,0,4
Essex,-,"Chittenden 6-3",0,0,0,0,0
"Fair Haven",,,0,2,1,0,3
Fairfax,,,0,1,0,0,1
Fairfield,,,2,0,1,0,3
Fairlee,,,2,2,0,0,4
Franklin,,,2,0,0,0,2
Glover,,,1,2,0,0,3
Grafton,,,0,1,0,0,1
"Grand Isle",,,4,0,0,0,4
Groton,,,3,0,1,0,4
Guilford,,,8,3,0,0,11
Halifax,,,1,0,0,0,1
Hancock,,,0,1,0,0,1
Hartford,-,"Windsor 6-1",0,0,0,0,0
Hartford,-,"Windsor 6-2",1,2,0,0,3
Hartland,,,1,1,0,0,2
Highgate,,,0,2,0,0,2
Hinesburg,-,"Chittenden 1-1",2,0,0,0,2
Hinesburg,-,"Chittenden 1-2",0,0,0,0,0
Holland,,,5,2,1,0,8
Huntington,,,2,0,0,0,2
"Hyde Park",,,0,1,0,0,1
"Isle La Motte",,,1,1,0,0,2
Jericho,,,1,0,0,0,1
Johnson,,,1,0,0,0,1
Kirby,,,0,2,0,0,2
Landgrove,,,2,0,0,0,2
Leicester,,,0,1,0,0,1
Lincoln,,,1,0,0,0,1
