City/Town,Ward,Pct,"Patrick Leahy","Craig Hill",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,77,9,0,0,86
Albany,,,38,2,1,0,41
Alburgh,,,39,0,0,0,39
Andover,,,33,3,0,0,36
Arlington,,,96,5,0,0,101
Athens,,,11,1,0,0,12
Bakersfield,,,42,2,0,0,44
Baltimore,,,11,1,0,0,12
Barnard,,,62,4,0,0,66
Barnet,,,47,5,1,0,53
"Barre City",-,"Washington 3-1",129,10,1,0,140
"Barre City",-,"Washington 3-2",84,4,0,0,88
"Barre City",-,"Washington 3-3",19,0,0,0,19
"Barre Town",,,306,13,1,0,320
Barton,-,"Barton Memorial",70,1,0,0,71
Barton,-,"Orleans Memorial",31,0,0,0,31
Belvidere,,,5,0,1,0,6
Bennington,-,"Bennington 2-1",126,7,0,0,133
Bennington,-,"Bennington 2-1 Nb",61,2,1,0,64
Bennington,-,"Bennington 2-2",145,12,5,0,162
Bennington,-,"Bennington 5",5,1,0,0,6
Benson,,,37,3,0,0,40
Berkshire,,,36,2,1,0,39
Berlin,,,79,5,0,0,84
Bethel,,,150,11,3,0,164
Bloomfield,,,10,0,0,0,10
Bolton,,,49,2,0,0,51
Bradford,,,324,37,2,0,363
Braintree,,,46,2,0,0,48
Brandon,,,224,16,1,0,241
Brattleboro,-,"Windham 3-1",299,11,0,0,310
Brattleboro,-,"Windham 3-2",295,13,0,0,308
Brattleboro,-,"Windham 3-3",347,14,0,0,361
Bridgewater,,,55,2,0,0,57
Bridport,,,105,13,1,0,119
Brighton,,,34,5,0,0,39
Bristol,,,209,9,0,0,218
Brookfield,,,92,4,0,0,96
Brookline,,,29,2,0,0,31
Brownington,,,31,4,0,0,35
Brunswick,,,5,2,0,0,7
Burke,,,27,2,0,0,29
Burlington,-,"Chittenden 3-1",483,29,0,0,512
Burlington,-,"Chittenden 3-2",218,10,0,0,228
Burlington,-,"Chittenden 3-3",285,10,0,0,295
Burlington,-,"Chittenden 3-4",239,6,1,0,246
Burlington,-,"Chittenden 3-5",634,21,0,0,655
Burlington,-,"Chittenden 3-6",87,2,0,0,89
Cabot,,,77,3,0,0,80
Calais,,,292,42,0,0,334
Cambridge,,,83,6,0,0,89
Canaan,,,22,1,0,0,23
Castleton,,,67,4,0,0,71
Cavendish,,,66,10,0,0,76
Charleston,,,15,0,0,0,15
Charlotte,,,392,65,0,0,457
Chelsea,,,42,6,0,0,48
Chester,,,147,13,0,0,160
Chittenden,,,39,0,0,0,39
Clarendon,,,109,14,0,0,123
Colchester,-,"Chittenden 7-1",140,13,0,0,153
Colchester,-,"Chittenden 7-2",151,12,2,0,165
Concord,,,25,0,0,0,25
Corinth,,,93,2,0,0,95
Cornwall,,,142,4,0,0,146
Coventry,,,21,4,0,0,25
Craftsbury,,,78,3,0,0,81
Danby,,,86,8,0,0,94
Danville,,,82,4,0,0,86
Derby,,,101,5,0,0,106
Dorset,,,68,2,0,0,70
Dover,,,34,2,3,0,39
Dummerston,,,146,2,0,0,148
Duxbury,,,76,3,0,0,79
"E. Haven",,,4,0,0,0,4
"E. Montpelier",,,137,2,0,0,139
Eden,,,25,4,0,0,29
Elmore,,,44,0,0,0,44
Enosburgh,,,77,5,0,0,82
Essex,-,"Chittenden 6-1",221,5,1,0,227
Essex,-,"Chittenden 6-2",267,15,3,0,285
Essex,-,"Chittenden 6-3",93,3,0,0,96
"Fair Haven",,,56,4,0,0,60
Fairfax,,,105,5,0,0,110
Fairfield,,,75,2,0,0,77
Fairlee,,,98,3,0,0,101
Fayston,,,54,1,1,0,56
Ferrisburgh,,,153,10,0,0,163
Fletcher,,,38,0,0,0,38
Franklin,,,37,3,0,0,40
Georgia,,,74,2,0,0,76
Glover,,,42,1,0,0,43
Goshen,,,31,3,0,0,34
Grafton,,,38,2,0,0,40
Granby,,,1,0,0,0,1
"Grand Isle",,,106,4,0,0,110
Granville,,,9,0,0,0,9
Greensboro,,,72,2,0,0,74
Groton,,,32,0,0,0,32
Guildhall,,,4,2,0,0,6
Guilford,,,138,4,1,0,143
Halifax,,,28,1,0,0,29
Hancock,,,12,2,0,0,14
Hardwick,,,157,10,1,0,168
Hartford,-,"Windsor 6-1",56,5,0,0,61
Hartford,-,"Windsor 6-2",253,11,0,0,264
Hartland,,,187,8,0,0,195
Highgate,,,66,1,0,0,67
Hinesburg,-,"Chittenden 1-1",206,8,0,0,214
Hinesburg,-,"Chittenden 1-2",12,0,0,0,12
Holland,,,12,1,0,0,13
Hubbardton,,,11,0,0,0,11
Huntington,,,131,4,0,0,135
"Hyde Park",,,79,5,0,0,84
Ira,-,"Rutland Rutland 1-1",0,0,0,0,0
Ira,-,"Rutland Rutland 1-2",6,0,0,0,6
Irasburg,,,53,2,0,0,55
"Isle La Motte",,,36,3,0,0,39
Jamaica,,,32,1,1,0,34
Jay,,,13,0,0,0,13
Jericho,,,236,6,0,0,242
Johnson,,,85,1,0,0,86
Killington,,,36,2,1,0,39
Kirby,,,11,0,0,0,11
Landgrove,,,17,0,0,0,17
Leicester,,,51,1,1,0,53
Lemington,,,0,1,0,0,1
Lincoln,,,145,7,0,0,152
Londonderry,,,52,6,0,0,58
Lowell,,,26,3,0,0,29
Ludlow,,,104,16,1,0,121
Lunenburg,,,18,2,0,0,20
Lyndon,,,93,3,1,0,97
Maidstone,,,4,0,0,0,4
Manchester,,,135,11,1,0,147
Marlboro,,,123,8,0,0,131
Marshfield,,,140,8,1,0,149
Mendon,,,53,3,0,0,56
Middlebury,,,482,15,0,0,497
Middlesex,,,81,5,0,0,86
"Middletown Springs",,,92,10,0,0,102
Milton,-,"Chittenden 9",286,20,0,0,306
Milton,-,"Grand Isle-Chittenden 1-1",49,5,0,0,54
Monkton,,,113,4,0,0,117
Montgomery,,,53,2,0,0,55
Montpelier,,,703,42,3,0,748
Moretown,,,54,6,0,0,60
Morgan,,,22,3,0,0,25
Morristown,,,139,5,2,0,146
"Mount Holly",,,60,5,0,0,65
"Mount Tabor",,,10,0,0,0,10
"New Haven",,,318,19,0,0,337
Newark,,,12,5,0,0,17
Newbury,-,"Center Town House",14,0,0,0,14
Newbury,-,"Town Office",92,11,0,0,103
Newbury,-,"West River Village",32,3,0,0,35
Newfane,,,137,6,0,0,143
"Newport City",,,109,4,2,0,115
"Newport Town",,,47,3,0,0,50
"N. Hero",,,34,1,0,0,35
Northfield,,,146,8,0,0,154
Norton,,,5,2,0,0,7
Norwich,,,471,22,0,0,493
Orange,,,15,0,0,0,15
Orwell,,,56,5,0,0,61
Panton,,,44,2,1,0,47
Pawlet,,,125,18,0,0,143
Peacham,,,71,3,0,0,74
Peru,,,28,0,0,0,28
Pittsfield,,,25,2,0,0,27
Pittsford,,,82,3,0,0,85
Plainfield,,,142,6,0,0,148
Plymouth,,,13,2,0,0,15
Pomfret,,,65,3,0,0,68
Poultney,,,54,4,0,0,58
Pownal,,,134,17,1,0,152
Proctor,,,52,2,0,0,54
Putney,,,223,3,0,0,226
Randolph,,,239,11,0,0,250
Reading,,,58,3,0,0,61
Readsboro,,,18,10,0,0,28
Richford,,,57,0,0,0,57
Richmond,,,235,7,0,0,242
Ripton,,,71,2,0,0,73
Rochester,,,123,3,2,0,128
Rockingham,,,323,18,6,0,347
Roxbury,,,26,0,1,0,27
Royalton,,,146,7,0,0,153
Rupert,,,52,4,0,0,56
"Rutland City",-,"Rutland 5-1",158,14,0,0,172
"Rutland City",-,"Rutland 5-2",125,7,0,0,132
"Rutland City",-,"Rutland 5-3",65,10,0,0,75
"Rutland City",-,"Rutland 5-4",98,10,0,0,108
"Rutland Town",,,163,9,0,0,172
Ryegate,,,46,3,0,0,49
Salisbury,,,78,1,0,0,79
Sandgate,,,28,3,0,0,31
Searsburg,,,6,0,0,0,6
Shaftsbury,,,182,12,0,0,194
Sharon,,,77,4,1,0,82
Sheffield,,,24,0,0,0,24
Shelburne,-,"Chittenden 5-1",291,17,1,0,309
Shelburne,-,"Chittenden 5-2",154,6,1,0,161
Sheldon,,,45,2,0,0,47
Shoreham,,,76,9,0,0,85
Shrewsbury,,,76,1,0,0,77
"S. Burlington",-,"Chittenden 3-10",145,8,0,0,153
"S. Burlington",-,"Chittenden 3-7",279,10,2,0,291
"S. Burlington",-,"Chittenden 3-8",259,15,0,0,274
"S. Burlington",-,"Chittenden 3-9",181,10,0,0,191
"S. Hero",,,114,6,0,0,120
Springfield,-,"Windsor 1-1",4,0,0,0,4
Springfield,-,"Windsor 1-2",336,27,2,0,365
"St. Albans City",,,192,9,2,0,203
"St. Albans Town",,,106,6,5,0,117
"St. George",,,21,4,0,0,25
"St. Johnsbury",,,149,8,1,0,158
Stamford,,,38,1,0,0,39
Stannard,,,20,1,0,0,21
Starksboro,,,92,5,0,0,97
Stockbridge,,,68,4,2,0,74
Stowe,,,130,13,0,0,143
Strafford,,,89,5,0,0,94
Stratton,,,5,0,0,0,5
Sudbury,,,27,3,0,0,30
Sunderland,,,28,4,0,0,32
Sutton,,,22,0,0,0,22
Swanton,,,130,8,0,0,138
Thetford,,,179,5,0,0,184
Tinmouth,,,44,2,0,0,46
Topsham,,,32,0,0,0,32
Townshend,,,68,2,0,0,70
Troy,,,38,0,0,0,38
Tunbridge,,,57,0,0,0,57
